% []
@RELATION base

@ATTRIBUTE Operators_count NUMERIC
@ATTRIBUTE Operands_count NUMERIC
@ATTRIBUTE Distinct_operators NUMERIC
@ATTRIBUTE Distinct_operands NUMERIC
@ATTRIBUTE Program_length NUMERIC
@ATTRIBUTE Program_vocabulary NUMERIC
@ATTRIBUTE Volume NUMERIC
@ATTRIBUTE Difficulty NUMERIC
@ATTRIBUTE Effort NUMERIC
@ATTRIBUTE complexity NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,bugged
330,191,39,76,521,115,3566.50031654,47,167625.514877,0,bugged
2997,1938,45,355,4935,400,42657.4302965,120,5118891.63558,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
2855,1902,38,254,4757,292,38958.9954266,142,5532177.35058,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
125,67,20,34,192,54,1104.93840042,19,20993.8296079,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
699,527,30,170,1226,200,9371.36768866,46,431082.913679,0,valid
1525,936,43,294,2461,337,20664.0443665,66,1363826.92819,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
231,119,20,56,350,76,2186.77462971,21,45922.2672238,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
640,353,35,83,993,118,6834.46454802,72,492081.447457,0,valid
475,273,32,125,748,157,5456.37632017,34,185516.794886,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
1733,1098,49,320,2831,369,24141.2874042,82,1979585.56714,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
3570,2226,53,490,5796,543,52655.5494157,118,6213354.83105,0,bugged
4610,3017,48,590,7627,638,71063.9060052,122,8669796.53263,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
386,298,25,89,684,114,4673.69676969,40,186947.870788,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1129,805,37,184,1934,221,15061.8035499,78,1174820.67689,0,valid
0,0,0,0,0,0,0,0,0,0,valid
205,157,25,69,362,94,2372.76116431,27,64064.5514363,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
