% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
4,423,38,4,4,105.75,9.5,105.75,9.5,0,2,14.9328935184,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,155,2,1,1,155.0,2.0,155.0,2.0,0,1,246.814467593,0,0,valid
1,647,2,1,1,647.0,2.0,647.0,2.0,0,1,246.814467593,0,0,valid
1,311,2,1,1,311.0,2.0,311.0,2.0,0,1,246.814467593,0,0,valid
1,159,2,1,1,159.0,2.0,159.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,135,6,2,2,67.5,3.0,67.5,3.0,0,2,88.0578009258,0,0,valid
1,155,2,1,1,155.0,2.0,155.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,88.0578009258,0,0,valid
1,171,2,1,1,171.0,2.0,171.0,2.0,0,1,246.814467593,0,0,valid
4,886,84,4,4,221.5,21.0,221.5,21.0,0,2,14.9328935184,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,420,6,2,2,210.0,3.0,210.0,3.0,1,1,4.06728009274,4.06728009274,4.06728009274,bugged
1,207,2,1,1,207.0,2.0,207.0,2.0,0,1,246.814467593,0,0,valid
1,339,2,1,1,339.0,2.0,339.0,2.0,0,1,246.814467593,0,0,valid
1,219,2,1,1,219.0,2.0,219.0,2.0,0,1,246.814467593,0,0,valid
1,592,2,1,1,592.0,2.0,592.0,2.0,0,1,246.814467593,0,0,valid
1,582,2,1,1,582.0,2.0,582.0,2.0,0,1,246.814467593,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,187,2,1,1,187.0,2.0,187.0,2.0,0,1,246.814467593,0,0,valid
2,20,20,2,2,10.0,10.0,10.0,10.0,0,2,36.1082523149,0,0,bugged
1,2497,2,1,1,2497.0,2.0,2497.0,2.0,0,1,246.814467593,0,0,valid
1,139,2,1,1,139.0,2.0,139.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,648,14,3,3,216.0,4.66666666667,216.0,4.66666666667,0,2,15.4067013888,0,0,valid
1,367,2,1,1,367.0,2.0,367.0,2.0,0,1,246.814467593,0,0,valid
3,621,207,3,3,207.0,69.0,207.0,69.0,0,2,15.4067013888,0,0,valid
2,231,10,2,2,115.5,5.0,115.5,5.0,0,2,88.0578009258,0,0,valid
1,2627,2,1,1,2627.0,2.0,2627.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,2889,172,4,4,722.25,43.0,722.25,43.0,1,3,15.4067013888,94.4080787036,94.4080787036,bugged
1,782,2,1,1,782.0,2.0,782.0,2.0,0,1,246.814467593,0,0,valid
2,441,31,2,2,220.5,15.5,220.5,15.5,0,2,88.0578009258,0,0,bugged
4,303,30,4,4,75.75,7.5,75.75,7.5,0,2,14.9328935184,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,111,6,2,2,55.5,3.0,55.5,3.0,0,2,88.0578009258,0,0,valid
3,552,18,3,3,184.0,6.0,184.0,6.0,0,2,15.4067013888,0,0,valid
2,283,6,2,2,141.5,3.0,141.5,3.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
6,4529,998,6,6,754.833333333,166.333333333,754.833333333,166.333333333,2,2,4.06728009274,4.06728009274,4.06728009274,bugged
3,243,22,3,3,81.0,7.33333333333,81.0,7.33333333333,0,2,14.9328935184,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,534,124,2,2,267.0,62.0,267.0,62.0,0,2,88.0578009258,0,0,valid
2,31,19,2,2,15.5,9.5,15.5,9.5,0,2,14.4056250001,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1197,2,1,1,1197.0,2.0,1197.0,2.0,0,1,4.06728009274,0,0,valid
1,203,2,1,1,203.0,2.0,203.0,2.0,0,1,246.814467593,0,0,valid
3,497,19,3,3,165.666666667,6.33333333333,165.666666667,6.33333333333,0,2,14.4056250001,0,0,valid
1,179,2,1,1,179.0,2.0,179.0,2.0,0,1,4.06728009274,0,0,valid
5,568,39,5,5,113.6,7.8,113.6,7.8,1,3,14.9328935184,39.3901967593,39.3901967593,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,631,57,4,4,157.75,14.25,157.75,14.25,0,2,14.9328935184,0,0,bugged
1,1052,2,1,1,1052.0,2.0,1052.0,2.0,0,1,246.814467593,0,0,valid
2,307,14,2,2,153.5,7.0,153.5,7.0,0,2,88.0578009258,0,0,valid
1,3492,2,1,1,3492.0,2.0,3492.0,2.0,0,1,246.814467593,0,0,valid
2,315,26,2,2,157.5,13.0,157.5,13.0,0,2,88.0578009258,0,0,bugged
3,1444,25,3,3,481.333333333,8.33333333333,481.333333333,8.33333333333,0,2,15.4067013888,0,0,valid
12,721,341,12,12,60.0833333333,28.4166666667,60.0833333333,28.4166666667,0,3,4.06728009274,0,0,valid
3,367,62,3,3,122.333333333,20.6666666667,122.333333333,20.6666666667,0,2,15.4067013888,0,0,valid
5,1196,156,5,5,239.2,31.2,239.2,31.2,0,2,4.06728009274,0,0,valid
2,251,6,2,2,125.5,3.0,125.5,3.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,72009,34916,2,2,36004.5,17458.0,36004.5,17458.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
3,189,73,3,3,63.0,24.3333333333,63.0,24.3333333333,0,2,15.4067013888,0,0,bugged
1,331,2,1,1,331.0,2.0,331.0,2.0,0,1,246.814467593,0,0,valid
4,721,32,4,4,180.25,8.0,180.25,8.0,0,2,14.9328935184,0,0,bugged
1,291,2,1,1,291.0,2.0,291.0,2.0,0,1,246.814467593,0,0,valid
2,259,18,2,2,129.5,9.0,129.5,9.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,79,2,1,1,79.0,2.0,79.0,2.0,0,1,246.814467593,0,0,valid
1,287,2,1,1,287.0,2.0,287.0,2.0,0,1,246.814467593,0,0,valid
