% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,20,0,1,0,20.0,0.0,20.0,0,0,1,246.814467593,0,0,valid
2,2,1,2,1,1.0,0.5,1.0,1.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
2,46,1,2,1,23.0,0.5,23.0,1.0,0,2,88.0578009258,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,14.3912615739,0,0,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,246.814467593,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,16.1641087965,0,0,bugged
1,4,0,1,0,4.0,0.0,4.0,0,0,1,246.814467593,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,246.814467593,0,0,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,246.814467593,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,246.814467593,0,0,valid
2,2,1,2,1,1.0,0.5,1.0,1.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
2,2,2,2,2,1.0,1.0,1.0,1.0,0,2,14.4056250001,0,0,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,14.9328935184,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,246.814467593,0,0,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
3,50,5,3,2,16.6666666667,1.66666666667,16.6666666667,2.5,0,2,14.9328935184,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,11,11,1,2,5.5,5.5,11.0,5.5,0,2,36.1082523149,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,17.0550115742,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,4.06728009274,4.06728009274,4.06728009274,valid
2,19,1,2,1,9.5,0.5,9.5,1.0,0,2,88.0578009258,0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,45.4301504628,45.4301504628,45.4301504628,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,4.06728009274,0,0,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,246.814467593,0,0,valid
2,9,1,2,1,4.5,0.5,4.5,1.0,0,2,88.0578009258,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,246.814467593,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,246.814467593,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,246.814467593,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,246.814467593,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,16.1641087965,0,0,bugged
