% []
@RELATION base

@ATTRIBUTE Lines NUMERIC
@ATTRIBUTE Statements NUMERIC
@ATTRIBUTE Percent_Branch_Statements NUMERIC
@ATTRIBUTE Method_Call_Statements NUMERIC
@ATTRIBUTE Percent_Lines_with_Comments NUMERIC
@ATTRIBUTE Classes_and_interfaces NUMERIC
@ATTRIBUTE Methods_per_Class NUMERIC
@ATTRIBUTE Maximum_Complexity NUMERIC
@ATTRIBUTE Average_Block_Depth NUMERIC
@ATTRIBUTE Average_Complexity NUMERIC
@ATTRIBUTE Statements_at_block_level_0 NUMERIC
@ATTRIBUTE Statements_at_block_level_1 NUMERIC
@ATTRIBUTE Statements_at_block_level_2 NUMERIC
@ATTRIBUTE Statements_at_block_level_3 NUMERIC
@ATTRIBUTE Statements_at_block_level_4 NUMERIC
@ATTRIBUTE Statements_at_block_level_5 NUMERIC
@ATTRIBUTE Statements_at_block_level_6 NUMERIC
@ATTRIBUTE Statements_at_block_level_7 NUMERIC
@ATTRIBUTE Statements_at_block_level_3_percent NUMERIC
@ATTRIBUTE Statements_at_block_level_4_percent NUMERIC
@ATTRIBUTE Statements_at_block_level_5_percent NUMERIC
@ATTRIBUTE Statements_at_block_level_6_percent NUMERIC
@ATTRIBUTE Statements_at_block_level_7_percent NUMERIC
@ATTRIBUTE Statements_max_at_block NUMERIC
@ATTRIBUTE Statements_max_at_blockPercent NUMERIC
@ATTRIBUTE len_complexity NUMERIC
@ATTRIBUTE sum_complexity NUMERIC
@ATTRIBUTE mean_complexity NUMERIC
@ATTRIBUTE median_complexity NUMERIC
@ATTRIBUTE var_complexity NUMERIC
@ATTRIBUTE max_complexity NUMERIC
@ATTRIBUTE min_complexity NUMERIC
@ATTRIBUTE len_Statements NUMERIC
@ATTRIBUTE sum_Statements NUMERIC
@ATTRIBUTE mean_Statements NUMERIC
@ATTRIBUTE median_Statements NUMERIC
@ATTRIBUTE var_Statements NUMERIC
@ATTRIBUTE max_Statements NUMERIC
@ATTRIBUTE min_Statements NUMERIC
@ATTRIBUTE len_depth NUMERIC
@ATTRIBUTE sum_depth NUMERIC
@ATTRIBUTE mean_depth NUMERIC
@ATTRIBUTE median_depth NUMERIC
@ATTRIBUTE var_depth NUMERIC
@ATTRIBUTE max_depth NUMERIC
@ATTRIBUTE min_depth NUMERIC
@ATTRIBUTE len_Calls NUMERIC
@ATTRIBUTE sum_Calls NUMERIC
@ATTRIBUTE mean_Calls NUMERIC
@ATTRIBUTE median_Calls NUMERIC
@ATTRIBUTE var_Calls NUMERIC
@ATTRIBUTE max_Calls NUMERIC
@ATTRIBUTE min_Calls NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
99,43,18.6,24,38.4,1,2.0,10,1.79,5.5,13,6,9,7,8,0,0,0,0.162790697674,0.186046511628,0.0,0.0,0.0,13,0.302325581395,2,11,5.5,5.5,20.25,10,1,2,24,12.0,12.0,64.0,20,4,2,6,3.0,3.0,1.0,4,2,2,23,11.5,11.5,90.25,21,2,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
41,12,8.3,4,43.9,1,2.0,2,1.42,1.5,4,2,3,3,0,0,0,0,0.25,0.0,0.0,0.0,0.0,4,0.333333333333,2,3,1.5,1.5,0.25,2,1,2,6,3.0,3.0,4.0,5,1,2,5,2.5,2.5,0.25,3,2,2,4,2.0,2.0,4.0,4,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
42,13,0,1,40.5,1,4.0,1,1.23,1.0,2,6,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
35,7,0,2,57.1,1,2.0,1,1.0,1.0,2,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.428571428571,2,2,1.0,1.0,0.0,1,1,2,2,1.0,1.0,0.0,1,1,2,4,2.0,2.0,0.0,2,2,2,2,1.0,1.0,0.0,1,1,valid
41,15,0,13,41.5,1,1.0,1,1.27,1.0,5,1,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,0.6,1,1,1.0,1.0,0.0,1,1,1,9,9.0,9.0,0.0,9,9,1,2,2.0,2.0,0.0,2,2,1,13,13.0,13.0,0.0,13,13,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
85,33,6.1,2,28.2,1,10.0,3,1.45,1.2,3,15,12,3,0,0,0,0,0.0909090909091,0.0,0.0,0.0,0.0,15,0.454545454545,10,12,1.2,1.0,0.36,3,1,10,15,1.5,1.0,0.85,4,1,10,21,2.1,2.0,0.09,3,2,10,2,0.2,0.0,0.16,1,0,valid
45,14,14.3,2,42.2,1,1.0,3,1.29,3.0,5,2,5,2,0,0,0,0,0.142857142857,0.0,0.0,0.0,0.0,5,0.357142857143,1,3,3.0,3.0,0.0,3,3,1,7,7.0,7.0,0.0,7,7,1,3,3.0,3.0,0.0,3,3,1,2,2.0,2.0,0.0,2,2,valid
183,78,6.4,78,14.2,3,3.0,4,3.7,2.5,26,7,5,5,2,2,3,19,0.0641025641026,0.025641025641,0.025641025641,0.0384615384615,0.24358974359,26,0.333333333333,6,15,2.5,2.0,0.583333333333,4,2,6,28,4.66666666667,2.0,26.2222222222,16,2,6,52,8.66666666667,9.0,0.888888888889,10,7,6,44,7.33333333333,3.0,103.555555556,30,1,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
105,27,0,10,55.2,1,7.0,1,1.0,1.0,9,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,0.333333333333,7,7,1.0,1.0,0.0,1,1,7,9,1.28571428571,1.0,0.204081632653,2,1,7,14,2.0,2.0,0.0,2,2,7,10,1.42857142857,1.0,0.530612244898,3,1,bugged
54,21,14.3,22,31.5,1,2.0,1,1.52,1.0,7,4,2,8,0,0,0,0,0.380952380952,0.0,0.0,0.0,0.0,8,0.380952380952,1,1,1.0,1.0,0.0,1,1,1,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0,0,1,1,1.0,1.0,0.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
57,23,0,2,29.8,1,6.0,1,1.13,1.0,6,8,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,0.391304347826,6,6,1.0,1.0,0.0,1,1,6,9,1.5,1.5,0.25,2,1,6,12,2.0,2.0,0.0,2,2,6,1,0.166666666667,0.0,0.138888888889,1,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
138,57,12.3,17,34.8,1,12.0,5,1.56,1.75,3,19,35,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35,0.614035087719,12,21,1.75,1.0,1.85416666667,5,1,12,35,2.91666666667,1.0,11.5763888889,12,1,12,24,2.0,2.0,0.0,2,2,12,17,1.41666666667,0.5,4.40972222222,7,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
49,19,15.8,6,34.7,1,3.0,2,1.74,2.0,4,3,6,6,0,0,0,0,0.315789473684,0.0,0.0,0.0,0.0,6,0.315789473684,3,6,2.0,2.0,0.0,2,2,3,12,4.0,4.0,0.0,4,4,3,9,3.0,3.0,0.0,3,3,3,6,2.0,2.0,0.0,2,2,valid
61,5,0,0,80.3,1,3.0,0,0.6,0.0,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
