% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,187,2,1,1,187.0,2.0,187.0,2.0,0,1,209.382465278,0,0,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,190.967638889,190.967638889,190.967638889,valid
2,177,6,2,2,88.5,3.0,88.5,3.0,0,2,340.2975,0,0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,190.967638889,190.967638889,190.967638889,valid
3,485,71,3,3,161.666666667,23.6666666667,161.666666667,23.6666666667,0,1,193.331041667,0,0,valid
6,2967,1253,6,6,494.5,208.833333333,494.5,208.833333333,0,2,21.4059953704,0,0,valid
2,732,34,2,2,366.0,17.0,366.0,17.0,0,2,18.4387152777,0,0,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,0,1,840.423171296,0,0,valid
9,190,121,9,9,21.1111111111,13.4444444444,21.1111111111,13.4444444444,8,5,12.3895717594,12.3895717594,12.3895717594,valid
5,127,71,5,5,25.4,14.2,25.4,14.2,1,4,118.206168981,118.206168981,118.206168981,valid
1,95,2,1,1,95.0,2.0,95.0,2.0,0,1,840.423171296,0,0,valid
11,620,170,11,11,56.3636363636,15.4545454545,56.3636363636,15.4545454545,7,6,27.1780902776,27.1780902776,27.1780902776,bugged
1,183,2,1,1,183.0,2.0,183.0,2.0,0,1,279.268576389,0,0,valid
13,1233,501,13,13,94.8461538462,38.5384615385,94.8461538462,38.5384615385,4,9,88.5609606481,88.5609606481,88.5609606481,valid
14,415,164,14,14,29.6428571429,11.7142857143,29.6428571429,11.7142857143,4,9,20.4138310184,20.4138310184,20.4138310184,bugged
6,523,55,6,6,87.1666666667,9.16666666667,87.1666666667,9.16666666667,1,4,151.456527778,151.456527778,151.456527778,bugged
3,271,18,3,3,90.3333333333,6.0,90.3333333333,6.0,1,2,39.328946759,39.328946759,39.328946759,valid
4,131,12,4,4,32.75,3.0,32.75,3.0,3,2,76.2174537037,76.2174537037,76.2174537037,bugged
1,1182,2,1,1,1182.0,2.0,1182.0,2.0,0,1,200.308645833,200.308645833,200.308645833,valid
11,1141,293,11,11,103.727272727,26.6363636364,103.727272727,26.6363636364,9,4,35.3496874999,35.3496874999,35.3496874999,bugged
9,706,90,9,9,78.4444444444,10.0,78.4444444444,10.0,1,6,151.456527778,151.456527778,151.456527778,bugged
3,841,26,3,3,280.333333333,8.66666666667,280.333333333,8.66666666667,2,2,200.308645833,200.308645833,200.308645833,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
13,833,487,13,13,64.0769230769,37.4615384615,64.0769230769,37.4615384615,5,9,85.4054861111,85.4054861111,85.4054861111,valid
38,5386,2245,38,38,141.736842105,59.0789473684,141.736842105,59.0789473684,25,10,20.4403587962,20.4403587962,20.4403587962,bugged
1,87,2,1,1,87.0,2.0,87.0,2.0,0,1,840.423171296,0,0,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,497.40556713,0,0,valid
1,159,2,1,1,159.0,2.0,159.0,2.0,0,1,69.2947916668,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,339,2,1,1,339.0,2.0,339.0,2.0,0,1,840.423171296,0,0,valid
5,87,93,5,5,17.4,18.6,17.4,18.6,0,2,111.542384259,0,0,valid
5,236,42,5,5,47.2,8.4,47.2,8.4,2,3,18.2568402779,84.2593865739,84.2593865739,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1002,2,1,1,1002.0,2.0,1002.0,2.0,0,1,264.392881944,0,0,valid
5,1017,1063,5,5,203.4,212.6,203.4,212.6,0,1,21.4059953704,0,0,valid
4,303,40,4,4,75.75,10.0,75.75,10.0,2,1,193.148391203,193.331041667,193.331041667,valid
2,58,5,2,2,29.0,2.5,29.0,2.5,0,2,830.295381945,0,0,valid
1,103,2,1,1,103.0,2.0,103.0,2.0,0,1,61.3739004629,61.3739004629,61.3739004629,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
41,2744,1704,41,41,66.9268292683,41.5609756098,66.9268292683,41.5609756098,10,18,0.147962962743,0.147962962743,0.147962962743,bugged
10,872,105,10,10,87.2,10.5,87.2,10.5,0,6,20.172800926,0,0,valid
5,311,239,5,5,62.2,47.8,62.2,47.8,4,5,64.1318402779,75.5207175924,75.5207175924,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
6,1155,449,6,6,192.5,74.8333333333,192.5,74.8333333333,0,2,21.4059953704,0,0,valid
8,615,381,8,8,76.875,47.625,76.875,47.625,0,4,249.219756945,0,0,valid
5,732,170,5,5,146.4,34.0,146.4,34.0,0,4,25.5939004631,0,0,valid
5,159,63,5,5,31.8,12.6,31.8,12.6,0,4,88.5609606481,0,0,valid
1,28,28,1,1,28.0,28.0,28.0,28.0,0,1,190.967638889,190.967638889,190.967638889,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,1017,7,2,2,508.5,3.5,508.5,3.5,1,2,151.456527778,151.456527778,151.456527778,valid
1,742,2,1,1,742.0,2.0,742.0,2.0,0,1,21.1859375001,21.1859375001,21.1859375001,valid
18,1169,496,18,18,64.9444444444,27.5555555556,64.9444444444,27.5555555556,4,11,56.3439467591,56.3439467591,56.3439467591,bugged
1,151,2,1,1,151.0,2.0,151.0,2.0,0,1,277.224722222,277.224722222,277.224722222,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,190.967638889,0,0,valid
2,1605,287,2,2,802.5,143.5,802.5,143.5,0,1,833.530914352,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,231,54,5,5,46.2,10.8,46.2,10.8,2,3,116.3503125,116.3503125,116.3503125,valid
