% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,337.275439815,0,0,valid
3,103,40,3,2,34.3333333333,13.3333333333,34.3333333333,20.0,0,2,974.792384259,0,0,valid
2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,1933.9581713,0,0,valid
2,18,8,2,1,9.0,4.0,9.0,8.0,0,1,1933.9581713,0,0,valid
3,4,9,2,3,1.33333333333,3.0,2.0,3.0,1,1,333.288252315,336.647731481,336.647731481,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,938.058842592,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
5,94,12,4,3,18.8,2.4,23.5,4.0,0,4,977.659884259,0,0,valid
5,160,92,5,4,32.0,18.4,32.0,23.0,0,3,926.664629629,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1034.68140046,0,0,valid
2,3,3,2,2,1.5,1.5,1.5,1.5,1,1,268.319340277,335.733090278,335.733090278,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,1817.29894676,0,0,valid
2,45,20,2,1,22.5,10.0,22.5,20.0,0,1,1933.9581713,0,0,valid
4,8,5,4,3,2.0,1.25,2.0,1.66666666667,0,2,337.24193287,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1199.07650463,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1034.68059028,0,0,valid
2,2,2,2,2,1.0,1.0,1.0,1.0,1,1,258.191469907,258.191469907,258.191469907,valid
1,3,6,1,1,3.0,6.0,3.0,6.0,0,1,329.581736111,0,0,valid
2,76,38,2,1,38.0,19.0,38.0,38.0,0,2,1245.76047454,0,0,valid
5,39,23,5,4,7.8,4.6,7.8,5.75,0,3,957.726493055,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,1199.07650463,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1199.07650463,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,938.058842592,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1566.61736111,0,0,valid
3,51,27,3,2,17.0,9.0,17.0,13.5,0,2,858.375115741,0,0,valid
2,20,10,2,1,10.0,5.0,10.0,10.0,0,2,1245.76047454,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
3,41,20,3,2,13.6666666667,6.66666666667,13.6666666667,10.0,0,2,1026.4181713,0,0,valid
1,58,0,1,0,58.0,0.0,58.0,0,0,1,1038.64622685,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,329.581736111,0,0,valid
2,4,2,1,1,2.0,1.0,4.0,2.0,0,1,1817.29894676,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,938.058842592,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1034.68140046,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1566.61736111,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1266.71915509,0,0,valid
2,20,10,2,1,10.0,5.0,10.0,10.0,1,1,333.271782407,336.647731481,336.647731481,valid
2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,1817.29894676,0,0,valid
3,57,29,2,2,19.0,9.66666666667,28.5,14.5,0,2,1245.76047454,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
3,8,4,3,2,2.66666666667,1.33333333333,2.66666666667,2.0,0,2,1772.54574074,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1059.4987037,0,0,valid
3,18,10,3,2,6.0,3.33333333333,6.0,5.0,0,2,555.13912037,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,33,0,1,0,33.0,0.0,33.0,0,0,1,1038.64429398,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
5,32,17,4,3,6.4,3.4,8.0,5.66666666667,1,2,1288.4737037,1609.43553241,1609.43553241,valid
1,27,0,1,0,27.0,0.0,27.0,0,0,1,871.6746875,0,0,valid
2,14,7,2,1,7.0,3.5,7.0,7.0,0,2,1245.76047454,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,1933.9581713,0,0,valid
3,30,0,3,0,10.0,0.0,10.0,0,0,1,832.375949074,0,0,valid
3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,0,2,1542.43472222,0,0,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,0,1,1933.9581713,0,0,valid
2,8,6,2,2,4.0,3.0,4.0,3.0,0,1,258.200231481,0,0,valid
5,30,17,5,4,6.0,3.4,6.0,4.25,1,2,555.13912037,1432.91571759,1432.91571759,valid
1,132,0,1,0,132.0,0.0,132.0,0,0,1,1038.64622685,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,938.058842592,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,235.170555555,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,333.271782407,336.647731481,336.647731481,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,1059.4987037,0,0,valid
3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,1,2,1432.91571759,1432.91571759,1432.91571759,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,0,2,1245.76047454,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1059.4987037,0,0,valid
2,21,8,2,1,10.5,4.0,10.5,8.0,0,1,1933.9581713,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,32,0,1,0,32.0,0.0,32.0,0,0,1,1059.4987037,0,0,valid
2,15,1,2,1,7.5,0.5,7.5,1.0,0,1,259.445983796,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1566.61736111,0,0,valid
3,20,10,3,2,6.66666666667,3.33333333333,6.66666666667,5.0,0,2,1542.43472222,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,841.375162037,0,0,valid
3,9,2,3,2,3.0,0.666666666667,3.0,1.0,0,2,1193.175,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,1933.9581713,0,0,valid
2,18,9,2,1,9.0,4.5,9.0,9.0,0,1,1933.9581713,0,0,valid
