% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
4,315,74,4,4,78.75,18.5,78.75,18.5,1,2,149,591880909.953,-363314519.741,valid
1,119,2,1,1,119.0,2.0,119.0,2.0,0,1,83,287298762.936,-9651692.19455,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
11,516,197,11,11,46.9090909091,17.9090909091,46.9090909091,17.9090909091,0,3,501,783376703.075,-967202564.085,valid
11,1385,213,11,11,125.909090909,19.3636363636,125.909090909,19.3636363636,0,3,718,2877958075.67,-1044743499.99,valid
2,15,11,2,2,7.5,5.5,7.5,5.5,0,1,542,9827120.59551,-54045588.5742,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,359,2,1,1,359.0,2.0,359.0,2.0,0,1,306,876629557.459,-9301972.50634,valid
12,621,310,12,12,51.75,25.8333333333,51.75,25.8333333333,0,2,496,763683506.98,-1522186338.89,valid
6,359,58,6,6,59.8333333333,9.66666666667,59.8333333333,9.66666666667,0,3,517,739193551.144,-284559882.586,valid
2,404,14,2,2,202.0,7.0,202.0,7.0,0,1,83,957662520.326,-68186998.9687,valid
8,313,86,8,8,39.125,10.75,39.125,10.75,0,2,766,557407540.484,-422168504.627,valid
1,247,2,1,1,247.0,2.0,247.0,2.0,0,1,306,601608519.825,-9465174.83079,valid
2,166,9,2,2,83.0,4.5,83.0,4.5,0,1,495,385520656.749,-43988424.7998,valid
2,271,46,2,2,135.5,23.0,135.5,23.0,0,1,697,552497621.414,-225690972.392,valid
3,282,9,3,3,94.0,3.0,94.0,3.0,0,2,720,670363780.649,-43815387.0131,valid
4,319,42,4,4,79.75,10.5,79.75,10.5,1,1,63,680318720.252,-206053316.776,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,779,281,3,3,259.666666667,93.6666666667,259.666666667,93.6666666667,0,1,83,1222862560.87,-1379314378.4,valid
23,862,471,23,23,37.4782608696,20.4782608696,37.4782608696,20.4782608696,1,3,562,960128690.865,-2312887052.86,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,283,94,4,4,70.75,23.5,70.75,23.5,0,1,739,464065596.006,-461547207.952,valid
2,430,217,2,2,215.0,108.5,215.0,108.5,0,2,27,523117229.14,-1065800623.6,valid
3,242,7,3,3,80.6666666667,2.33333333333,80.6666666667,2.33333333333,0,2,500,577053577.269,-34040215.8214,valid
2,6121,6,2,2,3060.5,3.0,3060.5,3.0,0,1,494,15022213409.9,-27126018.1166,valid
3,606,234,3,3,202.0,78.0,202.0,78.0,0,1,83,913462372.875,-1148671262.58,valid
9,2053,1927,9,9,228.111111111,214.111111111,228.111111111,214.111111111,1,3,188,309453447.89,-9468228482.77,valid
4,266,21,4,4,66.5,5.25,66.5,5.25,0,2,499,601608521.095,-102785278.706,valid
1,383,2,1,1,383.0,2.0,383.0,2.0,0,1,306,935562636.952,-9267000.57968,valid
2,130,5,2,2,65.0,2.5,65.0,2.5,0,2,499,306943123.008,-24376805.2691,valid
1,175,2,1,1,175.0,2.0,175.0,2.0,0,1,8,424891826.862,-9654544.69398,valid
8,1001,182,8,8,125.125,22.75,125.125,22.75,2,4,535,2011326742.97,-893292753.916,valid
1,295,2,1,1,295.0,2.0,295.0,2.0,0,1,306,719474678.811,-9395230.97745,valid
1,94,117,1,1,94.0,117.0,94.0,117.0,0,1,17,-56505805.8687,-574890398.769,valid
7,590,144,7,7,84.2857142857,20.5714285714,84.2857142857,20.5714285714,0,2,509,1095253865.75,-706781197.193,valid
2,257,10,2,2,128.5,5.0,128.5,5.0,0,1,83,606519596.967,-48751003.8902,valid
6,5663,3133,6,6,943.833333333,522.166666667,943.833333333,522.166666667,2,3,645,6212482444.87,-15385763276.0,valid
10,2088,395,10,10,208.8,39.5,208.8,39.5,0,4,756,4157378504.61,-1938043952.46,valid
