granularity,buggedType,version_name,valid,bug
Method,Most,abdera-0.4.0-incubating,7091,1
Method,Most,abdera-1.0,8571,7
Method,Most,abdera-1.1-RC1,8584,1
Method,Most,abdera-1.1.1-RC1,8587,12
Method,Most,abdera-1.1.1-RC2,8599,0
Method,Most,abdera-1.1.1,8599,0
Method,Most,abdera-1.1,8603,2
Method,Most,abdera-1.1.2,8605,0
Method,Most,abdera-1.1.2-RC1,8605,0
Method,Most,abdera-1.1.2-RC2,8560,11
Method,Most,abdera-1.1.3-RC1,8597,2
Method,All,abdera-0.4.0-incubating,7089,3
Method,All,abdera-1.0,8537,41
Method,All,abdera-1.1-RC1,8584,1
Method,All,abdera-1.1.1-RC1,8597,2
Method,All,abdera-1.1.1-RC2,8599,0
Method,All,abdera-1.1.1,8599,0
Method,All,abdera-1.1,8582,23
Method,All,abdera-1.1.2,8605,0
Method,All,abdera-1.1.2-RC1,8605,0
Method,All,abdera-1.1.2-RC2,8554,17
Method,All,abdera-1.1.3-RC1,8597,2
File,Most,abdera-0.4.0-incubating,1068,1
File,Most,abdera-1.0,1213,8
File,Most,abdera-1.1-RC1,1221,1
File,Most,abdera-1.1.1-RC1,1222,2
File,Most,abdera-1.1.1-RC2,1224,0
File,Most,abdera-1.1.1,1224,0
File,Most,abdera-1.1,1219,4
File,Most,abdera-1.1.2,1223,0
File,Most,abdera-1.1.2-RC1,1223,0
File,Most,abdera-1.1.2-RC2,1215,4
File,Most,abdera-1.1.3-RC1,1220,2
File,All,abdera-0.4.0-incubating,1068,1
File,All,abdera-1.0,1207,14
File,All,abdera-1.1-RC1,1221,1
File,All,abdera-1.1.1-RC1,1222,2
File,All,abdera-1.1.1-RC2,1224,0
File,All,abdera-1.1.1,1224,0
File,All,abdera-1.1,1215,8
File,All,abdera-1.1.2,1223,0
File,All,abdera-1.1.2-RC1,1223,0
File,All,abdera-1.1.2-RC2,1210,9
File,All,abdera-1.1.3-RC1,1220,2
