granularity,buggedType,version_name,valid,bug
File,All,1.3.5,1270,2
File,All,1.4.0,1239,376
File,All,1.4.1,1619,67
File,All,1.3.6,1562,323
File,All,1.4.2,1661,896
File,All,1.4.3,2346,341
File,All,1.5.0,2469,347
File,All,1.4.4,2342,822
File,All,1.5.1,3075,151
File,All,1.4.5,2916,524
File,All,1.4-development-closed,3440,3
File,All,1.6.0,3174,471
File,All,1.5.2,3630,20
File,All,1.6.1,2500,1387
File,All,1.6.2,3224,804
File,All,1.7.0,4014,72
File,All,1.5.3,4068,30
File,All,1.6.3,4018,178
File,All,1.5.4,4136,79
File,All,1.6.4,3912,343
File,All,rel/1.6.5,4178,89
File,All,rel/1.7.1,4111,201
File,All,rel/1.7.2,3882,421
File,All,rel/1.8.0,4287,25
File,All,rel/1.6.6,3622,497
File,All,rel/1.8.1,4097,22
File,All,rel/1.7.3,3659,752
File,All,rel/1.7.4,3606,850
File,All,rel/1.9.0,4423,78
File,All,rel/1.9.1,4373,152
File,All,rel/1.9.2,4213,401
File,Most,1.3.5,1270,2
File,Most,1.4.0,1539,76
File,Most,1.4.1,1677,9
File,Most,1.3.6,1814,71
File,Most,1.4.2,2359,198
File,Most,1.4.3,2578,109
File,Most,1.5.0,2762,54
File,Most,1.4.4,2968,196
File,Most,1.5.1,3169,57
File,Most,1.4.5,3393,47
File,Most,1.4-development-closed,3442,1
File,Most,1.6.0,3533,112
File,Most,1.5.2,3639,11
File,Most,1.6.1,3771,116
File,Most,1.6.2,3943,85
File,Most,1.7.0,4048,38
File,Most,1.5.3,4086,12
File,Most,1.6.3,4162,34
File,Most,1.5.4,4213,2
File,Most,1.6.4,4195,60
File,Most,rel/1.6.5,4263,4
File,Most,rel/1.7.1,4284,28
File,Most,rel/1.7.2,4267,36
File,Most,rel/1.8.0,4304,8
File,Most,rel/1.6.6,4083,36
File,Most,rel/1.8.1,4111,8
File,Most,rel/1.7.3,4316,95
File,Most,rel/1.7.4,4447,9
File,Most,rel/1.9.0,4486,15
File,Most,rel/1.9.1,4503,22
File,Most,rel/1.9.2,4583,31
Method,All,1.3.5,10812,1
Method,All,1.4.0,10789,1480
Method,All,1.4.1,12592,180
Method,All,1.3.6,13033,1128
Method,All,1.4.2,14270,6371
Method,All,1.4.3,20194,3040
Method,All,1.5.0,22781,1737
Method,All,1.4.4,23694,4019
Method,All,1.5.1,27777,546
Method,All,1.4.5,28178,1256
Method,All,1.4-development-closed,29438,6
Method,All,1.6.0,28864,2343
Method,All,1.5.2,31202,26
Method,All,1.6.1,28858,4469
Method,All,1.6.2,32798,1956
Method,All,1.7.0,34845,175
Method,All,1.5.3,34995,67
Method,All,1.6.3,35161,449
Method,All,1.5.4,35558,360
Method,All,1.6.4,35524,885
Method,All,rel/1.6.5,36326,213
Method,All,rel/1.7.1,35926,1375
Method,All,rel/1.7.2,36441,943
Method,All,rel/1.8.0,37400,55
Method,All,rel/1.6.6,33566,4345
Method,All,rel/1.8.1,37984,50
Method,All,rel/1.7.3,37154,2921
Method,All,rel/1.7.4,37982,2840
Method,All,rel/1.9.0,40833,191
Method,All,rel/1.9.1,40931,436
Method,All,rel/1.9.2,41190,754
Method,Most,1.3.5,10812,1
Method,Most,1.4.0,12161,108
Method,Most,1.4.1,12763,9
Method,Most,1.3.6,14049,112
Method,Most,1.4.2,20168,473
Method,Most,1.4.3,23087,147
Method,Most,1.5.0,24452,66
Method,Most,1.4.4,27341,372
Method,Most,1.5.1,28226,97
Method,Most,1.4.5,29369,65
Method,Most,1.4-development-closed,29441,3
Method,Most,1.6.0,30952,255
Method,Most,1.5.2,31201,27
Method,Most,1.6.1,33113,214
Method,Most,1.6.2,34598,156
Method,Most,1.7.0,34945,75
Method,Most,1.5.3,35036,26
Method,Most,1.6.3,35548,62
Method,Most,1.5.4,35914,4
Method,Most,1.6.4,36304,105
Method,Most,rel/1.6.5,36533,6
Method,Most,rel/1.7.1,37250,51
Method,Most,rel/1.7.2,37321,63
Method,Most,rel/1.8.0,37444,11
Method,Most,rel/1.6.6,37868,43
Method,Most,rel/1.8.1,38026,8
Method,Most,rel/1.7.3,39932,143
Method,Most,rel/1.7.4,40808,14
Method,Most,rel/1.9.0,41009,15
Method,Most,rel/1.9.1,41318,49
Method,Most,rel/1.9.2,41890,54
