granularity,buggedType,version_name,valid,bug
Method,Most,apollo-project-1.0-beta1,22556,0
Method,Most,apollo-project-1.0-beta2,23007,4
Method,Most,1.0-beta3,23017,3
Method,Most,apollo-project-1.0-beta3,23099,6
Method,Most,apollo-project-1.0-beta4,22989,4
Method,Most,apollo-project-1.0-beta5,22992,6
Method,Most,apollo-project-1.0-beta6,19915,8
Method,Most,apollo-project-1.0,19923,3
Method,Most,apollo-project-1.1,19941,13
Method,Most,apollo-project-1.2,19954,0
Method,Most,apollo-project-1.3,20139,8
Method,Most,apollo-project-1.4,20270,8
Method,Most,apollo-project-1.5,20302,2
Method,Most,apollo-project-1.6,20443,3
Method,Most,apollo-project-1.7,20446,1
Method,All,apollo-project-1.0-beta1,22556,0
Method,All,apollo-project-1.0-beta2,22994,17
Method,All,1.0-beta3,23007,13
Method,All,apollo-project-1.0-beta3,23013,92
Method,All,apollo-project-1.0-beta4,22971,22
Method,All,apollo-project-1.0-beta5,22987,11
Method,All,apollo-project-1.0-beta6,19896,27
Method,All,apollo-project-1.0,19907,19
Method,All,apollo-project-1.1,19928,26
Method,All,apollo-project-1.2,19954,0
Method,All,apollo-project-1.3,20140,7
Method,All,apollo-project-1.4,20244,34
Method,All,apollo-project-1.5,20278,26
Method,All,apollo-project-1.6,20438,8
Method,All,apollo-project-1.7,20445,2
File,Most,apollo-project-1.0-beta1,3232,0
File,Most,apollo-project-1.0-beta2,3284,9
File,Most,1.0-beta3,3292,2
File,Most,apollo-project-1.0-beta3,3354,8
File,Most,apollo-project-1.0-beta4,3344,6
File,Most,apollo-project-1.0-beta5,3350,4
File,Most,apollo-project-1.0-beta6,2858,9
File,Most,apollo-project-1.0,2868,4
File,Most,apollo-project-1.1,2872,7
File,Most,apollo-project-1.2,2879,0
File,Most,apollo-project-1.3,2911,2
File,Most,apollo-project-1.4,2939,9
File,Most,apollo-project-1.5,2972,4
File,Most,apollo-project-1.6,2994,5
File,Most,apollo-project-1.7,2998,1
File,All,apollo-project-1.0-beta1,3232,0
File,All,apollo-project-1.0-beta2,3275,18
File,All,1.0-beta3,3287,7
File,All,apollo-project-1.0-beta3,3265,97
File,All,apollo-project-1.0-beta4,3331,19
File,All,apollo-project-1.0-beta5,3348,6
File,All,apollo-project-1.0-beta6,2838,29
File,All,apollo-project-1.0,2861,11
File,All,apollo-project-1.1,2867,12
File,All,apollo-project-1.2,2879,0
File,All,apollo-project-1.3,2905,8
File,All,apollo-project-1.4,2918,30
File,All,apollo-project-1.5,2953,23
File,All,apollo-project-1.6,2992,7
File,All,apollo-project-1.7,2998,1
