granularity,buggedType,version_name,valid,bug
Method,Most,maven-archetype-1.0-alpha-4,155,1
Method,Most,maven-archetype-bundles-2,156,1
Method,Most,maven-archetype-parent-2,157,0
Method,Most,maven-archetype-portlet-1.0.1,157,0
Method,Most,maven-archetype-bundles-3,157,0
Method,Most,maven-archetype-1.0-alpha-5,157,0
Method,Most,maven-archetype-1.0-alpha-6,560,0
Method,Most,maven-archetype-1.0-alpha-7,1190,6
Method,Most,maven-archetype-2.0-alpha-1,1233,2
Method,Most,2.0-alpha-2,1235,0
Method,Most,maven-archetype-2.0-alpha-2,1255,12
Method,Most,maven-archetype-2.0-alpha-3,1250,22
Method,Most,maven-archetype-2.0-alpha-4,1379,2
Method,Most,maven-archetype-2.0-alpha-5,1388,0
Method,Most,maven-archetype-bundles-4,1388,0
Method,Most,maven-archetype-plugin-1.1,1388,0
Method,Most,maven-archetype-plugin-site-1.1,1388,0
Method,Most,maven-archetype-quickstart-1.1,1388,0
Method,Most,maven-archetype-site-1.1,1388,0
Method,Most,maven-archetype-site-simple-1.1,1480,1
Method,Most,maven-archetype-2.0,1555,0
Method,Most,maven-archetype-2.1,1563,12
Method,Most,maven-archetype-2.2,1580,3
Method,Most,maven-archetype-2.3,1589,3
Method,Most,maven-archetype-2.4,1627,9
Method,Most,maven-archetype-3.0.0,1640,1
Method,All,maven-archetype-1.0-alpha-4,147,9
Method,All,maven-archetype-bundles-2,156,1
Method,All,maven-archetype-parent-2,157,0
Method,All,maven-archetype-portlet-1.0.1,157,0
Method,All,maven-archetype-bundles-3,157,0
Method,All,maven-archetype-1.0-alpha-5,157,0
Method,All,maven-archetype-1.0-alpha-6,560,0
Method,All,maven-archetype-1.0-alpha-7,1190,6
Method,All,maven-archetype-2.0-alpha-1,1232,3
Method,All,2.0-alpha-2,1235,0
Method,All,maven-archetype-2.0-alpha-2,1221,46
Method,All,maven-archetype-2.0-alpha-3,1247,25
Method,All,maven-archetype-2.0-alpha-4,1372,9
Method,All,maven-archetype-2.0-alpha-5,1388,0
Method,All,maven-archetype-bundles-4,1388,0
Method,All,maven-archetype-plugin-1.1,1388,0
Method,All,maven-archetype-plugin-site-1.1,1388,0
Method,All,maven-archetype-quickstart-1.1,1388,0
Method,All,maven-archetype-site-1.1,1388,0
Method,All,maven-archetype-site-simple-1.1,1366,115
Method,All,maven-archetype-2.0,1555,0
Method,All,maven-archetype-2.1,1574,1
Method,All,maven-archetype-2.2,1578,5
Method,All,maven-archetype-2.3,1585,7
Method,All,maven-archetype-2.4,1597,39
Method,All,maven-archetype-3.0.0,1640,1
File,Most,maven-archetype-1.0-alpha-4,33,2
File,Most,maven-archetype-bundles-2,35,1
File,Most,maven-archetype-parent-2,36,0
File,Most,maven-archetype-portlet-1.0.1,36,0
File,Most,maven-archetype-bundles-3,36,0
File,Most,maven-archetype-1.0-alpha-5,36,0
File,Most,maven-archetype-1.0-alpha-6,155,0
File,Most,maven-archetype-1.0-alpha-7,321,2
File,Most,maven-archetype-2.0-alpha-1,326,3
File,Most,2.0-alpha-2,329,0
File,Most,maven-archetype-2.0-alpha-2,330,7
File,Most,maven-archetype-2.0-alpha-3,337,8
File,Most,maven-archetype-2.0-alpha-4,371,2
File,Most,maven-archetype-2.0-alpha-5,372,0
File,Most,maven-archetype-bundles-4,372,0
File,Most,maven-archetype-plugin-1.1,372,0
File,Most,maven-archetype-plugin-site-1.1,372,0
File,Most,maven-archetype-quickstart-1.1,372,0
File,Most,maven-archetype-site-1.1,372,0
File,Most,maven-archetype-site-simple-1.1,377,1
File,Most,maven-archetype-2.0,408,2
File,Most,maven-archetype-2.1,409,2
File,Most,maven-archetype-2.2,402,9
File,Most,maven-archetype-2.3,413,1
File,Most,maven-archetype-2.4,466,8
File,Most,maven-archetype-3.0.0,474,1
File,All,maven-archetype-1.0-alpha-4,32,3
File,All,maven-archetype-bundles-2,35,1
File,All,maven-archetype-parent-2,36,0
File,All,maven-archetype-portlet-1.0.1,36,0
File,All,maven-archetype-bundles-3,36,0
File,All,maven-archetype-1.0-alpha-5,36,0
File,All,maven-archetype-1.0-alpha-6,155,0
File,All,maven-archetype-1.0-alpha-7,320,3
File,All,maven-archetype-2.0-alpha-1,326,3
File,All,2.0-alpha-2,329,0
File,All,maven-archetype-2.0-alpha-2,317,20
File,All,maven-archetype-2.0-alpha-3,332,13
File,All,maven-archetype-2.0-alpha-4,371,2
File,All,maven-archetype-2.0-alpha-5,372,0
File,All,maven-archetype-bundles-4,372,0
File,All,maven-archetype-plugin-1.1,372,0
File,All,maven-archetype-plugin-site-1.1,372,0
File,All,maven-archetype-quickstart-1.1,372,0
File,All,maven-archetype-site-1.1,372,0
File,All,maven-archetype-site-simple-1.1,342,36
File,All,maven-archetype-2.0,395,15
File,All,maven-archetype-2.1,388,23
File,All,maven-archetype-2.2,402,9
File,All,maven-archetype-2.3,412,2
File,All,maven-archetype-2.4,454,20
File,All,maven-archetype-3.0.0,474,1
