granularity,buggedType,version_name,valid,bug
Method,Most,rel/0.2.0,5626,42
Method,Most,rel/0.3.0,7520,32
Method,Most,rel/0.5.0-incubating,8611,31
Method,Most,rel/0.6.0-incubating,8803,14
Method,Most,rel/0.7.0-incubating,9648,11
Method,Most,rel/0.8.0,9977,16
Method,Most,rel/0.9.0,11494,12
Method,Most,rel/0.10.0,11583,13
Method,Most,rel/0.11.0,11759,26
Method,Most,rel/0.12.0,12030,6
Method,Most,rel/0.13.0,12354,3
Method,Most,rel/0.14.0-rc0,12357,0
Method,Most,rel/0.14.0,12388,0
Method,Most,rel/0.15.0-rc0,12388,0
Method,Most,rel/0.15.0-rc1,12388,2
Method,Most,rel/0.15.0,12480,5
Method,Most,rel/0.16.0-rc0,12491,0
Method,Most,rel/0.16.0-rc1,12494,1
Method,Most,rel/0.16.0-rc2,12511,1
Method,Most,rel/0.16.0,12490,8
Method,Most,rel/0.17.0-rc0,12498,0
Method,Most,rel/0.17.0,12710,28
Method,Most,rel/0.18.0-rc0,12750,0
Method,Most,rel/0.18.0,12759,7
Method,Most,rel/0.18.1-rc0,12766,0
Method,Most,rel/0.18.1-rc1,12766,0
Method,Most,rel/0.18.1,12777,0
Method,Most,rel/0.19.0-rc0,12789,0
Method,Most,rel/0.19.0,12928,7
Method,Most,rel/0.19.1-rc0,12935,0
Method,Most,rel/0.19.1,12934,3
Method,Most,rel/0.20.0-rc0,12938,0
Method,Most,rel/0.20.0-rc1,12938,0
Method,Most,rel/0.20.0,13144,7
Method,Most,rel/0.21.0-rc0,13151,0
Method,Most,rel/0.21.0-rc1,13151,0
Method,All,rel/0.2.0,5665,3
Method,All,rel/0.3.0,7344,208
Method,All,rel/0.5.0-incubating,8447,195
Method,All,rel/0.6.0-incubating,8761,56
Method,All,rel/0.7.0-incubating,9622,37
Method,All,rel/0.8.0,9943,50
Method,All,rel/0.9.0,11428,78
Method,All,rel/0.10.0,11588,8
Method,All,rel/0.11.0,11746,39
Method,All,rel/0.12.0,12009,27
Method,All,rel/0.13.0,12342,15
Method,All,rel/0.14.0-rc0,12357,0
Method,All,rel/0.14.0,12388,0
Method,All,rel/0.15.0-rc0,12388,0
