granularity,buggedType,version_name,valid,bug
Method,Most,bsf-2.4.0,1112,0
Method,Most,bsf-2.4.0-rc1,1112,0
Method,Most,bsf-2.4.0-rc2,1112,0
Method,Most,bsf-3.0,1112,0
Method,Most,bsf-3.0-beta1,1112,0
Method,Most,bsf-3.0-beta2,1112,0
Method,Most,bsf-3.0-beta3,1112,0
Method,Most,bsf-3.1,1112,0
Method,All,bsf-2.4.0,1112,0
Method,All,bsf-2.4.0-rc1,1112,0
Method,All,bsf-2.4.0-rc2,1112,0
Method,All,bsf-3.0,1112,0
Method,All,bsf-3.0-beta1,1112,0
Method,All,bsf-3.0-beta2,1112,0
Method,All,bsf-3.0-beta3,1112,0
Method,All,bsf-3.1,1112,0
File,Most,bsf-2.4.0,208,0
File,Most,bsf-2.4.0-rc1,208,0
File,Most,bsf-2.4.0-rc2,208,0
File,Most,bsf-3.0,208,0
File,Most,bsf-3.0-beta1,208,0
File,Most,bsf-3.0-beta2,208,0
File,Most,bsf-3.0-beta3,208,0
File,Most,bsf-3.1,208,0
File,All,bsf-2.4.0,208,0
File,All,bsf-2.4.0-rc1,208,0
File,All,bsf-2.4.0-rc2,208,0
File,All,bsf-3.0,208,0
File,All,bsf-3.0-beta1,208,0
File,All,bsf-3.0-beta2,208,0
File,All,bsf-3.0-beta3,208,0
File,All,bsf-3.1,208,0
