granularity,buggedType,version_name,valid,bug
Method,Most,3.0M1,15539,21
Method,Most,3.0M2,18336,14
Method,Most,3.0M3,19489,35
Method,Most,3.0M4,20954,49
Method,Most,3.0M5,22021,28
Method,Most,3.0M6,23046,28
Method,Most,3.0B1,23741,15
Method,Most,3.0RC1,24671,44
Method,Most,3.0RC2,24715,0
Method,Most,3.0RC3,24836,3
Method,Most,3.0-final,25778,7
Method,Most,3.0.1,26194,8
Method,Most,3.1M1,26406,6
Method,Most,3.1M2,27067,9
Method,Most,3.0.2,27265,12
Method,Most,3.1M3,28107,46
Method,Most,3.1B1,28480,121
Method,Most,cayenne-parent-3.1B2,28601,0
Method,Most,3.1B2,28935,12
Method,Most,cayenne-parent-3.2M1,30149,25
Method,Most,cayenne-parent-3.1RC1,32009,20
Method,Most,cayenne-parent-3.1,34992,169
Method,Most,4.0.M2,38631,20
Method,Most,4.0.M3,39184,29
Method,Most,cayenne-parent-3.1.1,40353,35
Method,Most,4.0.M4,42980,36
Method,Most,4.0.M5,44408,48
Method,Most,4.0.B1,46819,24
Method,Most,4.0.B2,46879,4
Method,Most,4.1.M1,46892,1
Method,Most,3.1.2,47897,28
Method,Most,4.0.RC1,48069,13
Method,Most,3.1.3,48083,0
Method,Most,4.1.M2,48165,1
Method,All,3.0M1,15482,78
Method,All,3.0M2,18191,159
Method,All,3.0M3,19364,160
Method,All,3.0M4,20779,224
Method,All,3.0M5,21811,238
Method,All,3.0M6,22813,261
Method,All,3.0B1,23708,48
Method,All,3.0RC1,24567,148
Method,All,3.0RC2,24715,0
Method,All,3.0RC3,24831,8
Method,All,3.0-final,25769,16
Method,All,3.0.1,26136,66
Method,All,3.1M1,26392,20
Method,All,3.1M2,27047,29
Method,All,3.0.2,27245,32
Method,All,3.1M3,27919,234
Method,All,3.1B1,28380,221
Method,All,cayenne-parent-3.1B2,28601,0
Method,All,3.1B2,28668,279
Method,All,cayenne-parent-3.2M1,30107,67
Method,All,cayenne-parent-3.1RC1,31576,453
Method,All,cayenne-parent-3.1,34585,576
Method,All,4.0.M2,37077,1574
Method,All,4.0.M3,39206,7
Method,All,cayenne-parent-3.1.1,40091,297
Method,All,4.0.M4,42340,676
Method,All,4.0.M5,43731,725
Method,All,4.0.B1,46650,193
Method,All,4.0.B2,46856,27
Method,All,4.1.M1,46891,2
Method,All,3.1.2,47789,136
Method,All,4.0.RC1,48027,55
Method,All,3.1.3,48083,0
Method,All,4.1.M2,48165,1
File,Most,3.0M1,2815,18
File,Most,3.0M2,3937,15
File,Most,3.0M3,4106,23
File,Most,3.0M4,4653,25
File,Most,3.0M5,4768,24
File,Most,3.0M6,4904,22
File,Most,3.0B1,4901,13
File,Most,3.0RC1,4977,33
File,Most,3.0RC2,5010,0
File,Most,3.0RC3,5048,3
File,Most,3.0-final,5319,5
File,Most,3.0.1,5356,7
File,Most,3.1M1,5420,6
File,Most,3.1M2,5455,8
File,Most,3.0.2,5460,12
File,Most,3.1M3,5556,29
File,Most,3.1B1,5590,25
File,Most,cayenne-parent-3.1B2,5615,0
File,Most,3.1B2,5624,9
File,Most,cayenne-parent-3.2M1,6000,15
File,Most,cayenne-parent-3.1RC1,6650,16
File,Most,cayenne-parent-3.1,7595,12
File,Most,4.0.M2,7892,12
File,Most,4.0.M3,8031,4
File,Most,cayenne-parent-3.1.1,8285,28
File,Most,4.0.M4,8698,24
File,Most,4.0.M5,9018,37
File,Most,4.0.B1,9210,19
File,Most,4.0.B2,9229,4
File,Most,4.1.M1,9234,1
File,Most,3.1.2,9350,20
File,Most,4.0.RC1,9376,11
File,Most,3.1.3,9387,0
File,Most,4.1.M2,9391,1
File,All,3.0M1,2783,50
File,All,3.0M2,3872,80
File,All,3.0M3,4072,57
File,All,3.0M4,4612,66
File,All,3.0M5,4706,86
File,All,3.0M6,4832,94
File,All,3.0B1,4881,33
File,All,3.0RC1,4947,63
File,All,3.0RC2,5010,0
File,All,3.0RC3,5047,4
File,All,3.0-final,5315,9
File,All,3.0.1,5343,20
File,All,3.1M1,5413,13
File,All,3.1M2,5445,18
File,All,3.0.2,5446,26
File,All,3.1M3,5538,47
File,All,3.1B1,5557,58
File,All,cayenne-parent-3.1B2,5615,0
File,All,3.1B2,5561,72
File,All,cayenne-parent-3.2M1,5979,36
File,All,cayenne-parent-3.1RC1,6434,232
File,All,cayenne-parent-3.1,7318,289
File,All,4.0.M2,7698,206
File,All,4.0.M3,8030,5
File,All,cayenne-parent-3.1.1,8212,101
File,All,4.0.M4,8428,294
File,All,4.0.M5,8740,315
File,All,4.0.B1,9135,94
File,All,4.0.B2,9224,9
File,All,4.1.M1,9234,1
File,All,3.1.2,9331,39
File,All,4.0.RC1,9362,25
File,All,3.1.3,9387,0
File,All,4.1.M2,9391,1
