granularity,buggedType,version_name,valid,bug
Method,Most,CHAIN_1_0,1111,0
Method,Most,CHAIN_1_1,1111,0
Method,Most,CHAIN_1_1_RC1,1111,0
Method,Most,CHAIN_1_1_RC2,1111,0
Method,Most,CHAIN_1_1_RC3,1111,0
Method,Most,start,995,7
Method,Most,CHAIN_1_2_RC1,1002,0
Method,Most,CHAIN_1_2_RC2,1020,1
Method,Most,CHAIN_1_2_RC3,1021,0
Method,All,CHAIN_1_0,1111,0
Method,All,CHAIN_1_1,1111,0
Method,All,CHAIN_1_1_RC1,1111,0
Method,All,CHAIN_1_1_RC2,1111,0
Method,All,CHAIN_1_1_RC3,1111,0
Method,All,start,995,7
Method,All,CHAIN_1_2_RC1,1002,0
Method,All,CHAIN_1_2_RC2,1018,3
Method,All,CHAIN_1_2_RC3,1021,0
File,Most,CHAIN_1_0,140,0
File,Most,CHAIN_1_1,140,0
File,Most,CHAIN_1_1_RC1,140,0
File,Most,CHAIN_1_1_RC2,140,0
File,Most,CHAIN_1_1_RC3,140,0
File,Most,start,98,7
File,Most,CHAIN_1_2_RC1,105,0
File,Most,CHAIN_1_2_RC2,108,1
File,Most,CHAIN_1_2_RC3,109,0
File,All,CHAIN_1_0,140,0
File,All,CHAIN_1_1,140,0
File,All,CHAIN_1_1_RC1,140,0
File,All,CHAIN_1_1_RC2,140,0
File,All,CHAIN_1_1_RC3,140,0
File,All,start,98,7
File,All,CHAIN_1_2_RC1,105,0
File,All,CHAIN_1_2_RC2,108,1
File,All,CHAIN_1_2_RC3,109,0
