granularity,buggedType,version_name,valid,bug
Method,Most,chukwa-0.1.2-rc2,2378,0
Method,Most,chukwa-0.1.2rc3,2378,0
Method,Most,chukwa-0.2-rc1,2378,0
Method,Most,chukwa-0.4.0,2378,0
Method,Most,chukwa-0.5.0,2378,0
Method,Most,chukwa-0.5.0-rc0,2378,0
Method,Most,chukwa-0.5.0-rc1,2378,0
Method,Most,chukwa-0.5.0-rc2,2378,0
Method,Most,chukwa-0.5.0-rc3,2378,0
Method,Most,release-0.1.2,2378,0
Method,Most,release-0.1.2-rc1,2378,0
Method,Most,release-0.1.2-rc4,2538,2
Method,Most,chukwa-0.6.0-rc0,2540,0
Method,Most,chukwa-0.6.0-rc1,2540,0
Method,Most,chukwa-0.6.0-rc2,2540,0
Method,Most,chukwa-0.6.0-rc3,2540,0
Method,Most,chukwa-0.6.0-rc4,2540,0
Method,Most,chukwa-0.6.0,2545,0
Method,Most,chukwa-0.1.2,2545,0
Method,Most,chukwa-0.2.0,3071,0
Method,Most,chukwa-0.7.0-rc0,3119,0
Method,Most,chukwa-0.7.0,3120,2
Method,Most,chukwa-0.8.0-rc0,3122,0
Method,Most,chukwa-0.8.0-rc1,3122,0
Method,Most,chukwa-0.8.0,3122,0
Method,All,chukwa-0.1.2-rc2,2378,0
Method,All,chukwa-0.1.2rc3,2378,0
Method,All,chukwa-0.2-rc1,2378,0
Method,All,chukwa-0.4.0,2378,0
Method,All,chukwa-0.5.0,2378,0
Method,All,chukwa-0.5.0-rc0,2378,0
Method,All,chukwa-0.5.0-rc1,2378,0
Method,All,chukwa-0.5.0-rc2,2378,0
Method,All,chukwa-0.5.0-rc3,2378,0
Method,All,release-0.1.2,2378,0
Method,All,release-0.1.2-rc1,2378,0
Method,All,release-0.1.2-rc4,2540,0
Method,All,chukwa-0.6.0-rc0,2540,0
Method,All,chukwa-0.6.0-rc1,2540,0
Method,All,chukwa-0.6.0-rc2,2540,0
Method,All,chukwa-0.6.0-rc3,2540,0
Method,All,chukwa-0.6.0-rc4,2540,0
Method,All,chukwa-0.6.0,2545,0
Method,All,chukwa-0.1.2,2545,0
Method,All,chukwa-0.2.0,3071,0
Method,All,chukwa-0.7.0-rc0,3119,0
Method,All,chukwa-0.7.0,3086,36
Method,All,chukwa-0.8.0-rc0,3122,0
Method,All,chukwa-0.8.0-rc1,3122,0
Method,All,chukwa-0.8.0,3122,0
File,Most,chukwa-0.1.2-rc2,604,0
File,Most,chukwa-0.1.2rc3,604,0
File,Most,chukwa-0.2-rc1,604,0
File,Most,chukwa-0.4.0,604,0
File,Most,chukwa-0.5.0,604,0
File,Most,chukwa-0.5.0-rc0,604,0
File,Most,chukwa-0.5.0-rc1,604,0
File,Most,chukwa-0.5.0-rc2,604,0
File,Most,chukwa-0.5.0-rc3,604,0
File,Most,release-0.1.2,604,0
File,Most,release-0.1.2-rc1,604,0
File,Most,release-0.1.2-rc4,637,0
File,Most,chukwa-0.6.0-rc0,637,0
File,Most,chukwa-0.6.0-rc1,637,0
File,Most,chukwa-0.6.0-rc2,637,0
File,Most,chukwa-0.6.0-rc3,637,0
File,Most,chukwa-0.6.0-rc4,637,0
File,Most,chukwa-0.6.0,637,0
File,Most,chukwa-0.1.2,637,0
File,Most,chukwa-0.2.0,741,0
File,Most,chukwa-0.7.0-rc0,744,0
File,Most,chukwa-0.7.0,759,2
File,Most,chukwa-0.8.0-rc0,761,0
File,Most,chukwa-0.8.0-rc1,761,0
File,Most,chukwa-0.8.0,761,0
File,All,chukwa-0.1.2-rc2,604,0
File,All,chukwa-0.1.2rc3,604,0
File,All,chukwa-0.2-rc1,604,0
File,All,chukwa-0.4.0,604,0
File,All,chukwa-0.5.0,604,0
File,All,chukwa-0.5.0-rc0,604,0
File,All,chukwa-0.5.0-rc1,604,0
File,All,chukwa-0.5.0-rc2,604,0
File,All,chukwa-0.5.0-rc3,604,0
File,All,release-0.1.2,604,0
File,All,release-0.1.2-rc1,604,0
File,All,release-0.1.2-rc4,637,0
File,All,chukwa-0.6.0-rc0,637,0
File,All,chukwa-0.6.0-rc1,637,0
File,All,chukwa-0.6.0-rc2,637,0
File,All,chukwa-0.6.0-rc3,637,0
File,All,chukwa-0.6.0-rc4,637,0
File,All,chukwa-0.6.0,637,0
File,All,chukwa-0.1.2,637,0
File,All,chukwa-0.2.0,741,0
File,All,chukwa-0.7.0-rc0,744,0
File,All,chukwa-0.7.0,701,60
File,All,chukwa-0.8.0-rc0,761,0
File,All,chukwa-0.8.0-rc1,761,0
File,All,chukwa-0.8.0,761,0
