granularity,buggedType,version_name,valid,bug
Method,Most,collections-0-01,7936,0
Method,Most,collections-0-02,7936,0
Method,Most,collections-1.0,7936,0
Method,Most,collections-2.0,7936,0
Method,Most,collections-2.1,7936,0
Method,Most,collections-2.1-RC1,7936,0
Method,Most,collections-2.1-RC2,7936,0
Method,Most,collections-2.1.1,7936,0
Method,Most,collections-3.0,7936,0
Method,Most,collections-3.0-RC1,7936,0
Method,Most,collections-3.1,7936,0
Method,Most,collections-3.2,7936,0
Method,Most,collections-snapshot-20040102,7936,0
Method,Most,jwsdp_10_ea2_01,7936,0
Method,Most,post-apache-license-2.0,7936,0
Method,Most,pre-generics,7936,0
Method,Most,primitives-created,7936,0
Method,Most,start,7936,0
Method,Most,struts-1.1-B2,7936,0
Method,Most,struts-1.1-B3,7936,0
Method,Most,struts-1.1-RC1,7963,15
Method,Most,collections-3.2.1-RC1,8000,13
Method,Most,collections-3.3,8013,0
Method,Most,collections-3.3-RC1,8088,11
Method,Most,pre-generics-merge,8367,17
Method,Most,collections-3.2.1,13851,4
Method,Most,collections-4.0-alpha1-RC1,13855,2
Method,Most,collections-4.0-alpha1-RC2,13867,0
Method,Most,collections-4.0-alpha1,13869,2
Method,Most,collections-4.0-RC1,13871,0
Method,Most,collections-4.0-RC2,14017,0
Method,Most,collections-4.0-RC3,14021,2
Method,Most,collections-4.0-RC4,14024,0
Method,Most,collections-4.0-RC5,14024,0
Method,Most,collections-4.0,14819,16
Method,Most,collections-3.2.2-RC1,14835,0
Method,Most,collections-3.2.2-RC2,14835,0
Method,Most,collections-3.2.2-RC3,14837,0
Method,Most,collections-3.2.2,14973,0
Method,Most,collections-4.1-RC1,14973,0
Method,Most,collections-4.1-RC2,14973,0
Method,Most,collections-4.1,15074,14
Method,Most,commons-collections-4.2,15088,0
Method,All,collections-0-01,7936,0
Method,All,collections-0-02,7936,0
Method,All,collections-1.0,7936,0
Method,All,collections-2.0,7936,0
Method,All,collections-2.1,7936,0
Method,All,collections-2.1-RC1,7936,0
Method,All,collections-2.1-RC2,7936,0
Method,All,collections-2.1.1,7936,0
Method,All,collections-3.0,7936,0
Method,All,collections-3.0-RC1,7936,0
Method,All,collections-3.1,7936,0
Method,All,collections-3.2,7936,0
Method,All,collections-snapshot-20040102,7936,0
Method,All,jwsdp_10_ea2_01,7936,0
Method,All,post-apache-license-2.0,7936,0
Method,All,pre-generics,7936,0
Method,All,primitives-created,7936,0
Method,All,start,7936,0
Method,All,struts-1.1-B2,7936,0
Method,All,struts-1.1-B3,7936,0
Method,All,struts-1.1-RC1,7946,32
Method,All,collections-3.2.1-RC1,8000,13
Method,All,collections-3.3,8013,0
Method,All,collections-3.3-RC1,7159,940
Method,All,pre-generics-merge,8360,24
Method,All,collections-3.2.1,13846,9
Method,All,collections-4.0-alpha1-RC1,13856,1
Method,All,collections-4.0-alpha1-RC2,13867,0
Method,All,collections-4.0-alpha1,13870,1
Method,All,collections-4.0-RC1,13871,0
Method,All,collections-4.0-RC2,14017,0
Method,All,collections-4.0-RC3,14023,0
Method,All,collections-4.0-RC4,14024,0
Method,All,collections-4.0-RC5,14024,0
Method,All,collections-4.0,14835,0
Method,All,collections-3.2.2-RC1,14835,0
Method,All,collections-3.2.2-RC2,14835,0
Method,All,collections-3.2.2-RC3,14837,0
Method,All,collections-3.2.2,14973,0
Method,All,collections-4.1-RC1,14973,0
Method,All,collections-4.1-RC2,14973,0
Method,All,collections-4.1,15081,7
Method,All,commons-collections-4.2,15088,0
File,Most,collections-0-01,631,0
File,Most,collections-0-02,631,0
File,Most,collections-1.0,631,0
File,Most,collections-2.0,631,0
File,Most,collections-2.1,631,0
File,Most,collections-2.1-RC1,631,0
File,Most,collections-2.1-RC2,631,0
File,Most,collections-2.1.1,631,0
File,Most,collections-3.0,631,0
File,Most,collections-3.0-RC1,631,0
File,Most,collections-3.1,631,0
File,Most,collections-3.2,631,0
File,Most,collections-snapshot-20040102,631,0
File,Most,jwsdp_10_ea2_01,631,0
File,Most,post-apache-license-2.0,631,0
File,Most,pre-generics,631,0
File,Most,primitives-created,631,0
File,Most,start,631,0
File,Most,struts-1.1-B2,631,0
File,Most,struts-1.1-B3,631,0
File,Most,struts-1.1-RC1,620,11
File,Most,collections-3.2.1-RC1,604,29
File,Most,collections-3.3,633,0
File,Most,collections-3.3-RC1,594,10
File,Most,pre-generics-merge,597,10
File,Most,collections-3.2.1,1258,2
File,Most,collections-4.0-alpha1-RC1,1259,1
File,Most,collections-4.0-alpha1-RC2,1262,0
File,Most,collections-4.0-alpha1,1261,1
File,Most,collections-4.0-RC1,1262,0
File,Most,collections-4.0-RC2,1270,0
File,Most,collections-4.0-RC3,1270,0
File,Most,collections-4.0-RC4,1271,0
File,Most,collections-4.0-RC5,1271,0
File,Most,collections-4.0,1317,1
File,Most,collections-3.2.2-RC1,1318,0
File,Most,collections-3.2.2-RC2,1318,0
File,Most,collections-3.2.2-RC3,1318,0
File,Most,collections-3.2.2,1327,0
File,Most,collections-4.1-RC1,1327,0
File,Most,collections-4.1-RC2,1327,0
File,Most,collections-4.1,1330,7
File,Most,commons-collections-4.2,1337,0
File,All,collections-0-01,631,0
File,All,collections-0-02,631,0
File,All,collections-1.0,631,0
File,All,collections-2.0,631,0
File,All,collections-2.1,631,0
File,All,collections-2.1-RC1,631,0
File,All,collections-2.1-RC2,631,0
File,All,collections-2.1.1,631,0
File,All,collections-3.0,631,0
File,All,collections-3.0-RC1,631,0
File,All,collections-3.1,631,0
File,All,collections-3.2,631,0
File,All,collections-snapshot-20040102,631,0
File,All,jwsdp_10_ea2_01,631,0
File,All,post-apache-license-2.0,631,0
File,All,pre-generics,631,0
File,All,primitives-created,631,0
File,All,start,631,0
File,All,struts-1.1-B2,631,0
File,All,struts-1.1-B3,631,0
File,All,struts-1.1-RC1,611,20
File,All,collections-3.2.1-RC1,603,30
File,All,collections-3.3,633,0
File,All,collections-3.3-RC1,378,226
File,All,pre-generics-merge,579,28
File,All,collections-3.2.1,1257,3
File,All,collections-4.0-alpha1-RC1,1259,1
File,All,collections-4.0-alpha1-RC2,1262,0
File,All,collections-4.0-alpha1,1261,1
File,All,collections-4.0-RC1,1262,0
File,All,collections-4.0-RC2,1270,0
File,All,collections-4.0-RC3,1270,0
File,All,collections-4.0-RC4,1271,0
File,All,collections-4.0-RC5,1271,0
File,All,collections-4.0,1317,1
File,All,collections-3.2.2-RC1,1318,0
File,All,collections-3.2.2-RC2,1318,0
File,All,collections-3.2.2-RC3,1318,0
File,All,collections-3.2.2,1327,0
File,All,collections-4.1-RC1,1327,0
File,All,collections-4.1-RC2,1327,0
File,All,collections-4.1,1258,79
File,All,commons-collections-4.2,1337,0
