granularity,buggedType,version_name,valid,bug
Method,Most,CSV_1.0_RC1,917,5
Method,Most,CSV_1.0_RC2,939,0
Method,Most,CSV_1.0_RC3,939,0
Method,Most,CSV_1.0,964,0
Method,Most,1.1-RC1,964,0
Method,Most,1.1,964,0
Method,Most,CSV_1.1,984,1
Method,Most,csv-1.2-RC1,985,0
Method,Most,csv-1.2-RC2,985,0
Method,Most,csv-1.2,1028,4
Method,Most,csv-1.3-RC1,1032,1
Method,Most,csv-1.3,1038,0
Method,Most,csv-1.4-RC1,1036,0
Method,Most,csv-1.4-RC2,1036,0
Method,Most,csv-1.4,1106,9
Method,Most,csv-1.5,1115,0
Method,Most,csv-1.5-RC1,1136,2
Method,Most,csv-1.6,1138,0
Method,All,CSV_1.0_RC1,921,1
Method,All,CSV_1.0_RC2,939,0
Method,All,CSV_1.0_RC3,939,0
Method,All,CSV_1.0,964,0
Method,All,1.1-RC1,964,0
Method,All,1.1,964,0
Method,All,CSV_1.1,984,1
Method,All,csv-1.2-RC1,985,0
Method,All,csv-1.2-RC2,985,0
Method,All,csv-1.2,1029,3
Method,All,csv-1.3-RC1,1032,1
Method,All,csv-1.3,1038,0
Method,All,csv-1.4-RC1,1036,0
Method,All,csv-1.4-RC2,1036,0
Method,All,csv-1.4,1115,0
Method,All,csv-1.5,1115,0
Method,All,csv-1.5-RC1,1137,1
Method,All,csv-1.6,1138,0
File,Most,CSV_1.0_RC1,54,1
File,Most,CSV_1.0_RC2,56,0
File,Most,CSV_1.0_RC3,56,0
File,Most,CSV_1.0,56,0
File,Most,1.1-RC1,56,0
File,Most,1.1,56,0
File,Most,CSV_1.1,57,1
File,Most,csv-1.2-RC1,58,0
File,Most,csv-1.2-RC2,58,0
File,Most,csv-1.2,59,2
File,Most,csv-1.3-RC1,60,1
File,Most,csv-1.3,61,0
File,Most,csv-1.4-RC1,60,0
File,Most,csv-1.4-RC2,60,0
File,Most,csv-1.4,66,0
File,Most,csv-1.5,66,0
File,Most,csv-1.5-RC1,65,1
File,Most,csv-1.6,66,0
File,All,CSV_1.0_RC1,54,1
File,All,CSV_1.0_RC2,56,0
File,All,CSV_1.0_RC3,56,0
File,All,CSV_1.0,56,0
File,All,1.1-RC1,56,0
File,All,1.1,56,0
File,All,CSV_1.1,57,1
File,All,csv-1.2-RC1,58,0
File,All,csv-1.2-RC2,58,0
File,All,csv-1.2,59,2
File,All,csv-1.3-RC1,60,1
File,All,csv-1.3,61,0
File,All,csv-1.4-RC1,60,0
File,All,csv-1.4-RC2,60,0
File,All,csv-1.4,66,0
File,All,csv-1.5,66,0
File,All,csv-1.5-RC1,65,1
File,All,csv-1.6,66,0
