granularity,buggedType,version_name,valid,bug
Method,Most,0.3.51-RC0,4106,1
Method,Most,0.3.51-RC1,4777,19
Method,Most,v0.4.0-incubating_2.10,5239,5
Method,Most,v0.4.0-incubating_2.11,5309,9
Method,All,0.3.51-RC0,4107,0
Method,All,0.3.51-RC1,1422,3374
Method,All,v0.4.0-incubating_2.10,4386,858
Method,All,v0.4.0-incubating_2.11,5103,215
File,Most,0.3.51-RC0,517,1
File,Most,0.3.51-RC1,595,8
File,Most,v0.4.0-incubating_2.10,715,4
File,Most,v0.4.0-incubating_2.11,727,4
File,All,0.3.51-RC0,517,1
File,All,0.3.51-RC1,143,460
File,All,v0.4.0-incubating_2.10,472,247
File,All,v0.4.0-incubating_2.11,657,74
