granularity,buggedType,version_name,valid,bug
Method,Most,doxia-1.0-alpha-6,2492,0
Method,Most,doxia-1.0-alpha-7,2492,0
Method,Most,doxia-1.0-alpha-8,2492,0
Method,Most,doxia-core-1.0-alpha-2,2492,0
Method,Most,doxia-core-1.0-alpha-3,2492,0
Method,Most,doxia-core-1.0-alpha-4,2492,0
Method,Most,doxia-core-1.0-alpha-5,2492,0
Method,Most,doxia-module-twiki-1.5-syntax,2492,0
Method,Most,doxia-sink-api-1.0-alpha-4,2492,0
Method,Most,doxia-sink-api-1.0-alpha-5,3142,17
Method,Most,doxia-1.0-alpha-9,3411,2
Method,Most,doxia-1.0-alpha-10,4026,2
Method,Most,doxia-1.0-alpha-11,4477,6
Method,Most,doxia-1.0,4507,1
Method,Most,doxia-1.1,4845,14
Method,Most,doxia-1.1.1,4900,10
Method,Most,doxia-1.1.2,4926,2
Method,Most,doxia-1.1.3,4928,0
Method,Most,doxia-1.1.4,4963,2
Method,Most,doxia-1.2,4882,1
Method,Most,doxia-1.3,4929,0
Method,Most,doxia-1.4,4935,0
Method,Most,doxia-1.5,4957,0
Method,Most,doxia-1.6,5006,0
Method,Most,doxia-1.7,5029,0
Method,All,doxia-1.0-alpha-6,2492,0
Method,All,doxia-1.0-alpha-7,2492,0
Method,All,doxia-1.0-alpha-8,2492,0
Method,All,doxia-core-1.0-alpha-2,2492,0
Method,All,doxia-core-1.0-alpha-3,2492,0
Method,All,doxia-core-1.0-alpha-4,2492,0
Method,All,doxia-core-1.0-alpha-5,2492,0
Method,All,doxia-module-twiki-1.5-syntax,2492,0
Method,All,doxia-sink-api-1.0-alpha-4,2492,0
Method,All,doxia-sink-api-1.0-alpha-5,3133,26
Method,All,doxia-1.0-alpha-9,3411,2
Method,All,doxia-1.0-alpha-10,4027,1
Method,All,doxia-1.0-alpha-11,4460,23
Method,All,doxia-1.0,4503,5
Method,All,doxia-1.1,4816,43
Method,All,doxia-1.1.1,4796,114
Method,All,doxia-1.1.2,4925,3
Method,All,doxia-1.1.3,4928,0
Method,All,doxia-1.1.4,4809,156
Method,All,doxia-1.2,4860,23
Method,All,doxia-1.3,4929,0
Method,All,doxia-1.4,4935,0
Method,All,doxia-1.5,4957,0
Method,All,doxia-1.6,5006,0
Method,All,doxia-1.7,5029,0
File,Most,doxia-1.0-alpha-6,283,0
File,Most,doxia-1.0-alpha-7,283,0
File,Most,doxia-1.0-alpha-8,283,0
File,Most,doxia-core-1.0-alpha-2,283,0
File,Most,doxia-core-1.0-alpha-3,283,0
File,Most,doxia-core-1.0-alpha-4,283,0
File,Most,doxia-core-1.0-alpha-5,283,0
File,Most,doxia-module-twiki-1.5-syntax,283,0
File,Most,doxia-sink-api-1.0-alpha-4,283,0
File,Most,doxia-sink-api-1.0-alpha-5,338,6
File,Most,doxia-1.0-alpha-9,353,2
File,Most,doxia-1.0-alpha-10,392,1
File,Most,doxia-1.0-alpha-11,414,4
File,Most,doxia-1.0,417,1
File,Most,doxia-1.1,427,7
File,Most,doxia-1.1.1,428,6
File,Most,doxia-1.1.2,432,3
File,Most,doxia-1.1.3,435,0
File,Most,doxia-1.1.4,435,1
File,Most,doxia-1.2,405,1
File,Most,doxia-1.3,408,2
File,Most,doxia-1.4,408,0
File,Most,doxia-1.5,422,0
File,Most,doxia-1.6,440,0
File,Most,doxia-1.7,442,0
File,All,doxia-1.0-alpha-6,283,0
File,All,doxia-1.0-alpha-7,283,0
File,All,doxia-1.0-alpha-8,283,0
File,All,doxia-core-1.0-alpha-2,283,0
File,All,doxia-core-1.0-alpha-3,283,0
File,All,doxia-core-1.0-alpha-4,283,0
File,All,doxia-core-1.0-alpha-5,283,0
File,All,doxia-module-twiki-1.5-syntax,283,0
File,All,doxia-sink-api-1.0-alpha-4,283,0
File,All,doxia-sink-api-1.0-alpha-5,328,16
File,All,doxia-1.0-alpha-9,353,2
File,All,doxia-1.0-alpha-10,392,1
File,All,doxia-1.0-alpha-11,410,8
File,All,doxia-1.0,417,1
File,All,doxia-1.1,421,13
File,All,doxia-1.1.1,405,29
File,All,doxia-1.1.2,432,3
File,All,doxia-1.1.3,435,0
File,All,doxia-1.1.4,359,77
File,All,doxia-1.2,393,13
File,All,doxia-1.3,377,33
File,All,doxia-1.4,408,0
File,All,doxia-1.5,422,0
File,All,doxia-1.6,440,0
File,All,doxia-1.7,442,0
