granularity,buggedType,version_name,valid,bug
Method,Most,pre_exec_merge,3582,1
Method,Most,oscon_workshop,4728,17
Method,Most,drill-root-1.0.0-m1,4771,7
Method,Most,drill-1.0.0-m1,14254,367
Method,Most,drill-root-0.4.0-incubating,15069,48
Method,Most,0.5.0-incubating,15717,36
Method,Most,0.6.0-incubating,18217,350
Method,Most,archive/DRILL-2167,19372,70
Method,Most,0.9.0,21706,175
Method,Most,drill-1.1.0,21893,5
Method,Most,archive/DRILL-3450,23795,219
Method,All,pre_exec_merge,3578,5
Method,All,oscon_workshop,4141,604
Method,All,drill-root-1.0.0-m1,4767,11
Method,All,drill-1.0.0-m1,8612,6009
Method,All,drill-root-0.4.0-incubating,14731,386
Method,All,0.5.0-incubating,14147,1606
Method,All,0.6.0-incubating,15347,3220
Method,All,archive/DRILL-2167,18125,1317
Method,All,0.9.0,19986,1895
Method,All,drill-1.1.0,21855,43
Method,All,archive/DRILL-3450,21408,2606
File,Most,pre_exec_merge,767,1
File,Most,oscon_workshop,907,23
File,Most,drill-root-1.0.0-m1,947,6
File,Most,drill-1.0.0-m1,2307,212
File,Most,drill-root-0.4.0-incubating,2505,52
File,Most,0.5.0-incubating,2587,31
File,Most,0.6.0-incubating,2639,204
File,Most,archive/DRILL-2167,2861,53
File,Most,0.9.0,2918,119
File,Most,drill-1.1.0,3033,4
File,Most,archive/DRILL-3450,3138,132
File,All,pre_exec_merge,766,2
File,All,oscon_workshop,707,223
File,All,drill-root-1.0.0-m1,943,10
File,All,drill-1.0.0-m1,1243,1276
File,All,drill-root-0.4.0-incubating,2377,180
File,All,0.5.0-incubating,1769,849
File,All,0.6.0-incubating,2055,788
File,All,archive/DRILL-2167,2429,485
File,All,0.9.0,2543,494
File,All,drill-1.1.0,3008,29
File,All,archive/DRILL-3450,2598,672
