granularity,buggedType,version_name,valid,bug
Method,Most,EMAIL_1_0,250,0
Method,Most,EMAIL_1_0_RC3,250,0
Method,Most,EMAIL_1_0_RC4,250,0
Method,Most,EMAIL_1_0_RC5,250,0
Method,Most,EMAIL_1_0_RC6,250,0
Method,Most,EMAIL_1_0_RC7,250,0
Method,Most,EMAIL_1_0_RC8,250,0
Method,Most,commons_promotion,250,0
Method,Most,EMAIL_1_1_RC1,251,0
Method,Most,EMAIL_1_1_RC2,251,0
Method,Most,EMAIL_1_1,265,1
Method,Most,EMAIL_1_1_RC3,266,0
Method,Most,EMAIL_1_2_RC3,266,0
Method,Most,EXEC_1_2,266,0
Method,Most,EMAIL_1_2,342,0
Method,Most,EMAIL_1_3_RC1,399,0
Method,Most,EMAIL_1_3_RC2,402,0
Method,Most,EMAIL_1_3_RC3,491,0
Method,Most,EMAIL_1_3_RC4,493,0
Method,Most,EMAIL_1_3_RC5,495,0
Method,Most,EMAIL_1_3_RC6,514,0
Method,Most,EMAIL_1_3_RC7,514,0
Method,Most,EMAIL_1_3,523,0
Method,Most,EMAIL_1_3_1_RC1,523,0
Method,Most,EMAIL_1_3_1_RC2,523,0
Method,Most,EMAIL_1_3_1_RC3,523,0
Method,Most,EMAIL_1_3_1,649,1
Method,Most,EMAIL_1_3_2_RC1,650,0
Method,Most,EMAIL_1_3_2_RC2,650,0
Method,Most,EMAIL_1_3_2,655,0
Method,Most,EMAIL_1_3_3_RC1,747,0
Method,Most,EMAIL_1_3_3_RC2,747,0
Method,Most,EMAIL_1_3_3,757,0
Method,Most,EMAIL_1_4_RC1,757,0
Method,Most,EMAIL_1_4,786,3
Method,Most,EMAIL_1_5_RC1,789,0
Method,All,EMAIL_1_0,250,0
Method,All,EMAIL_1_0_RC3,250,0
Method,All,EMAIL_1_0_RC4,250,0
Method,All,EMAIL_1_0_RC5,250,0
Method,All,EMAIL_1_0_RC6,250,0
Method,All,EMAIL_1_0_RC7,250,0
Method,All,EMAIL_1_0_RC8,250,0
Method,All,commons_promotion,250,0
Method,All,EMAIL_1_1_RC1,251,0
Method,All,EMAIL_1_1_RC2,251,0
Method,All,EMAIL_1_1,263,3
Method,All,EMAIL_1_1_RC3,266,0
Method,All,EMAIL_1_2_RC3,266,0
Method,All,EXEC_1_2,266,0
Method,All,EMAIL_1_2,342,0
Method,All,EMAIL_1_3_RC1,399,0
Method,All,EMAIL_1_3_RC2,402,0
Method,All,EMAIL_1_3_RC3,491,0
Method,All,EMAIL_1_3_RC4,493,0
Method,All,EMAIL_1_3_RC5,495,0
Method,All,EMAIL_1_3_RC6,514,0
Method,All,EMAIL_1_3_RC7,514,0
Method,All,EMAIL_1_3,523,0
Method,All,EMAIL_1_3_1_RC1,523,0
Method,All,EMAIL_1_3_1_RC2,523,0
Method,All,EMAIL_1_3_1_RC3,523,0
Method,All,EMAIL_1_3_1,650,0
Method,All,EMAIL_1_3_2_RC1,650,0
Method,All,EMAIL_1_3_2_RC2,650,0
Method,All,EMAIL_1_3_2,655,0
Method,All,EMAIL_1_3_3_RC1,747,0
Method,All,EMAIL_1_3_3_RC2,747,0
Method,All,EMAIL_1_3_3,757,0
Method,All,EMAIL_1_4_RC1,757,0
Method,All,EMAIL_1_4,787,2
Method,All,EMAIL_1_5_RC1,789,0
File,Most,EMAIL_1_0,24,0
File,Most,EMAIL_1_0_RC3,24,0
File,Most,EMAIL_1_0_RC4,24,0
File,Most,EMAIL_1_0_RC5,24,0
File,Most,EMAIL_1_0_RC6,24,0
File,Most,EMAIL_1_0_RC7,24,0
File,Most,EMAIL_1_0_RC8,24,0
File,Most,commons_promotion,24,0
File,Most,EMAIL_1_1_RC1,24,0
File,Most,EMAIL_1_1_RC2,24,0
File,Most,EMAIL_1_1,24,1
File,Most,EMAIL_1_1_RC3,25,0
File,Most,EMAIL_1_2_RC3,25,0
File,Most,EXEC_1_2,25,0
File,Most,EMAIL_1_2,38,0
File,Most,EMAIL_1_3_RC1,44,0
File,Most,EMAIL_1_3_RC2,44,0
File,Most,EMAIL_1_3_RC3,84,0
File,Most,EMAIL_1_3_RC4,87,0
File,Most,EMAIL_1_3_RC5,87,0
File,Most,EMAIL_1_3_RC6,87,0
File,Most,EMAIL_1_3_RC7,87,0
File,Most,EMAIL_1_3,87,0
File,Most,EMAIL_1_3_1_RC1,87,0
File,Most,EMAIL_1_3_1_RC2,87,0
File,Most,EMAIL_1_3_1_RC3,87,0
File,Most,EMAIL_1_3_1,92,0
File,Most,EMAIL_1_3_2_RC1,92,0
File,Most,EMAIL_1_3_2_RC2,92,0
File,Most,EMAIL_1_3_2,92,0
File,Most,EMAIL_1_3_3_RC1,92,0
File,Most,EMAIL_1_3_3_RC2,92,0
File,Most,EMAIL_1_3_3,92,0
File,Most,EMAIL_1_4_RC1,92,0
File,Most,EMAIL_1_4,91,3
File,Most,EMAIL_1_5_RC1,94,0
File,All,EMAIL_1_0,24,0
File,All,EMAIL_1_0_RC3,24,0
File,All,EMAIL_1_0_RC4,24,0
File,All,EMAIL_1_0_RC5,24,0
File,All,EMAIL_1_0_RC6,24,0
File,All,EMAIL_1_0_RC7,24,0
File,All,EMAIL_1_0_RC8,24,0
File,All,commons_promotion,24,0
File,All,EMAIL_1_1_RC1,24,0
File,All,EMAIL_1_1_RC2,24,0
File,All,EMAIL_1_1,24,1
File,All,EMAIL_1_1_RC3,25,0
File,All,EMAIL_1_2_RC3,25,0
File,All,EXEC_1_2,25,0
File,All,EMAIL_1_2,38,0
File,All,EMAIL_1_3_RC1,44,0
File,All,EMAIL_1_3_RC2,44,0
File,All,EMAIL_1_3_RC3,84,0
File,All,EMAIL_1_3_RC4,87,0
File,All,EMAIL_1_3_RC5,87,0
File,All,EMAIL_1_3_RC6,87,0
File,All,EMAIL_1_3_RC7,87,0
File,All,EMAIL_1_3,87,0
File,All,EMAIL_1_3_1_RC1,87,0
File,All,EMAIL_1_3_1_RC2,87,0
File,All,EMAIL_1_3_1_RC3,87,0
File,All,EMAIL_1_3_1,92,0
File,All,EMAIL_1_3_2_RC1,92,0
File,All,EMAIL_1_3_2_RC2,92,0
File,All,EMAIL_1_3_2,92,0
File,All,EMAIL_1_3_3_RC1,92,0
File,All,EMAIL_1_3_3_RC2,92,0
File,All,EMAIL_1_3_3,92,0
File,All,EMAIL_1_4_RC1,92,0
File,All,EMAIL_1_4,91,3
File,All,EMAIL_1_5_RC1,94,0
