granularity,buggedType,version_name,valid,bug
Method,Most,bundlerepository-0.8.0-incubator,10885,0
Method,Most,bundlerepository-0.8.0-incubator-RC,10885,0
Method,Most,framework-0.8.0-incubator,10885,0
Method,Most,framework-0.8.0-incubator-RC,10885,0
Method,Most,main-0.8.0-incubator,10885,0
Method,Most,main-0.8.0-incubator-RC,10885,0
Method,Most,maven-bundle-plugin-0.8.0-incubator,10885,0
Method,Most,maven-bundle-plugin-0.8.0-incubator-RC,10885,0
Method,Most,org.osgi.core-0.8.0-incubator,10885,0
Method,Most,org.osgi.core-0.8.0-incubator-RC,10885,0
Method,Most,shell-0.8.0-incubator,10885,0
Method,Most,shell-0.8.0-incubator-RC,10885,0
Method,Most,shell.tui-0.8.0-incubator,10885,0
Method,Most,shell.tui-0.8.0-incubator-RC,11480,5
Method,Most,bundleplugin-1.0.0-RC,11568,0
Method,Most,bundleplugin-1.0.0-RC2,11568,0
Method,Most,bundlerepository-1.0.0-RC,11568,0
Method,Most,org.osgi.core-1.0.0-RC,11568,0
Method,Most,pom-1.0.0-RC,11568,0
Method,Most,shell-1.0.0-RC,11568,0
Method,Most,shell.tui-1.0.0-RC,11610,0
Method,Most,bundleplugin-1.0.0,11610,0
Method,Most,bundlerepository-1.0.0,11610,0
Method,Most,org.osgi.core-1.0.0,11610,0
Method,Most,pom-1.0.0,11610,0
Method,Most,shell-1.0.0,11610,0
Method,Most,shell.tui-1.0.0,11676,0
Method,Most,framework-1.0.0,11676,0
Method,Most,main-1.0.0,12189,3
Method,Most,commons-build-1.0.0,12192,1
Method,Most,org.apache.felix.commons.activation-1.1.0-0001,12193,0
Method,Most,org.apache.felix.commons.commons-beanutils-1.7.0-0001,12193,0
Method,Most,org.apache.felix.commons.commons-codec-1.3.0-0001,12193,0
Method,Most,org.apache.felix.commons.commons-collections-3.2.0-0001,12193,0
Method,Most,org.apache.felix.commons.commons-io-1.3.2-0001,12193,0
Method,Most,org.apache.felix.commons.commons-lang-2.3.0-0001,12193,0
Method,Most,org.apache.felix.commons.poi-3.0.1-FINAL-0001,12193,0
Method,Most,org.apache.felix.commons.poi-full-3.0.1-FINAL-0001,12193,0
Method,Most,org.apache.felix.commons.mail-1.4.0-0001,12193,0
Method,Most,org.apache.felix.commons.servlet-api-2.3.0-0001,12193,0
Method,Most,org.apache.felix.commons.xml-apis-1.3.4-0001,12193,0
Method,Most,org.apache.felix.commons.servlet-api-2.4.0-0001,12192,1
Method,Most,maven-scr-plugin-0.1.0,12222,1
Method,Most,maven-scr-plugin-0.2.0,12270,9
Method,Most,framework-1.0.1,12279,0
Method,Most,main-1.0.1,13235,20
Method,Most,maven-scr-plugin-0.3.0,13255,0
Method,Most,maven-scr-plugin-0.4.0,13342,4
Method,Most,maven-scr-plugin-1.0.0,13362,0
Method,Most,maven-scr-plugin-1.0.1,13379,1
Method,Most,felix-1.0.1,13429,3
Method,Most,org.osgi.service.obr-1.0.0,13451,1
Method,Most,maven-scr-plugin-1.0.2,13452,0
Method,Most,javax.servlet-1.0.0,13460,0
Method,Most,maven-obr-plugin-1.0.0,13471,1
Method,Most,org.osgi.foundation-1.0.0,13478,0
Method,Most,felix-1.0.2,13478,1
Method,Most,maven-bundle-plugin-1.2.0,13482,1
Method,Most,org.osgi.compendium-1.0.0,13621,1
Method,Most,bundlerepository-1.0.1,13622,0
Method,Most,framework-1.0.2,13622,0
Method,Most,main-1.0.2,13591,1
Method,Most,bundlerepository-1.0.2,13592,0
Method,Most,framework-1.0.3,13592,0
Method,Most,main-1.0.3,13957,2
Method,Most,org.apache.felix.prefs-1.0.0,13959,0
Method,Most,org.apache.felix.metatype-1.0.0,13959,0
Method,Most,org.apache.felix.configadmin-1.0.0,13959,0
Method,Most,org.apache.felix.eventadmin-1.0.0,13959,0
Method,Most,org.apache.felix.scr-1.0.0,13960,0
Method,Most,org.apache.felix.prefs-1.0.1,13960,0
Method,Most,org.osgi.service.obr-1.0.1,13990,0
