granularity,buggedType,version_name,valid,bug
Method,Most,initial,502,0
Method,Most,RELEASE_0_12_0_pre_5,585,0
Method,Most,RELEASE_0_12_0,2824,7
Method,Most,pre-columns,3563,1
Method,Most,fop-0_17_0,3830,2
Method,Most,fop-0_18_1,3347,4
Method,Most,PRE_CODEFORMATTING,3489,1
Method,Most,fop-0_20_0,4183,1
Method,Most,fop-0_20_3,4436,1
Method,Most,FOP_Alt-Design_Migration,4272,0
Method,Most,fop-0_20_4-doc,4272,0
Method,Most,fop-0_20_4,4504,0
Method,Most,Alt-Design_pre_Properties_split,4687,1
Method,Most,fop-0_20_5rc,4815,0
Method,Most,fop-0_20_5rc2,5156,0
Method,Most,Alt-Design-integration-base,5465,0
Method,Most,fop-0_20_5rc3,5465,0
Method,Most,fop-0_20_5rc3a,5837,3
Method,Most,Alt-Design_pre_src-java-org,5922,0
Method,Most,fop-0_20_5,7012,11
Method,Most,Alt-Design_pre_awt_renderer_import,7766,18
Method,Most,Defoe_export,8721,1
Method,Most,Root_Temp_KnuthStylePageBreaking,8722,0
Method,Most,batik-1_6,8722,0
Method,Most,Before_Merge_KnuthStylePageBreaking_Branch,8722,0
Method,Most,Before_Merge_KnuthStylePageBreaking_Back_To_HEAD,10641,8
Method,Most,fop-0_90-alpha1,10763,30
Method,Most,fop-0_91-beta,11165,15
Method,Most,fop-0_92-beta,12199,11
Method,Most,fop-0_93,12765,2
Method,Most,fop-0_94,14256,10
Method,Most,fop-0_95beta,15297,18
Method,Most,fop-0_95,18551,37
Method,Most,fop-1_0,22277,3
Method,Most,fop-1_1rc1old,22280,0
Method,Most,fop-1_1rc1,22635,0
Method,Most,fop-1_1old1,22635,0
Method,Most,fop-1_1,24600,125
Method,Most,fop-2_0,25041,38
Method,Most,fop-2_1,25991,41
Method,Most,fop-2_2,26288,38
Method,All,initial,502,0
Method,All,RELEASE_0_12_0_pre_5,585,0
Method,All,RELEASE_0_12_0,2718,113
Method,All,pre-columns,3517,47
Method,All,fop-0_17_0,3798,34
Method,All,fop-0_18_1,3332,19
Method,All,PRE_CODEFORMATTING,3489,1
Method,All,fop-0_20_0,4181,3
Method,All,fop-0_20_3,4408,29
Method,All,FOP_Alt-Design_Migration,4272,0
Method,All,fop-0_20_4-doc,4272,0
Method,All,fop-0_20_4,4504,0
Method,All,Alt-Design_pre_Properties_split,4686,2
Method,All,fop-0_20_5rc,4815,0
Method,All,fop-0_20_5rc2,5156,0
Method,All,Alt-Design-integration-base,5465,0
Method,All,fop-0_20_5rc3,5465,0
Method,All,fop-0_20_5rc3a,5838,2
Method,All,Alt-Design_pre_src-java-org,5922,0
Method,All,fop-0_20_5,6751,272
Method,All,Alt-Design_pre_awt_renderer_import,7505,279
Method,All,Defoe_export,8721,1
Method,All,Root_Temp_KnuthStylePageBreaking,8722,0
Method,All,batik-1_6,8722,0
Method,All,Before_Merge_KnuthStylePageBreaking_Branch,8722,0
Method,All,Before_Merge_KnuthStylePageBreaking_Back_To_HEAD,10334,315
Method,All,fop-0_90-alpha1,10785,8
Method,All,fop-0_91-beta,11126,54
Method,All,fop-0_92-beta,12188,22
Method,All,fop-0_93,12556,211
Method,All,fop-0_94,13610,656
Method,All,fop-0_95beta,12278,3037
Method,All,fop-0_95,18011,577
Method,All,fop-1_0,22258,22
Method,All,fop-1_1rc1old,22280,0
Method,All,fop-1_1rc1,22635,0
Method,All,fop-1_1old1,22635,0
Method,All,fop-1_1,22617,2108
Method,All,fop-2_0,24847,232
Method,All,fop-2_1,25236,796
Method,All,fop-2_2,26137,189
