granularity,buggedType,version_name,valid,bug
Method,Most,old-move-to-tlp,1336,0
Method,Most,release-0.1.0,5632,102
Method,Most,release-1.0-RC0,5733,1
Method,Most,release-1.0-RC1,5735,2
Method,Most,release-1.0.0-RC2,5759,2
Method,Most,release-1.0.0-RC3,8722,86
Method,Most,release-1.1.0-RC0,9504,4
Method,Most,release-1.1.0-RC1,9509,1
Method,Most,release-1.1.0,9510,0
Method,Most,release-1.1.0-RC2,12291,36
Method,Most,rel/1.2.0-RC0,12327,0
Method,All,old-move-to-tlp,1336,0
Method,All,release-0.1.0,4539,1195
Method,All,release-1.0-RC0,5734,0
Method,All,release-1.0-RC1,5731,6
Method,All,release-1.0.0-RC2,5754,7
Method,All,release-1.0.0-RC3,7598,1210
Method,All,release-1.1.0-RC0,9476,32
Method,All,release-1.1.0-RC1,9509,1
Method,All,release-1.1.0,9510,0
Method,All,release-1.1.0-RC2,12119,208
Method,All,rel/1.2.0-RC0,12327,0
File,Most,old-move-to-tlp,250,0
File,Most,release-0.1.0,1193,77
File,Most,release-1.0-RC0,1270,0
File,Most,release-1.0-RC1,1270,1
File,Most,release-1.0.0-RC2,1275,2
File,Most,release-1.0.0-RC3,1716,63
File,Most,release-1.1.0-RC0,1855,5
File,Most,release-1.1.0-RC1,1859,1
File,Most,release-1.1.0,1860,0
File,Most,release-1.1.0-RC2,2405,26
File,Most,rel/1.2.0-RC0,2431,0
File,All,old-move-to-tlp,250,0
File,All,release-0.1.0,895,375
File,All,release-1.0-RC0,1270,0
File,All,release-1.0-RC1,1268,3
File,All,release-1.0.0-RC2,1273,4
File,All,release-1.0.0-RC3,1456,323
File,All,release-1.1.0-RC0,1839,21
File,All,release-1.1.0-RC1,1859,1
File,All,release-1.1.0,1860,0
File,All,release-1.1.0-RC2,2342,89
File,All,rel/1.2.0-RC0,2431,0
