granularity,buggedType,version_name,valid,bug
Method,Most,GROOVY_1_0_BETA_1,2346,3
Method,Most,GROOVY_1_0_BETA_2,2688,24
Method,Most,GROOVY_1_0_BETA_3,3245,34
Method,Most,GROOVY_1_0_BETA_4,3934,21
Method,Most,GROOVY_1_0_BETA_5,4524,23
Method,Most,GROOVY_1_0_BETA_6,4593,11
Method,Most,GROOVY_1_0_BETA_7,4613,14
Method,Most,GROOVY_1_0_BETA_8,4627,6
Method,Most,GROOVY_1_0_BETA_9,5466,27
Method,Most,GROOVY_1_0_JSR_01,4819,26
Method,Most,GROOVY_1_0_JSR_02,5632,37
Method,Most,GROOVY_1_0_JSR_03,6302,30
Method,Most,GROOVY_1_0_JSR_04,6477,36
Method,Most,GROOVY_1_0_JSR_05,6719,23
Method,Most,GROOVY_1_0_JSR_06,7251,36
Method,Most,GROOVY_1_0_RC_1,7430,13
Method,Most,GROOVY_1_0_RC_2,7693,0
Method,Most,GROOVY_1_0,7972,41
Method,Most,GROOVY_1_1_BETA_1,9030,108
Method,Most,GROOVY_1_1_BETA_3,9156,3
Method,Most,GROOVY_1_1_BETA_2,9361,76
Method,Most,GROOVY_1_1_RC_1,9577,23
Method,Most,GROOVY_1_1_RC_2,9648,32
Method,Most,GROOVY_1_1_RC_3,9682,16
Method,Most,GROOVY_1_5_0,9713,19
Method,Most,GROOVY_1_5_1,10027,84
Method,Most,GROOVY_1_5_2,10222,4
Method,Most,GROOVY_1_5_4,10672,34
Method,Most,GROOVY_1_5_5,10949,26
Method,Most,GROOVY_1_5_6,10992,2
Method,Most,GROOVY_1_6_BETA_1,11763,72
Method,Most,GROOVY_1_5_7,11835,0
Method,Most,GROOVY_1_6_BETA_2,11999,69
Method,Most,GROOVY_1_6_RC_1,12237,70
Method,Most,GROOVY_1_6_RC_2,12331,18
Method,Most,GROOVY_1_6_0_RC_3,12350,0
Method,Most,GROOVY_1_6_0,12272,109
Method,Most,GROOVY_1_6_1,12381,0
Method,Most,GROOVY_1_5_8,12374,12
Method,Most,GROOVY_1_6_2,12412,26
Method,Most,GROOVY_1_6_3,12590,61
Method,Most,GROOVY_1_6_4,12651,0
Method,Most,GROOVY_1_7_BETA_1,12662,69
Method,Most,GROOVY_1_6_5,12741,11
Method,Most,GROOVY_1_7_BETA_2,12809,37
Method,Most,GROOVY_1_7_RC1,12846,0
Method,Most,GROOVY_1_6_6,12845,2
Method,Most,GROOVY_1_6_7,12843,13
Method,Most,GROOVY_1_7_0,12856,0
Method,Most,GROOVY_1_7_RC_2,12861,65
Method,Most,GROOVY_1_7_1,12926,0
Method,Most,GROOVY_1_6_8,12883,65
Method,Most,GROOVY_1_7_2,13035,106
Method,Most,GROOVY_1_7_3,13141,0
Method,Most,GROOVY_1_6_9,13221,35
