granularity,buggedType,version_name,valid,bug
Method,Most,release-0.1.0,13598,0
Method,Most,release-0.1.1,13598,0
Method,Most,release-0.10.0,13598,0
Method,Most,release-0.10.1,13598,0
Method,Most,release-0.11.0,13598,0
Method,Most,release-0.11.1,13598,0
Method,Most,release-0.11.2,13598,0
Method,Most,release-0.12.0,13598,0
Method,Most,release-0.12.1,13598,0
Method,Most,release-0.12.3,13598,0
Method,Most,release-0.13.0,13598,0
Method,Most,release-0.13.1,13598,0
Method,Most,release-0.14.0,13598,0
Method,Most,release-0.14.1,13598,0
Method,Most,release-0.14.2,13598,0
Method,Most,release-0.14.3,13598,0
Method,Most,release-0.14.4,13598,0
Method,Most,release-0.15.0,13598,0
Method,Most,release-0.15.1,13598,0
Method,Most,release-0.15.2,13598,0
Method,Most,release-0.15.3,13598,0
Method,Most,release-0.16.0,13598,0
Method,Most,release-0.16.1,13598,0
Method,Most,release-0.16.2,13598,0
Method,Most,release-0.16.3,13598,0
Method,Most,release-0.16.4,13598,0
Method,Most,release-0.17.0,13598,0
Method,Most,release-0.17.1,13598,0
Method,Most,release-0.17.2,13598,0
Method,Most,release-0.18.0,13598,0
Method,Most,release-0.18.1,13598,0
Method,Most,release-0.18.2,13598,0
Method,Most,release-0.18.3,13598,0
Method,Most,release-0.19.0,13598,0
Method,Most,release-0.19.1,13598,0
Method,Most,release-0.2.0,13598,0
Method,Most,release-0.2.1,13598,0
Method,Most,release-0.20.0,13598,0
Method,Most,release-0.3.0,13598,0
Method,Most,release-0.3.1,13598,0
Method,Most,release-0.3.2,13598,0
Method,Most,release-0.4.0,13598,0
Method,Most,release-0.5.0,13598,0
Method,Most,release-0.6.0,13598,0
Method,Most,release-0.6.1,13598,0
Method,Most,release-0.6.2,13598,0
Method,Most,release-0.7.0,13598,0
Method,Most,release-0.7.1,13598,0
Method,Most,release-0.8.0,13598,0
Method,Most,release-0.9.0,13598,0
Method,Most,release-0.9.1,13598,0
Method,Most,release-0.9.2,14351,0
Method,Most,release-0.19.2-rc0,14692,1
Method,Most,release-0.19.2,16655,5
Method,Most,release-0.20.1-rc0,16655,1
Method,Most,release-0.20.1-rc1,16889,1
Method,Most,release-0.20.1,21673,10
Method,Most,release-0.20.2-rc1,21805,1
Method,Most,release-0.20.2-rc2,22116,0
Method,Most,release-0.20.2-rc3,22118,0
Method,Most,release-0.20.2-rc4,22298,7
Method,Most,release-0.20.2,23196,8
Method,Most,release-0.21.0-rc0,23756,6
Method,Most,release-0.21.0-rc1,23769,0
Method,Most,release-0.21.0-rc2,24899,32
Method,Most,release-0.20.3-rc0,25127,0
Method,Most,release-0.20.3-rc1,25131,0
Method,Most,release-0.20.3-rc2,26010,14
Method,Most,branch-0.20.203.0-rc0,26024,0
Method,Most,release-0.20.203.0-rc0,26056,1
Method,Most,release-0.20.203.0-rc1,26982,2
Method,Most,release-0.20.203.0,27563,5
Method,Most,release-0.21.0,28764,4
Method,Most,release-0.20.204.0-rc0,29641,0
Method,Most,release-0.20.204-rc1,29824,0
Method,Most,release-0.20.204.0-rc2,36776,2
Method,Most,release-0.20.204.0-rc3,36982,0
Method,Most,release-0.20.204.0,39316,12
Method,Most,release-0.20.205.0-rc1,40440,6
Method,Most,release-0.20.205.0-rc2,40446,0
Method,Most,release-0.20.205.0,42362,3
Method,Most,release-0.23.0-rc0,42370,0
Method,Most,release-0.23.0-rc1,42467,0
Method,Most,release-0.23.0-rc2,42584,2
Method,Most,release-0.23.0,43871,0
Method,Most,0.92RC0,45319,4
Method,Most,release-1.0.0-rc2,43780,0
Method,Most,release-0.22.0-rc0,43780,0
Method,Most,release-0.22.0,44513,3
Method,Most,release-1.0.0-rc3,44996,3
Method,Most,release-1.0.0,47087,8
Method,Most,release-0.23.1-rc0,47276,2
Method,Most,release-1.0.1-rc1,47389,2
Method,Most,release-0.23.1-rc1,47391,0
Method,Most,release-0.23.1-rc2,47497,1
Method,Most,release-1.0.1,47674,1
Method,Most,release-0.23.1,48184,11
Method,Most,release-1.0.2-rc1,48457,25
Method,Most,release-1.0.2-rc2,48563,1
Method,Most,release-0.23.2-rc0,49035,4
Method,Most,release-1.0.2,50058,24
Method,Most,release-1.0.3-rc0,50112,1
Method,Most,release-2.0.0-alpha-rc0,50217,1
Method,Most,release-2.0.0-alpha-rc1,50221,0
Method,Most,release-1.0.3-rc1,50221,0
Method,Most,release-1.0.3,50276,2
Method,Most,release-2.0.0-alpha,50886,5
Method,Most,release-1.1.0-rc0,51806,3
Method,Most,release-1.1.0-rc1,52029,1
Method,Most,release-1.1.0-rc2,52276,39
Method,Most,release-2.0.1-alpha,52643,6
Method,Most,release-1.1.0-rc3,53236,7
Method,Most,release-0.23.3-rc0,53358,0
Method,Most,release-0.23.3,53359,0
Method,Most,release-1.1.0-rc4,53364,0
Method,Most,release-2.0.2-alpha-rc0,53583,2
Method,Most,release-0.23.4-rc0,53611,0
Method,Most,release-2.0.2-alpha-rc1,53616,0
Method,Most,release-0.23.4-rc1,53616,0
Method,Most,release-2.0.2-alpha-rc2,53637,2
Method,Most,release-1.0.4-rc0,53639,0
Method,Most,release-1.1.0-rc5,53668,0
Method,Most,release-0.23.4-rc2,53796,0
Method,Most,release-2.0.2-alpha,54074,0
Method,Most,release-1.0.4,54098,0
Method,Most,release-1.1.0,54107,0
Method,Most,release-0.23.4,54810,4
Method,Most,release-1.1.1-rc0,54817,0
Method,Most,release-0.23.5-rc0,54944,0
Method,Most,release-0.23.5,55108,0
Method,Most,release-1.1.1,55188,0
Method,Most,release-1.1.2-rc0,55231,0
Method,Most,release-1.1.2-rc1,56513,11
Method,Most,release-0.23.6-rc0,56858,0
Method,Most,release-1.1.2-rc3,56836,0
Method,Most,release-1.1.2-rc4,56866,0
Method,Most,release-0.23.6-rc1-old,56866,0
Method,Most,release-0.23.6-rc1,56940,2
Method,Most,release-1.1.2-rc5,57114,2
Method,Most,release-0.23.6,57140,0
Method,Most,release-2.0.3-alpha-rc0,57286,2
Method,Most,release-2.0.3-alpha,57609,3
Method,Most,release-1.1.2,58855,9
Method,Most,release-2.0.4-alpha-rc0,58911,1
Method,Most,release-0.23.7-rc0,59040,0
Method,Most,release-2.0.4-alpha-rc1,59072,0
Method,Most,release-1.2.0-rc0,59134,0
Method,Most,release-2.0.4-alpha-rc2,59185,1
Method,Most,release-0.23.7,59413,1
Method,Most,release-2.0.4-alpha,59577,7
Method,Most,release-1.2.0-rc1,59950,3
Method,Most,release-1.2.0,60224,4
Method,Most,release-2.0.4.1-alpha-rc0,60228,0
Method,Most,release-0.23.8-rc0,60601,0
Method,Most,release-2.0.5-alpha-rc0,60646,0
Method,Most,release-2.0.5-alpha-rc1,60771,3
Method,Most,2.0.5-alpha-rc2,60774,0
Method,Most,release-2.0.5-alpha-rc2,60907,2
Method,Most,release-0.23.8,61165,0
Method,Most,release-2.0.5-alpha,62932,2
