granularity,buggedType,version_name,valid,bug
Method,Most,0.1.0,10107,0
Method,Most,0.1.1,10107,0
Method,Most,0.1.2,10107,0
Method,Most,0.1.3,10107,0
Method,Most,0.18.0,10107,0
Method,Most,0.18.1,10107,0
Method,Most,0.19.0,10107,0
Method,Most,0.19.1,10107,0
Method,Most,0.19.1RC1,10107,0
Method,Most,0.19.2,10107,0
Method,Most,0.19.3RC1,10107,0
Method,Most,0.19.4RC1,10107,0
Method,Most,0.20.0,10107,0
Method,Most,0.20.0-alpha,10107,0
Method,Most,0.20.0RC1,10107,0
Method,Most,0.20.0RC3,10107,0
Method,Most,0.20.1,10107,0
Method,Most,0.20.1RC2,10107,0
Method,Most,0.20.2,10107,0
Method,Most,0.20.3,10107,0
Method,Most,0.20.3RC1,10107,0
Method,Most,0.20.3RC2,10107,0
Method,Most,0.20.4,10107,0
Method,Most,0.20.4RC1,10107,0
Method,Most,0.20.4RC3,10107,0
Method,Most,0.20.4RC4,10107,0
Method,Most,0.20.4RC5,10107,0
Method,Most,hbase-0.20.0-RC2,10107,0
Method,Most,rel/0.1.0,10107,0
Method,Most,rel/0.1.1,10107,0
Method,Most,rel/0.1.2,10107,0
Method,Most,rel/0.1.3,10107,0
Method,Most,rel/0.18.0,10107,0
Method,Most,rel/0.18.1,10107,0
Method,Most,rel/0.19.0,10107,0
Method,Most,rel/0.19.1,10107,0
Method,Most,rel/0.19.2,10107,0
Method,Most,rel/0.20.0,10107,0
Method,Most,rel/0.20.1,10107,0
Method,Most,rel/0.20.2,10107,0
Method,Most,rel/0.20.3,10107,0
Method,Most,rel/0.20.4,10107,0
Method,Most,release-0.18.0,10107,0
Method,Most,release-0.2.0,10107,0
Method,Most,release-0.2.1,10815,38
Method,Most,0.20.5RC2,10976,7
Method,Most,0.20.5RC3,11384,18
Method,Most,0.20.5RC5,11438,5
Method,Most,0.89.20100621-rc0,11445,1
Method,Most,0.89.20100621-0.89.20100621-rc1,11446,0
Method,Most,0.89.20100621-rc1,11446,0
Method,Most,0.20.5,11446,0
Method,Most,rel/0.20.5,11445,4
Method,Most,0.89.20100621,11773,16
Method,Most,0.20.6RC1,11811,22
Method,Most,0.89.20100726rc1,11835,4
Method,Most,0.20.6,11839,0
Method,Most,rel/0.20.6,11848,3
Method,Most,0.89.20100726RC2,11908,9
Method,Most,0.89.20100726,11952,13
Method,Most,0.89.20100830RC1,12728,25
Method,Most,0.89.20100830RC2,12934,55
Method,Most,0.89.20100924RC1,13518,113
Method,Most,0.90.0RC0,13630,2
Method,Most,mvn-release-test-01,13987,36
Method,Most,0.90.0RC1,14349,37
Method,Most,0.90.0RC2,14398,12
Method,Most,0.90.0RC3,14441,7
Method,Most,0.90.0mvn,14448,0
Method,Most,0.90.0mvn2,14448,0
Method,Most,0.90.0mvn3,14446,2
Method,Most,0.90.0mvn4,14448,0
Method,Most,0.90.0mvn7,14449,1
Method,Most,0.90.0mvn8,14450,0
Method,Most,0.90.0,14450,0
Method,Most,rel/0.90.0,14533,14
Method,Most,0.90.1RC0,14546,2
Method,Most,0.90.1RC1,14547,2
Method,Most,0.90.1,14549,0
Method,Most,rel/0.90.1,15084,77
Method,Most,0.90.2RC0-v2,15235,19
Method,Most,0.90.2,15254,0
Method,Most,rel/0.90.2,15255,6
Method,Most,0.90.2mvn-v2,15254,7
Method,Most,0.90.2mvn-step2,15261,0
Method,Most,0.90.2mvn3,15261,0
Method,Most,0.90.2mvn,15730,105
Method,Most,0.90.3RC0,15832,8
Method,Most,0.90.3,15840,0
Method,Most,rel/0.90.3,15841,7
Method,Most,0.90.3mvnrelease,15848,0
Method,Most,0.90.3mvn,16264,102
Method,Most,0.90.4RC0,16390,7
Method,Most,0.90.4RC1,16973,24
Method,Most,0.90.4,16997,0
Method,Most,rel/0.90.4,17897,88
Method,Most,0.90.4.mvn2,17985,0
Method,Most,0.90.4.mvn,20401,242
Method,Most,0.92.0rc0,20779,29
Method,Most,0.90.5RC0,20828,24
Method,Most,0.92.0RC1,20907,18
Method,Most,0.92.0rc2,20923,7
Method,Most,0.92.0RC2,20930,0
Method,Most,0.90.5,20930,0
Method,Most,rel/0.90.5,21004,18
Method,Most,0.90.5mvn2,21022,0
Method,Most,0.90.5mvn,21053,9
Method,Most,0.92.0rc3,21097,16
Method,Most,0.90.6rc0,21112,1
Method,Most,0.90.6RC0,21188,3
Method,Most,0.92.0rc4,21205,7
Method,Most,0.92.0,21212,0
Method,Most,rel/0.92.0,21335,3
Method,Most,hbase-0.90.6RC1,21340,3
Method,Most,hbase-0.90.6-rc2,21414,16
Method,Most,hbase-0.90.6-RC3,21430,0
Method,Most,HBASE-0.90.6-RC3,21470,22
Method,Most,0.92.0mvn_release,21509,13
Method,Most,HBASE-0.90.6-RC4,21516,10
Method,Most,0.92.0mvn4,21526,0
Method,Most,0.92.0mvn5,21526,0
Method,Most,0.92.0mvn6,21526,0
Method,Most,0.92.0mvn7,21608,23
Method,Most,0.92.0mvn10,21631,0
Method,Most,0.92.0mvn11,21631,0
Method,Most,0.92.0mvn12,21631,0
Method,Most,0.92.0mvn13,21631,0
Method,Most,0.92.0mvn21,21612,23
Method,Most,0.92.0mvn0,21635,0
Method,Most,0.92.0mvn2,21635,0
Method,Most,0.92.0mvn3,21635,0
Method,Most,0.92.0mvn20,21635,0
Method,Most,0.92.0mvn30,21635,0
Method,Most,0.92.0mvn40,21635,0
Method,Most,0.92.0mvn50,21635,0
Method,Most,0.92.0mvn,21752,9
Method,Most,0.92.1RC0,21821,9
Method,Most,0.90.6RC5,21883,10
Method,Most,0.92.1,21893,0
Method,Most,rel/0.92.1,21893,0
Method,Most,0.92.1mvn0,21893,0
Method,Most,0.92.1mvn1,21893,0
Method,Most,0.92.1mvn2security,21893,0
Method,Most,0.92.1mvn3security,21893,0
Method,Most,0.92.1mvn,21892,1
Method,Most,0.90.6,21893,0
Method,Most,rel/0.90.6,22245,29
Method,Most,0.94.0RC0,23931,65
Method,Most,0.94.0RC1,24044,24
Method,Most,0.94.0RC2,24245,40
Method,Most,0.94.0RC3,24854,38
Method,Most,0.94.0,24892,0
Method,Most,rel/0.94.0,25492,32
Method,Most,0.94.0mvnrelease,25524,0
Method,Most,0.94.0mvnreleased2,25524,0
Method,Most,0.94.0mvn,27021,108
Method,Most,0.94.1RC0,27412,23
Method,Most,0.94.1RC1,28066,33
Method,Most,0.94.1,28099,0
Method,Most,rel/0.94.1,28157,3
Method,Most,0.94.1mvn_perform,28160,0
Method,Most,0.94.1mvn_prepare,28160,0
Method,Most,0.94.1mvn,29351,64
Method,Most,0.92.2rc0,29577,17
Method,Most,0.92.2rc1,29637,26
Method,Most,0.92.2,29663,0
Method,Most,rel/0.92.2,29692,6
Method,Most,0.94.2RC0,29741,2
Method,Most,0.92.2mvn2,29743,0
Method,Most,0.92.2mvn3,29743,0
Method,Most,0.92.2.st.mvn2,29743,0
Method,Most,0.92.2.st.mvn,30362,42
Method,Most,0.94.2RC1,30491,6
Method,Most,0.94.2RC2,30905,27
Method,Most,0.94.2RC3,30935,7
Method,Most,0.94.2,30942,0
Method,Most,rel/0.94.2,33026,82
Method,Most,0.94.2mvn,33108,0
Method,Most,0.94.2mvnrelease,33108,0
Method,Most,0.94.3RC0,33811,32
Method,Most,0.94.3,33843,0
Method,Most,rel/0.94.3,34780,52
Method,Most,0.94.4RC0,34919,5
Method,Most,0.94.3mvn_release,34924,1
Method,Most,0.94.3mvn2,34925,0
Method,Most,0.94.3mvn,34946,1
Method,Most,0.94.4RC1,35182,37
Method,Most,0.94.4,35219,0
Method,Most,rel/0.94.4,36048,91
Method,Most,0.94.5RC0,36787,19
Method,Most,0.94.5RC1,37908,78
Method,Most,0.94.5,37986,0
Method,Most,rel/0.94.5,38007,7
Method,Most,0.94.5mvn2,38014,0
Method,Most,0.94.5mvn,38560,52
Method,Most,0.94.6RC0,38625,10
Method,Most,0.94.6RC1,38792,23
Method,Most,0.94.4mvn2,38815,0
Method,Most,0.94.4mvn,38896,17
Method,Most,0.94.6RC2,39787,52
Method,Most,0.94.6,39839,0
Method,Most,rel/0.94.6,39839,0
Method,Most,0.94.6mvn-release,39839,0
Method,Most,0.94.6mvn,39906,16
Method,Most,0.95.0RC0,39922,3
Method,Most,0.95.0RC1,40013,14
Method,Most,0.94.6.1,40056,9
Method,Most,hbase-0.95.0,40065,0
Method,Most,hbase-0.94.6.1,40065,0
Method,Most,0.95.0,40065,0
Method,Most,rel/0.95.0,40065,0
Method,Most,0.95.0mvnrelease,40065,0
Method,Most,0.94.6.1mvn-release2,40065,0
Method,Most,0.94.6.1mvn,40065,0
Method,Most,0.95.0mvn-release,40065,0
Method,Most,0.95.0mvn,41049,43
Method,Most,0.94.7RC0,41875,27
Method,Most,0.94.7RC1,42310,20
Method,Most,0.94.7,42330,0
Method,Most,rel/0.94.7,42620,18
Method,Most,0.94.7mvn2,42638,0
Method,Most,0.94.7mvn,43243,79
Method,Most,0.95.1RC0,43360,16
Method,Most,0.94.8RC0,43376,0
Method,Most,0.94.8,43376,0
Method,Most,rel/0.94.8,43452,13
Method,Most,0.95.1RC1,43465,0
Method,Most,0.95.1,43465,0
Method,Most,rel/0.95.1,43465,0
Method,Most,0.95.1-hadoop1.mvnlabeling2,43465,0
Method,Most,hbase-0.95.1-hadoop1,43465,0
Method,Most,0.95.1mvn,43465,0
Method,Most,hbase-0.95.1-hadoop2.by.mvn,43465,0
Method,Most,hbase-0.95.1-hadoop2.by.mvn3,43465,0
Method,Most,0.95.1-hadoop2.mvn.label4,43465,0
Method,Most,0.95.1mvn2,44032,50
Method,Most,0.92.2mvn,44082,0
Method,Most,0.94.9mvn2,44082,0
Method,Most,0.94.9mvn,44084,5
Method,Most,0.94.9RC0,44089,0
Method,Most,0.94.9,44089,0
Method,Most,rel/0.94.9,43407,84
Method,Most,0.94.10RC0,43496,21
Method,Most,0.94.10,43517,0
Method,Most,rel/0.94.10,43517,0
Method,Most,0.94.10mvn2,43517,0
Method,Most,0.94.10mvn,43849,31
Method,Most,hbase-0.95.2-hadoop2-testing,43880,0
Method,Most,hbase-0.95.2-hadoop2,45225,53
Method,Most,0.94.11RC0,45421,21
Method,Most,0.95.2,45442,0
Method,Most,rel/0.95.2,45537,20
Method,Most,0.94.11,45557,0
Method,Most,rel/0.94.11,45557,0
Method,Most,0.94.11mvn2,45557,0
Method,Most,0.94.11mvn,46037,70
Method,Most,0.96.0RC0,46235,30
Method,Most,0.94.12RC0,46429,47
Method,Most,0.96.0RC1,46587,11
Method,Most,0.94.12RC1,46599,2
Method,Most,0.94.12RC2,46600,7
Method,Most,0.96.0rc2,46965,7
Method,Most,0.96.0RC3,46967,10
Method,Most,0.94.12,46977,0
Method,Most,rel/0.94.12,46977,0
Method,Most,0.94.12mvn2,46977,0
Method,Most,0.94.12mvn,47380,44
Method,Most,0.96.0RC4,47449,14
Method,Most,0.96.0RC5,47472,26
Method,Most,hbase-0.96.0,47498,0
Method,Most,rel/0.96.0,47816,41
Method,Most,0.94.13RC0,48063,25
Method,Most,0.94.13,48088,0
Method,Most,rel/0.94.13,48088,0
Method,Most,0.94.13mvn2,48088,0
Method,Most,0.94.13mvn,48175,37
Method,Most,show,48380,27
Method,Most,0.94.14RC0,48516,4
Method,Most,0.94.14RC1,49148,25
Method,Most,0.94.14,49173,0
Method,Most,rel/0.94.14,49173,0
Method,Most,0.94.14mvn2,49173,0
Method,Most,0.94.14mvn,49280,11
Method,Most,0.96.1RC0,49345,9
Method,Most,hbase-0.96.1RC1,49719,24
Method,Most,0.96.1RC2,49875,30
Method,Most,0.96.1.1rc0,49893,14
Method,Most,0.94.15RC0,49965,5
Method,Most,0.96.1.1,49970,0
Method,Most,rel/0.96.1.1,49970,0
Method,Most,0.96.1new,49970,0
Method,Most,0.96.1,49970,0
Method,Most,rel/0.96.1,49998,17
Method,Most,0.94.15,50015,0
Method,Most,rel/0.94.15,50015,0
Method,Most,0.94.15mvn2,50015,0
Method,Most,0.94.15mvn,50008,4
Method,Most,0.94.15-junit-4.11,50150,14
Method,Most,0.94.16RC0,50236,27
Method,Most,0.94.16,50263,0
Method,Most,rel/0.94.16,50262,2
Method,Most,0.94.16mvn2,50264,0
Method,Most,0.94.16mvn,50353,14
Method,Most,0.98.0RC0,50416,18
Method,Most,0.98.0RC1,50476,21
Method,Most,0.98.0RC2,50780,22
Method,Most,0.94.17RC0,50801,10
Method,Most,0.94.17RC1,50802,24
Method,Most,0.98.0,50826,0
Method,Most,rel/0.98.0,50870,25
Method,Most,0.94.17,50895,0
Method,Most,rel/0.94.17,50895,0
Method,Most,0.94.17mvn2,50895,0
