granularity,buggedType,version_name,valid,bug
Method,Most,helix-0.6.0-incubating,7286,30
Method,Most,helix-0.6.1-incubating,7720,27
Method,Most,helix-0.6.2-incubating,7747,0
Method,Most,helix-0.7.0-incubating,7867,0
Method,Most,helix-0.6.3,7921,0
Method,Most,helix-0.6.4,7921,0
Method,Most,helix-0.7.1,8045,0
Method,Most,helix-0.6.5,8589,1
Method,Most,helix-0.6.6,8631,1
Method,Most,helix-0.6.7,9026,1
Method,Most,helix-0.6.8,9278,3
Method,Most,helix-0.6.9,10676,15
Method,Most,helix-0.8.0,11066,1
Method,Most,helix-0.8.1,11525,2
Method,Most,helix-0.8.2,11894,4
Method,All,helix-0.6.0-incubating,6952,364
Method,All,helix-0.6.1-incubating,7541,206
Method,All,helix-0.6.2-incubating,7747,0
Method,All,helix-0.7.0-incubating,7867,0
Method,All,helix-0.6.3,7921,0
Method,All,helix-0.6.4,7921,0
Method,All,helix-0.7.1,8045,0
Method,All,helix-0.6.5,8590,0
Method,All,helix-0.6.6,8631,1
Method,All,helix-0.6.7,9026,1
Method,All,helix-0.6.8,9256,25
Method,All,helix-0.6.9,10437,254
Method,All,helix-0.8.0,11067,0
Method,All,helix-0.8.1,11515,12
Method,All,helix-0.8.2,11882,16
File,Most,helix-0.6.0-incubating,1137,21
File,Most,helix-0.6.1-incubating,1173,10
File,Most,helix-0.6.2-incubating,1183,0
File,Most,helix-0.7.0-incubating,1200,0
File,Most,helix-0.6.3,1167,0
File,Most,helix-0.6.4,1167,0
File,Most,helix-0.7.1,1196,0
File,Most,helix-0.6.5,1248,0
File,Most,helix-0.6.6,1250,1
File,Most,helix-0.6.7,1296,1
File,Most,helix-0.6.8,1315,2
File,Most,helix-0.6.9,1467,10
File,Most,helix-0.8.0,1536,0
File,Most,helix-0.8.1,1573,2
File,Most,helix-0.8.2,1605,2
File,All,helix-0.6.0-incubating,1050,108
File,All,helix-0.6.1-incubating,1101,82
File,All,helix-0.6.2-incubating,1183,0
File,All,helix-0.7.0-incubating,1200,0
File,All,helix-0.6.3,1167,0
File,All,helix-0.6.4,1167,0
File,All,helix-0.7.1,1196,0
File,All,helix-0.6.5,1248,0
File,All,helix-0.6.6,1250,1
File,All,helix-0.6.7,1296,1
File,All,helix-0.6.8,1310,7
File,All,helix-0.6.9,1421,56
File,All,helix-0.8.0,1536,0
File,All,helix-0.8.1,1569,6
File,All,helix-0.8.2,1600,7
