granularity,buggedType,version_name,valid,bug
Method,Most,jclouds-1.0-beta-7,21838,50
Method,Most,jclouds-1.0-beta-8,26445,37
Method,Most,jclouds-1.0-beta-9,26482,0
Method,Most,jclouds-1.0-beta-9a,27225,6
Method,Most,jclouds-1.0-beta-9b,30833,18
Method,Most,jclouds-1.0-beta-9c,33389,29
Method,Most,jclouds-1.0.0,33418,0
Method,Most,jclouds-1.0-beta-9d,35374,11
Method,Most,jclouds-1.1.0,35455,1
Method,Most,jclouds-1.1.1,36600,27
Method,Most,jclouds-1.2.0,36610,1
Method,Most,jclouds-1.2.1,41062,58
Method,Most,jclouds-1.2.2,41120,0
Method,Most,jclouds-1.3.0-rc-1,41801,24
Method,Most,jclouds-1.3.0-rc-2,42301,4
Method,Most,jclouds-1.3.0,42505,1
Method,Most,jclouds-1.3.1,43626,9
Method,Most,jclouds-1.4.0-rc.1,45071,68
Method,Most,jclouds-1.4.0-rc.2,46066,29
Method,Most,jclouds-1.4.0-rc.3,47697,15
Method,Most,jclouds-1.3.2,49639,9
Method,Most,jclouds-1.4.0,50645,51
Method,Most,jclouds-1.5.0-alpha.1,51079,12
Method,Most,jclouds-1.5.0-alpha.2,51658,86
Method,Most,jclouds-1.5.0-alpha.3,52808,46
Method,Most,jclouds-1.5.0-alpha.4,53528,1
Method,Most,jclouds-1.5.0-alpha.5,54168,3
Method,Most,jclouds-1.5.0-alpha.6,56251,19
Method,Most,jclouds-1.5.0-beta.1,57133,22
Method,Most,jclouds-1.5.0-beta.2,57555,4
Method,Most,jclouds-1.5.0-beta.3,57778,0
Method,Most,jclouds-1.5.0-beta.4,57827,0
Method,Most,jclouds-1.4.1,60523,4
Method,Most,jclouds-1.5.0-beta.5,60928,7
Method,Most,jclouds-1.4.2,61042,0
Method,Most,jclouds-1.5.0-beta.6,63670,17
Method,Most,jclouds-1.5.0-beta.7,63744,1
Method,Most,jclouds-1.5.0-beta.8,64938,23
Method,Most,jclouds-1.5.0-beta.9,65098,2
Method,Most,jclouds-1.5.0-beta.10,65537,4
Method,Most,jclouds-1.5.0-beta.11,69774,2
Method,Most,jclouds-1.5.0-rc.1,70527,2
Method,Most,jclouds-1.5.0,70788,4
Method,Most,jclouds-1.5.1,70980,1
Method,Most,jclouds-1.5.2,71226,54
Method,Most,jclouds-1.5.3,71658,8
Method,Most,jclouds-1.5.4,72389,9
Method,Most,jclouds-1.5.5,73837,10
Method,Most,jclouds-1.5.6,73847,0
Method,Most,jclouds-1.6.0-alpha.1,73898,1
Method,Most,jclouds-1.6.0-alpha.2,73899,0
Method,Most,jclouds-1.5.7,74825,0
Method,Most,jclouds-1.5.8,74828,0
Method,Most,jclouds-1.6.0-alpha.3,74866,4
Method,Most,jclouds-1.6.0-alpha.4,75054,1
Method,Most,jclouds-1.6.0-rc.1,65275,12
Method,Most,jclouds-1.5.9,65625,5
Method,Most,jclouds-1.6.0-rc.2,65643,0
