granularity,buggedType,version_name,valid,bug
Method,Most,v0.1-incubating,988,4
Method,Most,v0.2-incubating,1023,4
Method,Most,v0.5-incubating,1059,5
Method,Most,v0.6-incubating,1097,0
Method,Most,v0.7-incubating,1164,1
Method,Most,v0.8-incubating,1243,4
Method,Most,v0.9-incubating,1255,1
Method,Most,v0.9.1-incubating,1298,3
Method,Most,v0.9.2-incubating,1859,1
Method,Most,v0.9.3-incubating,2166,13
Method,Most,v0.9.4,2184,1
Method,Most,v0.9.5,2430,0
Method,Most,v1.0.0,2563,6
Method,Most,v1.1.0,2581,2
Method,Most,v1.1.1,2612,6
Method,Most,v1.1.2,2617,5
Method,Most,v1.1.3,2655,1
Method,Most,v1.1.4,2692,6
Method,Most,v1.1.5,2748,8
Method,Most,v1.1.6,2970,3
Method,Most,v1.0.1,3029,7
Method,Most,v1.1.9,3038,1
Method,All,v0.1-incubating,941,51
Method,All,v0.2-incubating,1022,5
Method,All,v0.5-incubating,1056,8
Method,All,v0.6-incubating,1097,0
Method,All,v0.7-incubating,1164,1
Method,All,v0.8-incubating,1196,51
Method,All,v0.9-incubating,1253,3
Method,All,v0.9.1-incubating,1255,46
Method,All,v0.9.2-incubating,1857,3
Method,All,v0.9.3-incubating,1998,181
Method,All,v0.9.4,2181,4
Method,All,v0.9.5,2413,17
Method,All,v1.0.0,2542,27
Method,All,v1.1.0,2572,11
Method,All,v1.1.1,2596,22
Method,All,v1.1.2,2615,7
Method,All,v1.1.3,2653,3
Method,All,v1.1.4,2645,53
Method,All,v1.1.5,2731,25
Method,All,v1.1.6,2958,15
Method,All,v1.0.1,3010,26
Method,All,v1.1.9,3038,1
File,Most,v0.1-incubating,163,4
File,Most,v0.2-incubating,166,2
File,Most,v0.5-incubating,166,3
File,Most,v0.6-incubating,173,0
File,Most,v0.7-incubating,200,1
File,Most,v0.8-incubating,202,3
File,Most,v0.9-incubating,203,1
File,Most,v0.9.1-incubating,205,3
File,Most,v0.9.2-incubating,274,1
File,Most,v0.9.3-incubating,304,10
File,Most,v0.9.4,315,1
File,Most,v0.9.5,331,0
File,Most,v1.0.0,316,5
File,Most,v1.1.0,320,2
File,Most,v1.1.1,319,6
File,Most,v1.1.2,319,6
File,Most,v1.1.3,328,1
File,Most,v1.1.4,328,4
File,Most,v1.1.5,335,5
File,Most,v1.1.6,369,3
File,Most,v1.0.1,370,5
File,Most,v1.1.9,375,1
File,All,v0.1-incubating,156,11
File,All,v0.2-incubating,166,2
File,All,v0.5-incubating,165,4
File,All,v0.6-incubating,173,0
File,All,v0.7-incubating,200,1
File,All,v0.8-incubating,194,11
File,All,v0.9-incubating,203,1
File,All,v0.9.1-incubating,197,11
File,All,v0.9.2-incubating,274,1
File,All,v0.9.3-incubating,279,35
File,All,v0.9.4,314,2
File,All,v0.9.5,320,11
File,All,v1.0.0,310,11
File,All,v1.1.0,315,7
File,All,v1.1.1,316,9
File,All,v1.1.2,319,6
File,All,v1.1.3,326,3
File,All,v1.1.4,315,17
File,All,v1.1.5,332,8
File,All,v1.1.6,367,5
File,All,v1.0.1,366,9
File,All,v1.1.9,375,1
