granularity,buggedType,version_name,valid,bug
Method,Most,JXPATH_1_0,2828,0
Method,Most,JXPATH_1_0_B1,2828,0
Method,Most,JXPATH_1_0_B2,2828,0
Method,Most,JXPATH_1_1,2828,0
Method,Most,JXPATH_1_1_BETA_1,2828,0
Method,Most,JXPATH_1_1_BETA_2,2828,0
Method,Most,JXPATH_1_2,2828,0
Method,Most,JXPATH_1_2_RC2,2828,0
Method,Most,jwsdp_10_ea2_01,2828,0
Method,Most,jwsp_10_01,2861,1
Method,Most,JXPATH_1_3_RC1,2862,0
Method,Most,JXPATH_1_3_RC2,2863,0
Method,Most,JXPATH_1_3_RC3,2863,0
Method,Most,JXPATH_1_3_RC4,2863,0
Method,Most,JXPATH_1_3_RC5,2863,0
Method,All,JXPATH_1_0,2828,0
Method,All,JXPATH_1_0_B1,2828,0
Method,All,JXPATH_1_0_B2,2828,0
Method,All,JXPATH_1_1,2828,0
Method,All,JXPATH_1_1_BETA_1,2828,0
Method,All,JXPATH_1_1_BETA_2,2828,0
Method,All,JXPATH_1_2,2828,0
Method,All,JXPATH_1_2_RC2,2828,0
Method,All,jwsdp_10_ea2_01,2828,0
Method,All,jwsp_10_01,2858,4
Method,All,JXPATH_1_3_RC1,2862,0
Method,All,JXPATH_1_3_RC2,2863,0
Method,All,JXPATH_1_3_RC3,2863,0
Method,All,JXPATH_1_3_RC4,2863,0
Method,All,JXPATH_1_3_RC5,2863,0
File,Most,JXPATH_1_0,257,0
File,Most,JXPATH_1_0_B1,257,0
File,Most,JXPATH_1_0_B2,257,0
File,Most,JXPATH_1_1,257,0
File,Most,JXPATH_1_1_BETA_1,257,0
File,Most,JXPATH_1_1_BETA_2,257,0
File,Most,JXPATH_1_2,257,0
File,Most,JXPATH_1_2_RC2,257,0
File,Most,jwsdp_10_ea2_01,257,0
File,Most,jwsp_10_01,259,1
File,Most,JXPATH_1_3_RC1,260,0
File,Most,JXPATH_1_3_RC2,259,0
File,Most,JXPATH_1_3_RC3,259,0
File,Most,JXPATH_1_3_RC4,259,0
File,Most,JXPATH_1_3_RC5,259,0
File,All,JXPATH_1_0,257,0
File,All,JXPATH_1_0_B1,257,0
File,All,JXPATH_1_0_B2,257,0
File,All,JXPATH_1_1,257,0
File,All,JXPATH_1_1_BETA_1,257,0
File,All,JXPATH_1_1_BETA_2,257,0
File,All,JXPATH_1_2,257,0
File,All,JXPATH_1_2_RC2,257,0
File,All,jwsdp_10_ea2_01,257,0
File,All,jwsp_10_01,258,2
File,All,JXPATH_1_3_RC1,260,0
File,All,JXPATH_1_3_RC2,259,0
File,All,JXPATH_1_3_RC3,259,0
File,All,JXPATH_1_3_RC4,259,0
File,All,JXPATH_1_3_RC5,259,0
