granularity,buggedType,version_name,valid,bug
Method,Most,kafka-0.7.0-incubating-candidate-9,128,0
Method,Most,kafka-0.7.1-incubating-candidate-1,128,0
Method,Most,kafka-0.7.1-incubating-candidate-2,128,0
Method,Most,kafka-0.7.1-incubating-candidate-3,128,0
Method,Most,kafka-0.7.2-incubating-candidate-1,128,0
Method,Most,kafka-0.7.2-incubating-candidate-2,128,0
Method,Most,kafka-0.7.2-incubating-candidate-3,128,0
Method,Most,kafka-0.7.2-incubating-candidate-4,128,0
Method,Most,kafka-0.7.2-incubating-candidate-5,127,11
Method,Most,0.8.0-beta1-candidate1,138,0
Method,Most,0.8.0-beta1,138,0
Method,Most,0.8.0,782,10
Method,Most,0.8.1,818,3
Method,Most,0.8.1.0,943,8
Method,Most,0.8.1.1,1325,10
Method,Most,0.8.2-beta,1417,2
Method,Most,0.8.2.0,1554,6
Method,Most,0.8.2.0-cp,1560,0
Method,Most,0.8.2.1,2804,45
Method,Most,0.8.2.2,4980,149
Method,Most,0.9.0.0,5892,137
Method,Most,0.9.0.1,6490,98
Method,Most,0.10.0.0-rc1,7119,71
Method,Most,0.10.0.0-rc2,7209,17
Method,Most,0.10.0.0-rc3,7255,50
Method,Most,0.10.0.0-rc4,7314,7
Method,Most,0.10.0.0-rc5,7319,2
Method,Most,0.10.0.0,7321,0
Method,Most,0.10.0.0-rc6,7733,120
Method,Most,0.10.0.1-rc0,7843,10
Method,Most,0.10.0.1-rc1,7859,6
Method,Most,0.10.0.1,7865,0
Method,Most,0.10.0.1-rc2,8622,122
Method,Most,0.10.1.0-rc0,8759,5
Method,Most,0.10.1.0-rc1,8778,3
Method,Most,0.10.1.0-rc2,8779,6
Method,Most,0.10.1.0,8785,0
Method,Most,0.10.1.0-rc3,9073,62
Method,Most,0.10.1.1-rc0,9327,20
Method,Most,0.10.1.1,9347,0
Method,Most,0.10.1.1-rc1,10884,149
Method,Most,0.10.2.0-rc0,11156,41
Method,Most,0.10.2.0-rc1,11198,18
Method,Most,0.10.2.0,11216,0
Method,Most,0.10.2.0-rc2,12092,168
Method,Most,0.10.2.1-rc0,12272,8
Method,Most,0.10.2.1-rc1,12291,6
Method,Most,0.10.2.1-rc2,12296,12
Method,Most,0.10.2.1,12308,0
Method,Most,0.10.2.1-rc3,14020,196
Method,Most,0.11.0.0-rc0,14357,43
Method,Most,0.11.0.0-rc1,14444,22
Method,Most,0.11.0.0,14466,0
Method,Most,0.11.0.0-rc2,15824,155
Method,Most,0.11.0.1,15979,0
Method,Most,0.11.0.1-rc0,17023,196
Method,Most,1.0.0-rc0,17237,5
Method,Most,1.0.0-rc1,17240,7
Method,Most,1.0.0-rc2,17271,11
Method,Most,1.0.0-rc3,17282,4
Method,Most,1.0.0,17286,0
Method,Most,1.0.0-rc4,17528,13
Method,Most,0.11.0.2,17541,0
Method,Most,0.11.0.2-rc0,18734,173
Method,Most,1.0.1-rc0,18954,10
Method,Most,1.0.1-rc1,19051,13
Method,Most,1.0.1,19064,0
Method,Most,1.0.1-rc2,19064,2
Method,Most,1.1.0-rc0,19169,4
Method,Most,1.1.0-rc1,19237,9
Method,Most,1.1.0-rc2,19255,0
Method,Most,1.1.0-rc3,19319,8
Method,Most,1.1.0,19327,0
Method,Most,1.1.0-rc4,21123,120
Method,Most,1.1.1-rc0,21286,2
Method,Most,0.10.2.2-rc0,21298,6
Method,Most,2.0.0-rc0,21316,1
Method,Most,1.1.1-rc1,21318,1
Method,Most,1.0.2-rc0,21319,0
Method,Most,0.11.0.3-rc0,21323,1
Method,Most,0.10.2.2,21324,0
Method,Most,0.10.2.2-rc1,21326,4
Method,Most,1.1.1-rc2,21331,2
Method,Most,2.0.0-rc1,21338,1
Method,Most,1.0.2,21339,0
Method,Most,1.0.2-rc1,21360,4
Method,Most,1.1.1,21364,0
Method,Most,1.1.1-rc3,21364,0
Method,Most,2.0.0-rc2,21402,9
Method,Most,2.0.0,21411,0
Method,Most,2.0.0-rc3,22369,92
Method,Most,2.1.0-rc0,22477,1
Method,Most,2.0.1,22478,0
Method,Most,2.0.1-rc0,22594,10
Method,Most,2.1.0,22604,0
Method,All,kafka-0.7.0-incubating-candidate-9,128,0
Method,All,kafka-0.7.1-incubating-candidate-1,128,0
Method,All,kafka-0.7.1-incubating-candidate-2,128,0
Method,All,kafka-0.7.1-incubating-candidate-3,128,0
Method,All,kafka-0.7.2-incubating-candidate-1,128,0
Method,All,kafka-0.7.2-incubating-candidate-2,128,0
Method,All,kafka-0.7.2-incubating-candidate-3,128,0
Method,All,kafka-0.7.2-incubating-candidate-4,128,0
Method,All,kafka-0.7.2-incubating-candidate-5,111,27
Method,All,0.8.0-beta1-candidate1,138,0
Method,All,0.8.0-beta1,138,0
Method,All,0.8.0,304,488
Method,All,0.8.1,780,41
Method,All,0.8.1.0,834,117
Method,All,0.8.1.1,1108,227
Method,All,0.8.2-beta,1417,2
Method,All,0.8.2.0,1276,284
Method,All,0.8.2.0-cp,1560,0
Method,All,0.8.2.1,2144,705
Method,All,0.8.2.2,3304,1825
Method,All,0.9.0.0,5009,1020
Method,All,0.9.0.1,5825,763
Method,All,0.10.0.0-rc1,6559,631
Method,All,0.10.0.0-rc2,7192,34
Method,All,0.10.0.0-rc3,7217,88
Method,All,0.10.0.0-rc4,7309,12
Method,All,0.10.0.0-rc5,7318,3
Method,All,0.10.0.0,7321,0
Method,All,0.10.0.0-rc6,7373,480
Method,All,0.10.0.1-rc0,7850,3
Method,All,0.10.0.1-rc1,7846,19
Method,All,0.10.0.1,7865,0
Method,All,0.10.0.1-rc2,7909,835
Method,All,0.10.1.0-rc0,8733,31
Method,All,0.10.1.0-rc1,8771,10
Method,All,0.10.1.0-rc2,8728,57
Method,All,0.10.1.0,8785,0
Method,All,0.10.1.0-rc3,8515,620
Method,All,0.10.1.1-rc0,9096,251
Method,All,0.10.1.1,9347,0
Method,All,0.10.1.1-rc1,9324,1709
Method,All,0.10.2.0-rc0,10958,239
Method,All,0.10.2.0-rc1,11131,85
Method,All,0.10.2.0,11216,0
Method,All,0.10.2.0-rc2,10849,1411
Method,All,0.10.2.1-rc0,12240,40
Method,All,0.10.2.1-rc1,12284,13
Method,All,0.10.2.1-rc2,12287,21
Method,All,0.10.2.1,12308,0
Method,All,0.10.2.1-rc3,12211,2005
