granularity,buggedType,version_name,valid,bug
Method,Most,v0.1.0-m1,2435,0
Method,Most,v0.2.0-rc1,2706,0
Method,Most,v0.2.0-rc2,2708,0
Method,Most,v0.2.0-rc3,2718,0
Method,Most,v0.2.0-branch,3713,33
Method,Most,v0.3.0-branch,3796,0
Method,Most,v0.3.0-rc1,3796,0
Method,Most,v0.3.0-final,3796,0
Method,Most,v0.3.1-branch,3795,1
Method,Most,v0.3.1-rc1,3796,0
Method,Most,v0.3.1-rc2,3795,1
Method,Most,v0.3.1-rc3,4034,5
Method,Most,v0.3.1-rc4,4306,29
Method,Most,v0.4.0-branch,4384,7
Method,Most,v0.4.0-rc0,4391,0
Method,Most,v0.4.0-rc1,4391,0
Method,Most,v0.4.0-release,4770,18
Method,Most,v0.5.0-branch,4798,13
Method,Most,v0.5.0-rc2,4811,0
Method,Most,v05.0-release,4814,4
Method,Most,v0.5.1-branch,4818,2
Method,Most,v0.5.1-rc1,4820,0
Method,Most,v0.5.1-release,5187,13
Method,Most,v0.6.0-branch,5200,0
Method,Most,v0.6.0-rc1,5202,3
Method,Most,v0.6.0-rc2,5205,0
Method,Most,v0.6.0-release,5655,46
Method,Most,v0.7.0-branch,5702,1
Method,Most,v0.7.0-rc1,5703,0
Method,Most,v0.7.0-release,5823,10
Method,Most,v0.8.0-branch,5832,1
Method,Most,v0.8.0-rc1,5832,1
Method,Most,v0.8.0-rc2,5833,0
Method,Most,v0.8.0-release,6115,10
Method,Most,v0.9.0-branch,6125,0
Method,Most,v0.9.0-rc1,6127,1
Method,Most,v0.9.0-rc2,6133,1
Method,Most,v0.9.0-rc3,6137,0
Method,Most,v0.9.0-rc4,6137,0
Method,Most,v0.9.0-release,6153,5
Method,Most,v0.9.1-rc1,6158,0
Method,Most,v0.9.1-branch,6156,2
Method,Most,v0.9.1-rc2,6158,0
Method,Most,v0.9.1-rc3,6158,0
Method,Most,v0.9.1-release,6304,9
Method,Most,v0.10.0-branch,6324,0
Method,Most,v0.10.0-rc1,6324,0
Method,Most,v0.10.0-release,6460,12
Method,Most,v0.11.0-branch,6472,0
Method,Most,v0.11.0-rc1,6472,0
Method,Most,v0.11.0-rc2,6472,0
Method,Most,v0.11.0-release,6666,12
Method,Most,v0.12.0-branch,6675,3
Method,Most,v0.12.0-rc1,6680,3
Method,Most,v0.12.0-rc2,6683,0
Method,Most,v0.12.0-release,6830,19
Method,Most,v0.13.0-branch,6849,0
Method,Most,v0.13.0-rc1,6859,1
Method,Most,v0.13.0-rc2,6860,0
Method,Most,v0.13.0-release,7914,11
Method,Most,v0.14.0-branch,7925,0
Method,Most,v0.14.0-rc1,8193,8
Method,Most,v0.14.0-rc2,8201,0
Method,Most,v0.14.0-release,8211,3
Method,Most,v1.0.0-branch,8214,0
Method,Most,v1.0.0-rc1,8273,4
Method,Most,v1.0.0-rc2,8277,0
Method,Most,v1.0.0-release,8854,127
Method,Most,v1.1.0-branch,8985,3
Method,Most,v1.1.0-rc0,8994,2
Method,Most,v1.1.0-rc1,8994,2
Method,Most,v1.1.0-rc2,8996,0
Method,Most,v1.1.0-rc3,8996,0
Method,Most,v1.1.0-release,9194,27
Method,All,v0.1.0-m1,2435,0
Method,All,v0.2.0-rc1,2706,0
Method,All,v0.2.0-rc2,2708,0
Method,All,v0.2.0-rc3,2718,0
Method,All,v0.2.0-branch,3316,430
Method,All,v0.3.0-branch,3796,0
Method,All,v0.3.0-rc1,3796,0
Method,All,v0.3.0-final,3796,0
Method,All,v0.3.1-branch,3795,1
Method,All,v0.3.1-rc1,3796,0
Method,All,v0.3.1-rc2,3795,1
Method,All,v0.3.1-rc3,4028,11
Method,All,v0.3.1-rc4,4198,137
Method,All,v0.4.0-branch,4343,48
Method,All,v0.4.0-rc0,4391,0
Method,All,v0.4.0-rc1,4391,0
Method,All,v0.4.0-release,4693,95
Method,All,v0.5.0-branch,4771,40
Method,All,v0.5.0-rc2,4811,0
Method,All,v05.0-release,4809,9
Method,All,v0.5.1-branch,4820,0
Method,All,v0.5.1-rc1,4820,0
Method,All,v0.5.1-release,5104,96
Method,All,v0.6.0-branch,5200,0
Method,All,v0.6.0-rc1,5201,4
Method,All,v0.6.0-rc2,5205,0
Method,All,v0.6.0-release,5388,313
Method,All,v0.7.0-branch,5702,1
Method,All,v0.7.0-rc1,5703,0
Method,All,v0.7.0-release,5818,15
Method,All,v0.8.0-branch,5826,7
Method,All,v0.8.0-rc1,5832,1
Method,All,v0.8.0-rc2,5833,0
Method,All,v0.8.0-release,6081,44
Method,All,v0.9.0-branch,6125,0
Method,All,v0.9.0-rc1,6124,4
Method,All,v0.9.0-rc2,6119,15
Method,All,v0.9.0-rc3,6137,0
Method,All,v0.9.0-rc4,6137,0
Method,All,v0.9.0-release,6130,28
Method,All,v0.9.1-rc1,6158,0
Method,All,v0.9.1-branch,6157,1
Method,All,v0.9.1-rc2,6158,0
Method,All,v0.9.1-rc3,6158,0
Method,All,v0.9.1-release,6281,32
Method,All,v0.10.0-branch,6324,0
Method,All,v0.10.0-rc1,6324,0
Method,All,v0.10.0-release,6385,87
Method,All,v0.11.0-branch,6472,0
Method,All,v0.11.0-rc1,6472,0
Method,All,v0.11.0-rc2,6472,0
Method,All,v0.11.0-release,6607,71
Method,All,v0.12.0-branch,6678,0
Method,All,v0.12.0-rc1,6676,7
Method,All,v0.12.0-rc2,6683,0
Method,All,v0.12.0-release,6741,108
