granularity,buggedType,version_name,valid,bug
Method,Most,import,8832,14
Method,Most,check-license-notice,9071,3
Method,Most,3.0.0-incubating,10770,27
Method,Most,3.1.0-incubating,10575,15
Method,Most,3.0.1,11463,5
Method,Most,3.2.0,11482,0
Method,Most,3.2.1,12107,18
Method,Most,3.3.0,12751,20
Method,All,import,8798,48
Method,All,check-license-notice,9038,36
Method,All,3.0.0-incubating,10685,112
Method,All,3.1.0-incubating,10430,160
Method,All,3.0.1,11415,53
Method,All,3.2.0,11482,0
Method,All,3.2.1,12017,108
Method,All,3.3.0,12735,36
File,Most,import,2112,9
File,Most,check-license-notice,2120,2
File,Most,3.0.0-incubating,2254,19
File,Most,3.1.0-incubating,2239,16
File,Most,3.0.1,2458,6
File,Most,3.2.0,2468,0
File,Most,3.2.1,2555,15
File,Most,3.3.0,2778,10
File,All,import,2107,14
File,All,check-license-notice,2109,13
File,All,3.0.0-incubating,2233,40
File,All,3.1.0-incubating,2205,50
File,All,3.0.1,2448,16
File,All,3.2.0,2468,0
File,All,3.2.1,2540,30
File,All,3.3.0,2770,18
