granularity,buggedType,version_name,valid,bug
Method,Most,meecrowave-0.2.0,1535,12
Method,Most,meecrowave-0.3.0,1583,10
Method,Most,meecrowave-0.3.1,1674,11
Method,Most,meecrowave-1.0.0,1702,5
Method,Most,meecrowave-1.1.0,1733,16
Method,Most,meecrowave-1.2.0,1832,6
Method,Most,meecrowave-1.2.1,1903,12
Method,Most,meecrowave-1.2.2,1912,3
Method,Most,meecrowave-1.2.3,1969,7
Method,All,meecrowave-0.2.0,1414,133
Method,All,meecrowave-0.3.0,1551,42
Method,All,meecrowave-0.3.1,1573,112
Method,All,meecrowave-1.0.0,1689,18
Method,All,meecrowave-1.1.0,1711,38
Method,All,meecrowave-1.2.0,1813,25
Method,All,meecrowave-1.2.1,1834,81
Method,All,meecrowave-1.2.2,1909,6
Method,All,meecrowave-1.2.3,1934,42
File,Most,meecrowave-0.2.0,207,7
File,Most,meecrowave-0.3.0,216,7
File,Most,meecrowave-0.3.1,231,9
File,Most,meecrowave-1.0.0,243,3
File,Most,meecrowave-1.1.0,241,12
File,Most,meecrowave-1.2.0,261,5
File,Most,meecrowave-1.2.1,267,7
File,Most,meecrowave-1.2.2,272,2
File,Most,meecrowave-1.2.3,280,7
File,All,meecrowave-0.2.0,193,21
File,All,meecrowave-0.3.0,209,14
File,All,meecrowave-0.3.1,219,21
File,All,meecrowave-1.0.0,240,6
File,All,meecrowave-1.1.0,234,19
File,All,meecrowave-1.2.0,257,9
File,All,meecrowave-1.2.1,256,18
File,All,meecrowave-1.2.2,270,4
File,All,meecrowave-1.2.3,276,11
