granularity,buggedType,version_name,valid,bug
File,All,Metron_0.1BETA_rc1,484,200
File,All,Metron_0.1BETA_rc2,684,0
File,All,Metron_0.1BETA_rc3,684,0
File,All,Metron_0.1BETA_rc4,663,88
File,All,Metron_0.1BETA_rc5,751,0
File,All,Metron_0.1BETA_rc6,751,0
File,All,Metron_0.1BETA_rc7,616,152
File,All,codelab-v1.0,751,92
File,All,Metron_0.1_tc1,823,29
File,All,Metron_0.1_tc2,827,65
File,All,Metron_0.1_tc3,852,84
File,All,Metron_0.2.0BETA_rc1,930,12
File,All,Metron_0.2.0BETA_rc2,940,0
File,All,Metron_0.2.0BETA_rc3,915,180
File,All,Metron_0.2.1BETA_rc1,1095,0
File,All,Metron_0.2.1BETA_rc2,1025,100
File,All,apache-metron-0.3.0-rc1-incubating,1060,176
File,All,apache-metron-0.3.1-rc1-incubating,1236,0
File,All,apache-metron-0.3.1-rc2-incubating,1230,10
File,All,apache-metron-0.3.1-rc3-incubating,1240,0
File,All,apache-metron-0.3.1-rc4-incubating,1240,3
File,All,apache-metron-0.3.1-rc5-incubating,1207,183
File,All,apache-metron-0.4.0-rc1a-incubating,1373,22
File,All,apache-metron-0.4.0-rc2,1325,81
File,All,apache-metron-0.4.0-rc3,1405,1
File,All,apache-metron-0.4.0-rc4,1406,0
File,All,apache-metron-0.4.0-release,1304,311
File,All,apache-metron-0.4.1-rc1,1607,8
File,All,apache-metron-0.4.1-rc2,1608,12
File,All,apache-metron-0.4.1-rc3,1616,4
File,All,apache-metron-0.4.1-rc4,1620,0
File,All,apache-metron-0.4.1-release,1532,156
File,All,apache-metron-0.4.2-rc2,1688,0
File,All,apache-metron-0.4.2-release,1622,273
File,All,apache-metron-0.5.0-rc1,1895,0
File,All,apache-metron-0.5.0-release,1884,19
File,All,apache-metron-0.5.0-rc2,1816,176
File,All,apache-metron-0.6.0-rc1,1992,0
File,Most,Metron_0.1BETA_rc1,683,1
File,Most,Metron_0.1BETA_rc2,684,0
File,Most,Metron_0.1BETA_rc3,684,0
File,Most,Metron_0.1BETA_rc4,745,6
File,Most,Metron_0.1BETA_rc5,751,0
File,Most,Metron_0.1BETA_rc6,751,0
File,Most,Metron_0.1BETA_rc7,765,3
File,Most,codelab-v1.0,835,8
File,Most,Metron_0.1_tc1,848,4
File,Most,Metron_0.1_tc2,888,4
File,Most,Metron_0.1_tc3,925,11
File,Most,Metron_0.2.0BETA_rc1,937,5
File,Most,Metron_0.2.0BETA_rc2,940,0
File,Most,Metron_0.2.0BETA_rc3,1054,41
File,Most,Metron_0.2.1BETA_rc1,1095,0
File,Most,Metron_0.2.1BETA_rc2,1104,21
File,Most,apache-metron-0.3.0-rc1-incubating,1206,30
File,Most,apache-metron-0.3.1-rc1-incubating,1236,0
File,Most,apache-metron-0.3.1-rc2-incubating,1239,1
File,Most,apache-metron-0.3.1-rc3-incubating,1240,0
File,Most,apache-metron-0.3.1-rc4-incubating,1241,2
File,Most,apache-metron-0.3.1-rc5-incubating,1367,23
File,Most,apache-metron-0.4.0-rc1a-incubating,1391,4
File,Most,apache-metron-0.4.0-rc2,1382,24
File,Most,apache-metron-0.4.0-rc3,1405,1
File,Most,apache-metron-0.4.0-rc4,1406,0
File,Most,apache-metron-0.4.0-release,1569,46
File,Most,apache-metron-0.4.1-rc1,1614,1
File,Most,apache-metron-0.4.1-rc2,1617,3
File,Most,apache-metron-0.4.1-rc3,1616,4
File,Most,apache-metron-0.4.1-rc4,1620,0
File,Most,apache-metron-0.4.1-release,1656,32
File,Most,apache-metron-0.4.2-rc2,1688,0
File,Most,apache-metron-0.4.2-release,1844,51
File,Most,apache-metron-0.5.0-rc1,1895,0
File,Most,apache-metron-0.5.0-release,1900,3
File,Most,apache-metron-0.5.0-rc2,1949,43
File,Most,apache-metron-0.6.0-rc1,1992,0
Method,All,Metron_0.1BETA_rc1,1760,0
Method,All,Metron_0.1BETA_rc2,1760,0
Method,All,Metron_0.1BETA_rc3,1760,0
