granularity,buggedType,version_name,valid,bug
Method,Most,maven-indexer-3.1.0,909,0
Method,Most,maven-indexer-4.0.0,961,3
Method,Most,maven-indexer-4.1.0,972,3
Method,Most,maven-indexer-4.1.1,1024,2
Method,Most,maven-indexer-4.1.2,1030,1
Method,Most,maven-indexer-4.1.3,1046,0
Method,Most,maven-indexer-5.0.0,1060,5
Method,Most,maven-indexer-5.1.0,1072,3
Method,Most,maven-indexer-5.1.1,1449,1
Method,All,maven-indexer-3.1.0,909,0
Method,All,maven-indexer-4.0.0,919,45
Method,All,maven-indexer-4.1.0,972,3
Method,All,maven-indexer-4.1.1,1014,12
Method,All,maven-indexer-4.1.2,1026,5
Method,All,maven-indexer-4.1.3,1046,0
Method,All,maven-indexer-5.0.0,1059,6
Method,All,maven-indexer-5.1.0,1071,4
Method,All,maven-indexer-5.1.1,1409,41
File,Most,maven-indexer-3.1.0,181,0
File,Most,maven-indexer-4.0.0,185,3
File,Most,maven-indexer-4.1.0,191,3
File,Most,maven-indexer-4.1.1,203,2
File,Most,maven-indexer-4.1.2,204,2
File,Most,maven-indexer-4.1.3,209,0
File,Most,maven-indexer-5.0.0,211,2
File,Most,maven-indexer-5.1.0,212,2
File,Most,maven-indexer-5.1.1,256,2
File,All,maven-indexer-3.1.0,181,0
File,All,maven-indexer-4.0.0,172,16
File,All,maven-indexer-4.1.0,191,3
File,All,maven-indexer-4.1.1,194,11
File,All,maven-indexer-4.1.2,203,3
File,All,maven-indexer-4.1.3,209,0
File,All,maven-indexer-5.0.0,209,4
File,All,maven-indexer-5.1.0,212,2
File,All,maven-indexer-5.1.1,244,14
