granularity,buggedType,version_name,valid,bug
Method,Most,maven-2.2.0,9041,2
Method,Most,maven-2.2.1-RC1,9152,4
Method,Most,maven-2.2.1-RC2,9183,0
Method,Most,maven-2.2.1,9989,5
Method,Most,maven-3.0-alpha-3,9995,0
Method,Most,maven-3.0-alpha-4,10031,0
Method,Most,maven-3.0-alpha-5,10109,1
Method,Most,maven-3.0-alpha-6,10211,2
Method,Most,maven-3.0-alpha-7,10661,6
Method,Most,maven-3.0-beta-1,11013,20
Method,Most,maven-3.0-beta-2,11372,0
Method,Most,maven-3.0-beta-3,11480,1
Method,Most,maven-3.0-RC1,11493,0
Method,Most,maven-3.0-RC2,11494,0
Method,Most,maven-3.0-RC3,11502,0
Method,Most,maven-3.0,11543,1
Method,Most,maven-3.0.1-RC1,11547,1
Method,Most,maven-3.0.1,11632,4
Method,Most,maven-3.0.2-RC1,11639,0
Method,Most,maven-3.0.2,11670,2
Method,Most,maven-3.0.3-RC1,11675,1
Method,Most,maven-3.0.3,11719,4
Method,Most,maven-3.0.4-RC3,11727,2
Method,Most,maven-3.0.4-RC4,11769,0
Method,Most,maven-3.0.4-RC5,11773,0
Method,Most,maven-3.0.4,11892,87
Method,Most,maven-3.0.5,11992,1
Method,Most,maven-3.1.0-alpha-1,12007,0
Method,Most,maven-3.1.0,12006,2
Method,Most,maven-3.1.1,11980,9
Method,Most,maven-3.2.0,11991,1
Method,Most,maven-3.2.1,11998,5
Method,Most,workspace-v0,12019,9
Method,Most,maven-3.2.2,12087,7
Method,Most,maven-3.2.3,12183,6
Method,Most,maven-3.2.4,12190,1
Method,Most,maven-3.2.5,12430,13
Method,Most,maven-3.3.0,12443,0
Method,Most,maven-3.3.1,12442,3
Method,Most,maven-3.3.2,12445,0
Method,Most,maven-3.3.3,12503,9
Method,Most,maven-3.3.4,12517,1
Method,Most,maven-3.3.5,12517,1
Method,Most,maven-3.3.6,12550,4
Method,Most,maven-3.3.7,12555,0
Method,Most,maven-3.3.8,12554,1
Method,Most,maven-3.3.9,12668,13
Method,Most,maven-3.5.0-alpha-1,12716,1
Method,Most,maven-3.5.0-beta-1,12718,3
Method,Most,maven-3.5.0,12737,5
Method,Most,maven-3.5.1,12732,15
Method,Most,maven-3.5.2,12820,2
Method,Most,maven-3.5.3,12824,6
Method,Most,maven-3.5.4,12845,21
Method,All,maven-2.2.0,8988,55
Method,All,maven-2.2.1-RC1,9147,9
Method,All,maven-2.2.1-RC2,9183,0
Method,All,maven-2.2.1,9971,23
Method,All,maven-3.0-alpha-3,9995,0
Method,All,maven-3.0-alpha-4,10031,0
Method,All,maven-3.0-alpha-5,10109,1
Method,All,maven-3.0-alpha-6,10211,2
Method,All,maven-3.0-alpha-7,10659,8
Method,All,maven-3.0-beta-1,10928,105
Method,All,maven-3.0-beta-2,11372,0
Method,All,maven-3.0-beta-3,11476,5
Method,All,maven-3.0-RC1,11493,0
Method,All,maven-3.0-RC2,11494,0
Method,All,maven-3.0-RC3,11502,0
Method,All,maven-3.0,11542,2
Method,All,maven-3.0.1-RC1,11545,3
Method,All,maven-3.0.1,11623,13
Method,All,maven-3.0.2-RC1,11639,0
Method,All,maven-3.0.2,11664,8
Method,All,maven-3.0.3-RC1,11668,8
Method,All,maven-3.0.3,11721,2
Method,All,maven-3.0.4-RC3,11724,5
Method,All,maven-3.0.4-RC4,11769,0
Method,All,maven-3.0.4-RC5,11773,0
Method,All,maven-3.0.4,11880,99
Method,All,maven-3.0.5,11982,11
Method,All,maven-3.1.0-alpha-1,12007,0
Method,All,maven-3.1.0,11997,11
Method,All,maven-3.1.1,11872,117
Method,All,maven-3.2.0,11992,0
Method,All,maven-3.2.1,11993,10
Method,All,workspace-v0,11995,33
Method,All,maven-3.2.2,11965,129
Method,All,maven-3.2.3,12171,18
Method,All,maven-3.2.4,12187,4
Method,All,maven-3.2.5,12275,168
Method,All,maven-3.3.0,12443,0
Method,All,maven-3.3.1,12436,9
Method,All,maven-3.3.2,12445,0
Method,All,maven-3.3.3,12431,81
Method,All,maven-3.3.4,12508,10
Method,All,maven-3.3.5,12514,4
Method,All,maven-3.3.6,12540,14
Method,All,maven-3.3.7,12555,0
Method,All,maven-3.3.8,12554,1
Method,All,maven-3.3.9,12581,100
Method,All,maven-3.5.0-alpha-1,12708,9
Method,All,maven-3.5.0-beta-1,12720,1
Method,All,maven-3.5.0,12720,22
Method,All,maven-3.5.1,12742,5
Method,All,maven-3.5.2,12756,66
Method,All,maven-3.5.3,12823,7
