granularity,buggedType,version_name,valid,bug
Method,Most,maven-help-plugin-2.0,44,0
Method,Most,maven-help-plugin-2.0.1,51,1
Method,Most,maven-help-plugin-2.0.2,140,3
Method,Most,maven-help-plugin-2.1,144,0
Method,Most,maven-help-plugin-2.1.1,148,0
Method,Most,maven-help-plugin-2.2,181,2
Method,Most,maven-help-plugin-3.0.0,184,0
Method,Most,maven-help-plugin-3.0.1,187,0
Method,All,maven-help-plugin-2.0,44,0
Method,All,maven-help-plugin-2.0.1,51,1
Method,All,maven-help-plugin-2.0.2,127,16
Method,All,maven-help-plugin-2.1,144,0
Method,All,maven-help-plugin-2.1.1,148,0
Method,All,maven-help-plugin-2.2,144,39
Method,All,maven-help-plugin-3.0.0,184,0
Method,All,maven-help-plugin-3.0.1,187,0
File,Most,maven-help-plugin-2.0,8,0
File,Most,maven-help-plugin-2.0.1,7,1
File,Most,maven-help-plugin-2.0.2,17,2
File,Most,maven-help-plugin-2.1,20,0
File,Most,maven-help-plugin-2.1.1,20,0
File,Most,maven-help-plugin-2.2,16,2
File,Most,maven-help-plugin-3.0.0,18,0
File,Most,maven-help-plugin-3.0.1,18,0
File,All,maven-help-plugin-2.0,8,0
File,All,maven-help-plugin-2.0.1,7,1
File,All,maven-help-plugin-2.0.2,17,2
File,All,maven-help-plugin-2.1,20,0
File,All,maven-help-plugin-2.1.1,20,0
File,All,maven-help-plugin-2.2,10,8
File,All,maven-help-plugin-3.0.0,18,0
File,All,maven-help-plugin-3.0.1,18,0
