granularity,buggedType,version_name,valid,bug
Method,Most,maven-project-info-reports-plugin-2.0,288,0
Method,Most,maven-project-info-reports-plugin-2.0.1,462,16
Method,Most,maven-project-info-reports-plugin-2.1,476,4
Method,Most,maven-project-info-reports-plugin-2.1.1,480,0
Method,Most,maven-project-info-reports-plugin-2.1.2,515,1
Method,Most,maven-project-info-reports-plugin-2.2,555,4
Method,Most,maven-project-info-reports-plugin-2.3,560,0
Method,Most,maven-project-info-reports-plugin-2.3.1,563,0
Method,Most,maven-project-info-reports-plugin-2.4,572,2
Method,Most,maven-project-info-reports-plugin-2.5,573,1
Method,Most,maven-project-info-reports-plugin-2.5.1,578,0
Method,Most,maven-project-info-reports-plugin-2.6,583,1
Method,Most,maven-project-info-reports-plugin-2.7,644,4
Method,Most,maven-project-info-reports-plugin-2.8,657,0
Method,Most,maven-project-info-reports-plugin-2.8.1,689,0
Method,Most,maven-project-info-reports-plugin-2.9,718,7
Method,All,maven-project-info-reports-plugin-2.0,288,0
Method,All,maven-project-info-reports-plugin-2.0.1,436,42
Method,All,maven-project-info-reports-plugin-2.1,476,4
Method,All,maven-project-info-reports-plugin-2.1.1,480,0
Method,All,maven-project-info-reports-plugin-2.1.2,511,5
Method,All,maven-project-info-reports-plugin-2.2,477,82
Method,All,maven-project-info-reports-plugin-2.3,560,0
Method,All,maven-project-info-reports-plugin-2.3.1,563,0
Method,All,maven-project-info-reports-plugin-2.4,554,20
Method,All,maven-project-info-reports-plugin-2.5,573,1
Method,All,maven-project-info-reports-plugin-2.5.1,578,0
Method,All,maven-project-info-reports-plugin-2.6,580,4
Method,All,maven-project-info-reports-plugin-2.7,638,10
Method,All,maven-project-info-reports-plugin-2.8,657,0
Method,All,maven-project-info-reports-plugin-2.8.1,689,0
Method,All,maven-project-info-reports-plugin-2.9,660,65
File,Most,maven-project-info-reports-plugin-2.0,50,0
File,Most,maven-project-info-reports-plugin-2.0.1,46,8
File,Most,maven-project-info-reports-plugin-2.1,50,4
File,Most,maven-project-info-reports-plugin-2.1.1,54,0
File,Most,maven-project-info-reports-plugin-2.1.2,57,1
File,Most,maven-project-info-reports-plugin-2.2,56,4
File,Most,maven-project-info-reports-plugin-2.3,60,0
File,Most,maven-project-info-reports-plugin-2.3.1,60,0
File,Most,maven-project-info-reports-plugin-2.4,59,2
File,Most,maven-project-info-reports-plugin-2.5,60,1
File,Most,maven-project-info-reports-plugin-2.5.1,61,0
File,Most,maven-project-info-reports-plugin-2.6,60,1
File,Most,maven-project-info-reports-plugin-2.7,61,4
File,Most,maven-project-info-reports-plugin-2.8,65,0
File,Most,maven-project-info-reports-plugin-2.8.1,81,1
File,Most,maven-project-info-reports-plugin-2.9,82,3
File,All,maven-project-info-reports-plugin-2.0,50,0
File,All,maven-project-info-reports-plugin-2.0.1,43,11
File,All,maven-project-info-reports-plugin-2.1,50,4
File,All,maven-project-info-reports-plugin-2.1.1,54,0
File,All,maven-project-info-reports-plugin-2.1.2,57,1
File,All,maven-project-info-reports-plugin-2.2,42,18
File,All,maven-project-info-reports-plugin-2.3,60,0
File,All,maven-project-info-reports-plugin-2.3.1,60,0
File,All,maven-project-info-reports-plugin-2.4,42,19
File,All,maven-project-info-reports-plugin-2.5,60,1
File,All,maven-project-info-reports-plugin-2.5.1,61,0
File,All,maven-project-info-reports-plugin-2.6,59,2
File,All,maven-project-info-reports-plugin-2.7,61,4
File,All,maven-project-info-reports-plugin-2.8,65,0
File,All,maven-project-info-reports-plugin-2.8.1,79,3
File,All,maven-project-info-reports-plugin-2.9,67,18
