granularity,buggedType,version_name,valid,bug
Method,Most,maven-pmd-plugin-2.0-beta-1,138,5
Method,Most,maven-pmd-plugin-2.0,153,4
Method,Most,maven-pmd-plugin-2.1,157,6
Method,Most,maven-pmd-plugin-2.2,166,2
Method,Most,maven-pmd-plugin-2.3,172,0
Method,Most,maven-pmd-plugin-2.4,184,4
Method,Most,maven-pmd-plugin-2.5,189,0
Method,Most,maven-pmd-plugin-2.6,203,3
Method,Most,maven-pmd-plugin-2.7,206,1
Method,Most,maven-pmd-plugin-2.7.1,218,0
Method,Most,maven-pmd-plugin-2.8,228,0
Method,Most,maven-pmd-plugin-3.0,228,1
Method,Most,maven-pmd-plugin-3.0.1,260,1
Method,Most,maven-pmd-plugin-3.1,263,0
Method,Most,maven-pmd-plugin-3.2,262,1
Method,Most,maven-pmd-plugin-3.3,267,0
Method,Most,maven-pmd-plugin-3.4,269,0
Method,Most,maven-pmd-plugin-3.5,269,0
Method,Most,maven-pmd-plugin-3.6,306,3
Method,Most,maven-pmd-plugin-3.7,312,1
Method,Most,maven-pmd-plugin-3.8,356,1
Method,Most,maven-pmd-plugin-3.9.0,370,0
Method,Most,maven-pmd-plugin-3.10.0,359,18
Method,All,maven-pmd-plugin-2.0-beta-1,140,3
Method,All,maven-pmd-plugin-2.0,137,20
Method,All,maven-pmd-plugin-2.1,132,31
Method,All,maven-pmd-plugin-2.2,166,2
Method,All,maven-pmd-plugin-2.3,172,0
Method,All,maven-pmd-plugin-2.4,175,13
Method,All,maven-pmd-plugin-2.5,189,0
Method,All,maven-pmd-plugin-2.6,185,21
Method,All,maven-pmd-plugin-2.7,207,0
Method,All,maven-pmd-plugin-2.7.1,218,0
Method,All,maven-pmd-plugin-2.8,228,0
Method,All,maven-pmd-plugin-3.0,228,1
Method,All,maven-pmd-plugin-3.0.1,257,4
Method,All,maven-pmd-plugin-3.1,263,0
Method,All,maven-pmd-plugin-3.2,262,1
Method,All,maven-pmd-plugin-3.3,267,0
Method,All,maven-pmd-plugin-3.4,269,0
Method,All,maven-pmd-plugin-3.5,269,0
Method,All,maven-pmd-plugin-3.6,291,18
Method,All,maven-pmd-plugin-3.7,313,0
Method,All,maven-pmd-plugin-3.8,356,1
Method,All,maven-pmd-plugin-3.9.0,370,0
Method,All,maven-pmd-plugin-3.10.0,376,1
File,Most,maven-pmd-plugin-2.0-beta-1,24,3
File,Most,maven-pmd-plugin-2.0,24,3
File,Most,maven-pmd-plugin-2.1,23,4
File,Most,maven-pmd-plugin-2.2,26,1
File,Most,maven-pmd-plugin-2.3,27,0
File,Most,maven-pmd-plugin-2.4,29,3
File,Most,maven-pmd-plugin-2.5,32,0
File,Most,maven-pmd-plugin-2.6,37,3
File,Most,maven-pmd-plugin-2.7,41,0
File,Most,maven-pmd-plugin-2.7.1,40,1
File,Most,maven-pmd-plugin-2.8,43,0
File,Most,maven-pmd-plugin-3.0,43,2
File,Most,maven-pmd-plugin-3.0.1,53,1
File,Most,maven-pmd-plugin-3.1,55,0
File,Most,maven-pmd-plugin-3.2,54,1
File,Most,maven-pmd-plugin-3.3,57,0
File,Most,maven-pmd-plugin-3.4,57,0
File,Most,maven-pmd-plugin-3.5,57,0
File,Most,maven-pmd-plugin-3.6,63,2
File,Most,maven-pmd-plugin-3.7,68,0
File,Most,maven-pmd-plugin-3.8,96,1
File,Most,maven-pmd-plugin-3.9.0,102,0
File,Most,maven-pmd-plugin-3.10.0,107,1
File,All,maven-pmd-plugin-2.0-beta-1,23,4
File,All,maven-pmd-plugin-2.0,18,9
File,All,maven-pmd-plugin-2.1,18,9
File,All,maven-pmd-plugin-2.2,26,1
File,All,maven-pmd-plugin-2.3,27,0
File,All,maven-pmd-plugin-2.4,28,4
File,All,maven-pmd-plugin-2.5,32,0
File,All,maven-pmd-plugin-2.6,34,6
File,All,maven-pmd-plugin-2.7,41,0
File,All,maven-pmd-plugin-2.7.1,35,6
File,All,maven-pmd-plugin-2.8,43,0
File,All,maven-pmd-plugin-3.0,43,2
File,All,maven-pmd-plugin-3.0.1,52,2
File,All,maven-pmd-plugin-3.1,55,0
File,All,maven-pmd-plugin-3.2,54,1
File,All,maven-pmd-plugin-3.3,57,0
File,All,maven-pmd-plugin-3.4,57,0
File,All,maven-pmd-plugin-3.5,57,0
File,All,maven-pmd-plugin-3.6,56,9
File,All,maven-pmd-plugin-3.7,68,0
File,All,maven-pmd-plugin-3.8,96,1
File,All,maven-pmd-plugin-3.9.0,102,0
File,All,maven-pmd-plugin-3.10.0,106,2
