granularity,buggedType,version_name,valid,bug
Method,Most,maven-shade-plugin-1.0-beta-1,159,1
Method,Most,maven-shade-plugin-1.0.1,172,1
Method,Most,maven-shade-plugin-1.1,186,0
Method,Most,maven-shade-plugin-1.2,187,0
Method,Most,maven-shade-plugin-1.2.1,192,2
Method,Most,maven-shade-plugin-1.2.2,217,0
Method,Most,maven-shade-plugin-1.3,219,0
Method,Most,maven-shade-plugin-1.3.1,223,0
Method,Most,maven-shade-plugin-1.3.2,233,0
Method,Most,maven-shade-plugin-1.3.3,245,0
Method,Most,maven-shade-plugin-1.4,255,0
Method,Most,maven-shade-plugin-1.5,264,10
Method,Most,maven-shade-plugin-1.6,278,5
Method,Most,maven-shade-plugin-1.7,282,1
Method,Most,maven-shade-plugin-1.7.1,296,1
Method,Most,maven-shade-plugin-1.7.2,297,0
Method,Most,maven-shade-plugin-2.0,311,1
Method,Most,maven-shade-plugin-2.1,314,0
Method,Most,maven-shade-plugin-2.2,318,1
Method,Most,maven-shade-plugin-2.3,333,0
Method,Most,maven-shade-plugin-2.4,333,0
Method,Most,maven-shade-plugin-2.4.1,336,1
Method,Most,maven-shade-plugin-2.4.2,338,1
Method,Most,maven-shade-plugin-2.4.3,364,0
Method,Most,maven-shade-plugin-3.0.1,364,0
Method,Most,maven-shade-plugin-3.0.0,368,1
Method,Most,maven-shade-plugin-3.1.0,369,4
Method,Most,maven-shade-plugin-3.1.1,374,1
Method,Most,maven-shade-plugin-3.2.0,377,0
Method,All,maven-shade-plugin-1.0-beta-1,158,2
Method,All,maven-shade-plugin-1.0.1,172,1
Method,All,maven-shade-plugin-1.1,186,0
Method,All,maven-shade-plugin-1.2,187,0
Method,All,maven-shade-plugin-1.2.1,190,4
Method,All,maven-shade-plugin-1.2.2,217,0
Method,All,maven-shade-plugin-1.3,219,0
Method,All,maven-shade-plugin-1.3.1,223,0
Method,All,maven-shade-plugin-1.3.2,233,0
Method,All,maven-shade-plugin-1.3.3,245,0
Method,All,maven-shade-plugin-1.4,255,0
Method,All,maven-shade-plugin-1.5,265,9
Method,All,maven-shade-plugin-1.6,269,14
Method,All,maven-shade-plugin-1.7,282,1
Method,All,maven-shade-plugin-1.7.1,296,1
Method,All,maven-shade-plugin-1.7.2,297,0
Method,All,maven-shade-plugin-2.0,310,2
Method,All,maven-shade-plugin-2.1,314,0
Method,All,maven-shade-plugin-2.2,317,2
Method,All,maven-shade-plugin-2.3,333,0
Method,All,maven-shade-plugin-2.4,333,0
Method,All,maven-shade-plugin-2.4.1,335,2
Method,All,maven-shade-plugin-2.4.2,334,5
Method,All,maven-shade-plugin-2.4.3,364,0
Method,All,maven-shade-plugin-3.0.1,364,0
Method,All,maven-shade-plugin-3.0.0,366,3
Method,All,maven-shade-plugin-3.1.0,369,4
Method,All,maven-shade-plugin-3.1.1,372,3
Method,All,maven-shade-plugin-3.2.0,377,0
File,Most,maven-shade-plugin-1.0-beta-1,26,1
File,Most,maven-shade-plugin-1.0.1,31,1
File,Most,maven-shade-plugin-1.1,35,0
File,Most,maven-shade-plugin-1.2,37,0
File,Most,maven-shade-plugin-1.2.1,41,2
File,Most,maven-shade-plugin-1.2.2,50,0
File,Most,maven-shade-plugin-1.3,51,0
File,Most,maven-shade-plugin-1.3.1,51,0
File,Most,maven-shade-plugin-1.3.2,54,0
File,Most,maven-shade-plugin-1.3.3,56,0
File,Most,maven-shade-plugin-1.4,61,0
File,Most,maven-shade-plugin-1.5,67,4
File,Most,maven-shade-plugin-1.6,70,4
File,Most,maven-shade-plugin-1.7,73,1
