granularity,buggedType,version_name,valid,bug
Method,Most,maven-war-plugin-2.0,204,3
Method,Most,maven-war-plugin-2.0.1,218,2
Method,Most,maven-war-plugin-2.0.2,458,13
Method,Most,maven-war-plugin-2.1-alpha-1,573,10
Method,Most,maven-war-plugin-2.1-alpha-2,594,0
Method,Most,maven-war-plugin-2.1-beta-1,604,2
Method,Most,maven-war-plugin-2.1,613,1
Method,Most,maven-war-plugin-2.1.1,615,1
Method,Most,maven-war-plugin-2.2,628,0
Method,Most,maven-war-plugin-2.3,634,0
Method,Most,maven-war-plugin-2.4,637,1
Method,Most,maven-war-plugin-2.5,640,1
Method,Most,maven-war-plugin-2.6,663,1
Method,Most,maven-war-plugin-3.0.0,673,2
Method,Most,maven-war-plugin-3.1.0,674,1
Method,Most,maven-war-plugin-3.2.0,675,1
Method,Most,maven-war-plugin-3.2.1,676,0
Method,All,maven-war-plugin-2.0,195,12
Method,All,maven-war-plugin-2.0.1,218,2
Method,All,maven-war-plugin-2.0.2,299,172
Method,All,maven-war-plugin-2.1-alpha-1,507,76
Method,All,maven-war-plugin-2.1-alpha-2,594,0
Method,All,maven-war-plugin-2.1-beta-1,598,8
Method,All,maven-war-plugin-2.1,613,1
Method,All,maven-war-plugin-2.1.1,615,1
Method,All,maven-war-plugin-2.2,628,0
Method,All,maven-war-plugin-2.3,634,0
Method,All,maven-war-plugin-2.4,638,0
Method,All,maven-war-plugin-2.5,627,14
Method,All,maven-war-plugin-2.6,664,0
Method,All,maven-war-plugin-3.0.0,666,9
Method,All,maven-war-plugin-3.1.0,674,1
Method,All,maven-war-plugin-3.2.0,675,1
Method,All,maven-war-plugin-3.2.1,676,0
File,Most,maven-war-plugin-2.0,27,2
File,Most,maven-war-plugin-2.0.1,29,1
File,Most,maven-war-plugin-2.0.2,62,3
File,Most,maven-war-plugin-2.1-alpha-1,65,6
File,Most,maven-war-plugin-2.1-alpha-2,73,0
File,Most,maven-war-plugin-2.1-beta-1,70,3
File,Most,maven-war-plugin-2.1,73,1
File,Most,maven-war-plugin-2.1.1,74,1
File,Most,maven-war-plugin-2.2,75,1
File,Most,maven-war-plugin-2.3,76,0
File,Most,maven-war-plugin-2.4,73,1
File,Most,maven-war-plugin-2.5,74,1
File,Most,maven-war-plugin-2.6,137,0
File,Most,maven-war-plugin-3.0.0,136,2
File,Most,maven-war-plugin-3.1.0,137,0
File,Most,maven-war-plugin-3.2.0,136,1
File,Most,maven-war-plugin-3.2.1,137,0
File,All,maven-war-plugin-2.0,26,3
File,All,maven-war-plugin-2.0.1,29,1
File,All,maven-war-plugin-2.0.2,40,25
File,All,maven-war-plugin-2.1-alpha-1,55,16
File,All,maven-war-plugin-2.1-alpha-2,73,0
File,All,maven-war-plugin-2.1-beta-1,68,5
File,All,maven-war-plugin-2.1,73,1
File,All,maven-war-plugin-2.1.1,73,2
File,All,maven-war-plugin-2.2,71,5
File,All,maven-war-plugin-2.3,76,0
File,All,maven-war-plugin-2.4,73,1
File,All,maven-war-plugin-2.5,65,10
File,All,maven-war-plugin-2.6,137,0
File,All,maven-war-plugin-3.0.0,134,4
File,All,maven-war-plugin-3.1.0,136,1
File,All,maven-war-plugin-3.2.0,136,1
File,All,maven-war-plugin-3.2.1,137,0
