granularity,buggedType,version_name,valid,bug
Method,Most,1.1-rc1,3494,0
Method,Most,release-0.7,3494,0
Method,Most,release-0.7.1,3494,0
Method,Most,release-0.7.2,3494,0
Method,Most,release-0.8,3494,0
Method,Most,release-0.8.1,3494,0
Method,Most,release-0.9,3494,0
Method,Most,release-1.0,3494,0
Method,Most,release-1.0-rc0,3494,0
Method,Most,release-1.0-rc1,3494,0
Method,Most,release-1.0-rc2,3494,0
Method,Most,1.1,3494,0
Method,Most,relase-1.1,3494,0
Method,Most,relase-1.1-rc1,3494,0
Method,Most,release-1.1,3494,0
Method,Most,release-1.1-rc1,2525,7
Method,Most,1.2,2545,4
Method,Most,release-1.2,2618,13
Method,Most,release-1.3,2641,13
Method,Most,release-1.4,2668,13
Method,Most,release-1.5,2681,0
Method,Most,release-1.5-rc2,2681,0
Method,Most,release-1.5-rc3,2681,0
Method,Most,release-1.5-rc4,2685,1
Method,Most,release-2.0,2686,0
Method,Most,release-2.0rc1,2705,1
Method,Most,release-2.0rc2,2705,1
Method,Most,release-1.5.1,2706,0
Method,Most,release-2.0rc3,2706,0
Method,Most,release-1.5.1-rc2,2706,0
Method,Most,release-1.5.1-rc3,2706,1
Method,Most,release-2.1,2703,5
Method,Most,release-1.6,2752,3
Method,Most,release-2.2,2762,5
Method,Most,release-1.7,2771,0
Method,Most,release-2.2.1,2823,13
Method,Most,release-1.8,2786,3
Method,Most,release-1.8RC#2,2861,20
Method,Most,release-1.9,2888,8
Method,Most,release-2.3,3242,17
Method,Most,release-1.10,3510,9
Method,Most,release-2.3.1,3804,6
Method,Most,release-1.11-rc1,3822,6
Method,Most,release-1.11-rc2,3834,2
Method,Most,release-2.3.1rc2,3966,9
Method,Most,release-1.12,4071,10
Method,Most,release-1.13,4156,21
Method,Most,release-1.14,4455,40
Method,All,1.1-rc1,3494,0
Method,All,release-0.7,3494,0
Method,All,release-0.7.1,3494,0
Method,All,release-0.7.2,3494,0
Method,All,release-0.8,3494,0
Method,All,release-0.8.1,3494,0
Method,All,release-0.9,3494,0
Method,All,release-1.0,3494,0
Method,All,release-1.0-rc0,3494,0
Method,All,release-1.0-rc1,3494,0
Method,All,release-1.0-rc2,3494,0
