granularity,buggedType,version_name,valid,bug
Method,Most,assemble,36833,0
Method,Most,generator,36833,0
Method,Most,legal,36833,0
Method,Most,odfdom,36833,0
Method,Most,simple,36833,0
Method,Most,taglets,36833,0
Method,Most,validator,36833,0
Method,Most,xslt-runner,36833,0
Method,Most,xslt-runner-task,36833,0
Method,Most,0.5-incubating-rc1,36833,0
Method,Most,0.5-incubating-rc2,36833,0
Method,Most,0.5-incubating-rc3,36833,0
Method,Most,0.5-incubating-rc4,36834,1
Method,Most,0.5-incubating-rc5,36835,0
Method,Most,odftoolkit-0.5-incubating,36835,0
Method,Most,0.5-incubating-rc7,37799,28
Method,Most,0.6-incubating-rc1,37877,1
Method,Most,0.6-incubating-rc2,37878,0
Method,Most,0.6-incubating-rc3,37905,4
Method,Most,0.6-incubating-rc4,37909,0
Method,Most,0.6-incubating-rc5,37909,0
Method,Most,0.6-incubating-rc6,37909,0
Method,Most,odftoolkit-0.6.1-incubating-RC2,37916,5
Method,Most,odftoolkit-0.6.1-incubating-RC3,37922,1
Method,Most,odftoolkit-0.6.1-incubating-RC1,37923,0
Method,Most,odftoolkit-0.6.1-incubating-RC4,37970,18
Method,Most,odftoolkit-0.6.3-incubating,37988,0
Method,Most,odftoolkit-0.6.2-incubating-RC1,37988,3
Method,All,assemble,36833,0
Method,All,generator,36833,0
Method,All,legal,36833,0
Method,All,odfdom,36833,0
Method,All,simple,36833,0
Method,All,taglets,36833,0
Method,All,validator,36833,0
Method,All,xslt-runner,36833,0
Method,All,xslt-runner-task,36833,0
Method,All,0.5-incubating-rc1,36833,0
Method,All,0.5-incubating-rc2,36833,0
Method,All,0.5-incubating-rc3,36833,0
Method,All,0.5-incubating-rc4,36833,2
Method,All,0.5-incubating-rc5,36835,0
Method,All,odftoolkit-0.5-incubating,36835,0
Method,All,0.5-incubating-rc7,36756,1071
Method,All,0.6-incubating-rc1,37870,8
Method,All,0.6-incubating-rc2,37878,0
Method,All,0.6-incubating-rc3,37909,0
Method,All,0.6-incubating-rc4,37909,0
Method,All,0.6-incubating-rc5,37909,0
Method,All,0.6-incubating-rc6,37909,0
Method,All,odftoolkit-0.6.1-incubating-RC2,37911,10
Method,All,odftoolkit-0.6.1-incubating-RC3,37922,1
Method,All,odftoolkit-0.6.1-incubating-RC1,37923,0
Method,All,odftoolkit-0.6.1-incubating-RC4,37574,414
Method,All,odftoolkit-0.6.3-incubating,37988,0
Method,All,odftoolkit-0.6.2-incubating-RC1,37977,14
File,Most,assemble,3740,0
File,Most,generator,3740,0
File,Most,legal,3740,0
File,Most,odfdom,3740,0
File,Most,simple,3740,0
File,Most,taglets,3740,0
File,Most,validator,3740,0
File,Most,xslt-runner,3740,0
File,Most,xslt-runner-task,3740,0
File,Most,0.5-incubating-rc1,3741,0
File,Most,0.5-incubating-rc2,3741,0
File,Most,0.5-incubating-rc3,3741,0
File,Most,0.5-incubating-rc4,3741,1
File,Most,0.5-incubating-rc5,3742,0
File,Most,odftoolkit-0.5-incubating,3742,0
File,Most,0.5-incubating-rc7,3775,49
File,Most,0.6-incubating-rc1,3827,1
File,Most,0.6-incubating-rc2,3828,0
File,Most,0.6-incubating-rc3,3829,0
File,Most,0.6-incubating-rc4,3829,0
File,Most,0.6-incubating-rc5,3829,0
File,Most,0.6-incubating-rc6,3829,0
File,Most,odftoolkit-0.6.1-incubating-RC2,3826,4
File,Most,odftoolkit-0.6.1-incubating-RC3,3829,1
File,Most,odftoolkit-0.6.1-incubating-RC1,3830,0
File,Most,odftoolkit-0.6.1-incubating-RC4,3819,16
File,Most,odftoolkit-0.6.3-incubating,3835,0
File,Most,odftoolkit-0.6.2-incubating-RC1,3834,2
File,All,assemble,3740,0
File,All,generator,3740,0
File,All,legal,3740,0
File,All,odfdom,3740,0
File,All,simple,3740,0
File,All,taglets,3740,0
File,All,validator,3740,0
File,All,xslt-runner,3740,0
File,All,xslt-runner-task,3740,0
File,All,0.5-incubating-rc1,3741,0
File,All,0.5-incubating-rc2,3741,0
File,All,0.5-incubating-rc3,3741,0
File,All,0.5-incubating-rc4,3740,2
File,All,0.5-incubating-rc5,3742,0
File,All,odftoolkit-0.5-incubating,3742,0
File,All,0.5-incubating-rc7,3665,159
File,All,0.6-incubating-rc1,3827,1
File,All,0.6-incubating-rc2,3828,0
File,All,0.6-incubating-rc3,3829,0
File,All,0.6-incubating-rc4,3829,0
File,All,0.6-incubating-rc5,3829,0
File,All,0.6-incubating-rc6,3829,0
File,All,odftoolkit-0.6.1-incubating-RC2,3826,4
File,All,odftoolkit-0.6.1-incubating-RC3,3829,1
File,All,odftoolkit-0.6.1-incubating-RC1,3830,0
File,All,odftoolkit-0.6.1-incubating-RC4,3806,29
File,All,odftoolkit-0.6.3-incubating,3835,0
File,All,odftoolkit-0.6.2-incubating-RC1,3832,4
