granularity,buggedType,version_name,valid,bug
Method,Most,deploy_multiple_cs,28637,0
Method,Most,deploy_security_changes,28637,0
Method,Most,last_geronimombean,28637,0
Method,Most,openejb-2.2,28637,0
Method,Most,openejb-2.3,28637,0
Method,Most,pre_config,28637,0
Method,Most,v0_0,28637,0
Method,Most,v0_8_0,28637,0
Method,Most,v0_8_1,28637,0
Method,Most,v0_8_2,28637,0
Method,Most,v0_8_3,28637,0
Method,Most,v0_8beta1,28637,0
Method,Most,v0_8beta2,28637,0
Method,Most,v0_8beta3,28637,0
Method,Most,v0_9_0,28637,0
Method,Most,v0_9_1,28637,0
Method,Most,v0_9_2,28637,0
Method,Most,v1_0,28637,0
Method,Most,v1_0beta1,28637,0
Method,Most,v2_0_0,28637,0
Method,Most,v2_0_G1M5_FINAL,28637,0
Method,Most,v2_0_G1M5_PRE,28637,0
Method,Most,v2_0_M1,28637,0
Method,Most,v2_0_M2,28637,0
Method,Most,v2_1,28637,0
Method,Most,v2_1_1,28637,0
Method,Most,v8_0,28637,0
Method,Most,vG1M3,29576,404
Method,Most,openejb-3.0-beta-1,28367,28
Method,Most,openejb-3.0-beta-2,29192,26
Method,Most,openejb-3.0,32010,86
Method,Most,openejb-3.1,32419,35
Method,Most,openejb-3.0.1,32608,20
Method,Most,openejb-3.1.1,33177,71
Method,Most,openejb-3.1.2,33250,0
Method,Most,eclipse-plugins-1.0.0.alpha,37459,133
Method,Most,openejb-3.1.3,37592,1
Method,Most,openejb-3.0.2,37593,0
Method,Most,openejb-3.0.3,40739,153
Method,Most,javaee-api-6.0-1,41148,4
Method,Most,openejb-3.1.4,41364,1
Method,Most,openejb-4.0.0-beta-1,42019,58
Method,Most,openejb-3.0.4,43080,84
Method,Most,openejb-4.0.0-beta-2,46663,90
Method,Most,openejb-4.0.0,47203,37
Method,Most,javaee-api-6.0-4,49883,226
Method,Most,openejb-4.5.0,51165,99
Method,Most,openejb-4.5.1-b,51264,0
Method,All,deploy_multiple_cs,28637,0
Method,All,deploy_security_changes,28637,0
Method,All,last_geronimombean,28637,0
Method,All,openejb-2.2,28637,0
Method,All,openejb-2.3,28637,0
Method,All,pre_config,28637,0
Method,All,v0_0,28637,0
Method,All,v0_8_0,28637,0
Method,All,v0_8_1,28637,0
Method,All,v0_8_2,28637,0
Method,All,v0_8_3,28637,0
Method,All,v0_8beta1,28637,0
Method,All,v0_8beta2,28637,0
Method,All,v0_8beta3,28637,0
Method,All,v0_9_0,28637,0
Method,All,v0_9_1,28637,0
Method,All,v0_9_2,28637,0
Method,All,v1_0,28637,0
Method,All,v1_0beta1,28637,0
Method,All,v2_0_0,28637,0
Method,All,v2_0_G1M5_FINAL,28637,0
Method,All,v2_0_G1M5_PRE,28637,0
Method,All,v2_0_M1,28637,0
Method,All,v2_0_M2,28637,0
Method,All,v2_1,28637,0
Method,All,v2_1_1,28637,0
Method,All,v8_0,28637,0
Method,All,vG1M3,29842,138
Method,All,openejb-3.0-beta-1,27363,1032
Method,All,openejb-3.0-beta-2,28952,266
Method,All,openejb-3.0,31096,1000
Method,All,openejb-3.1,32186,268
Method,All,openejb-3.0.1,32412,216
Method,All,openejb-3.1.1,32772,476
Method,All,openejb-3.1.2,33250,0
Method,All,eclipse-plugins-1.0.0.alpha,33449,4143
Method,All,openejb-3.1.3,37592,1
Method,All,openejb-3.0.2,37593,0
Method,All,openejb-3.0.3,39142,1750
Method,All,javaee-api-6.0-1,40990,162
Method,All,openejb-3.1.4,41300,65
Method,All,openejb-4.0.0-beta-1,42028,49
Method,All,openejb-3.0.4,42960,204
Method,All,openejb-4.0.0-beta-2,45584,1169
Method,All,openejb-4.0.0,47070,170
Method,All,javaee-api-6.0-4,48140,1969
Method,All,openejb-4.5.0,50636,628
Method,All,openejb-4.5.1-b,51264,0
File,Most,deploy_multiple_cs,4526,0
File,Most,deploy_security_changes,4526,0
File,Most,last_geronimombean,4526,0
File,Most,openejb-2.2,4526,0
File,Most,openejb-2.3,4526,0
File,Most,pre_config,4526,0
File,Most,v0_0,4526,0
File,Most,v0_8_0,4526,0
File,Most,v0_8_1,4526,0
File,Most,v0_8_2,4526,0
File,Most,v0_8_3,4526,0
File,Most,v0_8beta1,4526,0
File,Most,v0_8beta2,4526,0
File,Most,v0_8beta3,4526,0
File,Most,v0_9_0,4526,0
File,Most,v0_9_1,4526,0
File,Most,v0_9_2,4526,0
File,Most,v1_0,4526,0
File,Most,v1_0beta1,4526,0
File,Most,v2_0_0,4526,0
File,Most,v2_0_G1M5_FINAL,4526,0
File,Most,v2_0_G1M5_PRE,4526,0
File,Most,v2_0_M1,4526,0
File,Most,v2_0_M2,4526,0
File,Most,v2_1,4526,0
File,Most,v2_1_1,4526,0
File,Most,v8_0,4526,0
File,Most,vG1M3,4641,13
File,Most,openejb-3.0-beta-1,4075,27
File,Most,openejb-3.0-beta-2,4222,21
File,Most,openejb-3.0,4597,55
File,Most,openejb-3.1,4712,24
File,Most,openejb-3.0.1,4750,16
File,Most,openejb-3.1.1,4862,19
File,Most,openejb-3.1.2,4833,49
File,Most,eclipse-plugins-1.0.0.alpha,5152,98
File,Most,openejb-3.1.3,5249,1
File,Most,openejb-3.0.2,5250,0
File,Most,openejb-3.0.3,5645,98
File,Most,javaee-api-6.0-1,5767,4
File,Most,openejb-3.1.4,5816,0
File,Most,openejb-4.0.0-beta-1,6075,9
File,Most,openejb-3.0.4,7098,22
File,Most,openejb-4.0.0-beta-2,7785,66
