granularity,buggedType,version_name,valid,bug
Method,Most,0.9.6-incubating,14980,0
Method,Most,0.9.7-incubating,16041,26
Method,Most,1.0.0,16716,50
Method,Most,1.0.1,22720,39
Method,Most,1.0.2,22906,37
Method,Most,1.1.0,23471,33
Method,Most,1.0.3,28386,173
Method,Most,1.2.1,28563,6
Method,Most,1.2.0,34501,232
Method,Most,2.0.0-M3,35958,187
Method,Most,1.2.2,36302,50
Method,Most,2.0.0-beta,36507,36
Method,Most,2.0.0-beta2,37089,56
Method,Most,2.0.0-beta3,37342,39
Method,Most,2.0.0,39376,88
Method,Most,2.0.1,39464,0
Method,Most,1.0.4,40123,113
Method,Most,2.1.0,40568,67
Method,Most,2.1.1,41028,116
Method,Most,2.2.0,42397,99
Method,Most,2.2.1,42568,39
Method,Most,1.2.3,42607,0
Method,Most,2.2.2,42852,39
Method,Most,openjpa-parent-2.3.0,42891,0
Method,Most,2.3.0,43336,52
Method,Most,openjpa-parent-2.4.0,43387,1
Method,Most,2.4.0,43595,53
Method,Most,2.4.1-SNAPSHOT,43648,0
Method,Most,2.4.1,43781,17
Method,Most,2.4.2,43803,7
Method,Most,openjpa-parent-2.4.3,43810,0
Method,Most,openjpa-parent-3.0.0,43810,0
Method,Most,2.4.3,43810,0
Method,All,0.9.6-incubating,14980,0
Method,All,0.9.7-incubating,15215,852
Method,All,1.0.0,16520,246
Method,All,1.0.1,22411,348
Method,All,1.0.2,22775,168
Method,All,1.1.0,23200,304
Method,All,1.0.3,26512,2047
Method,All,1.2.1,28541,28
Method,All,1.2.0,31779,2954
Method,All,2.0.0-M3,35212,933
Method,All,1.2.2,35295,1057
Method,All,2.0.0-beta,36448,95
Method,All,2.0.0-beta2,36848,297
Method,All,2.0.0-beta3,37282,99
Method,All,2.0.0,38688,776
Method,All,2.0.1,39464,0
Method,All,1.0.4,39593,643
Method,All,2.1.0,40379,256
Method,All,2.1.1,39896,1248
Method,All,2.2.0,41933,563
Method,All,2.2.1,42445,162
Method,All,1.2.3,42607,0
Method,All,2.2.2,42719,172
Method,All,openjpa-parent-2.3.0,42891,0
Method,All,2.3.0,43268,120
Method,All,openjpa-parent-2.4.0,43387,1
Method,All,2.4.0,43454,194
Method,All,2.4.1-SNAPSHOT,43648,0
Method,All,2.4.1,43324,474
Method,All,2.4.2,43796,14
Method,All,openjpa-parent-2.4.3,43810,0
Method,All,openjpa-parent-3.0.0,43810,0
Method,All,2.4.3,43810,0
File,Most,0.9.6-incubating,1370,0
File,Most,0.9.7-incubating,1483,21
File,Most,1.0.0,1596,29
File,Most,1.0.1,2377,29
File,Most,1.0.2,2395,27
File,Most,1.1.0,2447,25
File,Most,1.0.3,3030,89
File,Most,1.2.1,3117,2
File,Most,1.2.0,3815,126
File,Most,2.0.0-M3,4035,67
File,Most,1.2.2,4062,20
File,Most,2.0.0-beta,4084,18
File,Most,2.0.0-beta2,4113,43
File,Most,2.0.0-beta3,4180,20
File,Most,2.0.0,4371,65
File,Most,2.0.1,4436,0
File,Most,1.0.4,4452,73
File,Most,2.1.0,4550,41
File,Most,2.1.1,4590,42
File,Most,2.2.0,4746,56
File,Most,2.2.1,4791,26
File,Most,1.2.3,4816,1
File,Most,2.2.2,4828,36
File,Most,openjpa-parent-2.3.0,4864,0
File,Most,2.3.0,4882,40
File,Most,openjpa-parent-2.4.0,4921,1
File,Most,2.4.0,4934,17
File,Most,2.4.1-SNAPSHOT,4951,0
File,Most,2.4.1,4958,14
File,Most,2.4.2,4965,7
File,Most,openjpa-parent-2.4.3,4972,0
File,Most,openjpa-parent-3.0.0,4972,0
File,Most,2.4.3,4972,0
File,All,0.9.6-incubating,1370,0
File,All,0.9.7-incubating,1299,205
File,All,1.0.0,1553,72
File,All,1.0.1,2289,117
File,All,1.0.2,2362,60
File,All,1.1.0,2391,81
File,All,1.0.3,2760,359
File,All,1.2.1,3108,11
File,All,1.2.0,3444,497
File,All,2.0.0-M3,3857,245
File,All,1.2.2,3914,168
File,All,2.0.0-beta,4067,35
File,All,2.0.0-beta2,4027,129
File,All,2.0.0-beta3,4160,40
File,All,2.0.0,4219,217
File,All,2.0.1,4436,0
File,All,1.0.4,4338,187
File,All,2.1.0,4491,100
File,All,2.1.1,4384,248
File,All,2.2.0,4711,91
File,All,2.2.1,4764,53
File,All,1.2.3,4816,1
File,All,2.2.2,4686,178
File,All,openjpa-parent-2.3.0,4864,0
File,All,2.3.0,4597,325
File,All,openjpa-parent-2.4.0,4921,1
File,All,2.4.0,4904,47
File,All,2.4.1-SNAPSHOT,4951,0
File,All,2.4.1,4806,166
File,All,2.4.2,4963,9
File,All,openjpa-parent-2.4.3,4972,0
File,All,openjpa-parent-3.0.0,4972,0
File,All,2.4.3,4972,0
