granularity,buggedType,version_name,valid,bug
Method,Most,v2.2.3,7753,51
Method,Most,phoenix-2.2.3-incubating,7909,11
Method,Most,v3.0.0-incubating-rc0,7920,0
Method,Most,v4.0.0-incubating-rc0,8348,3
Method,Most,v3.0.0-incubating-rc1,8351,0
Method,Most,v4.0.0-incubating-rc1,8353,4
Method,Most,v3.0.0-incubating-rc2,8357,0
Method,Most,v4.0.0-incubating-rc2,8356,2
Method,Most,v4.0.0-incubating-rc3,8358,0
Method,Most,v4.0.0-incubating-release,8358,0
Method,Most,v3.0.0-incubating-rc3,8358,0
Method,Most,v3.0.0-incubating-release,9827,89
Method,Most,v3.1.0-rc0,9974,0
Method,Most,v3.1.0-rc1,9992,24
Method,Most,v3.1.0-rc2,10016,0
Method,Most,v4.1.0-rc0,10015,1
Method,Most,v4.1.0,10016,0
Method,Most,v4.1.0-rc1,10016,0
Method,Most,v3.1.0,10016,0
Method,Most,v3.1.0-rc3,10697,62
Method,Most,v4.2.0-rc0,10759,0
Method,Most,v3.2.0-rc0,10827,14
Method,Most,v4.2.0,10841,0
Method,Most,v4.2.0-rc1,10841,0
Method,Most,v3.2.0,10841,0
Method,Most,v3.2.0-rc1,10856,17
Method,Most,v4.2.1-rc0,10873,0
Method,Most,v3.2.1-rc0,10926,16
Method,Most,v4.2.1,10942,0
Method,Most,v4.2.1-rc1,10942,0
Method,Most,v3.2.1,10942,0
Method,Most,v3.2.1-rc1,11128,21
Method,Most,v4.2.2,11149,0
Method,Most,v4.2.2-rc0,11149,0
Method,Most,v3.2.2,11149,0
Method,Most,v3.2.2-rc0,12265,30
Method,Most,v3.3.0-rc0,12450,10
Method,Most,v3.3.0-rc1,12580,5
Method,Most,v4.3.0-rc0,12611,5
Method,Most,v4.3.0,12616,0
Method,Most,v4.3.0-rc1,12616,0
Method,Most,v3.3.0,12616,0
Method,Most,v3.3.0-rc2,13378,35
Method,Most,v4.3.1-rc0,13413,0
Method,Most,v3.3.1-rc0,13452,4
Method,Most,v4.3.1,13456,0
Method,Most,v4.3.1-rc1,13456,0
Method,Most,v3.3.1,13456,0
Method,Most,v3.3.1-rc1,14153,31
Method,Most,v4.4.0-HBase-0.98-rc0,14184,0
Method,Most,v4.4.0-HBase-1.0-rc0,14185,2
Method,Most,v4.4.0-HBase-0.98,14187,0
Method,Most,v4.4.0-HBase-0.98-rc1,14187,0
Method,Most,v4.4.0-HBase-1.0,14187,0
Method,Most,v4.4.0-HBase-1.0-rc1,14293,4
Method,Most,v4.4.0-HBase-1.1,14297,0
Method,Most,v4.4.0-HBase-1.1-rc0,15231,44
Method,Most,v4.5.0-HBase-0.98,15275,0
Method,Most,v4.5.0-HBase-0.98-rc0,15275,0
Method,Most,v4.5.0-HBase-1.0,15275,0
Method,Most,v4.5.0-HBase-1.0-rc0,15275,0
Method,Most,v4.5.0-HBase-1.1,15275,0
Method,Most,v4.5.0-HBase-1.1-rc0,15404,17
Method,Most,v4.5.1-HBase-1.1-rc0,15421,0
Method,Most,v4.5.1-HBase-1.0-rc0,15421,0
Method,Most,v4.5.1-HBase-0.98-rc0,15421,1
Method,Most,v4.5.1-HBase-1.1,15422,0
Method,Most,v4.5.1-HBase-1.1-rc1,15422,0
Method,Most,v4.5.1-HBase-1.0,15422,0
Method,Most,v4.5.1-HBase-1.0-rc1,15422,0
Method,Most,v4.5.1-HBase-0.98,15422,0
Method,Most,v4.5.1-HBase-0.98-rc1,15618,9
Method,Most,v4.5.2-HBase-0.98-rc0,15627,0
Method,Most,v4.5.2-HBase-1.0-rc0,15627,0
Method,Most,v4.5.2-HBase-1.1-rc0,15626,1
Method,Most,v4.5.2-HBase-0.98,15627,0
Method,Most,v4.5.2-HBase-0.98-rc1,15627,0
Method,Most,v4.5.2-HBase-1.0,15627,0
Method,Most,v4.5.2-HBase-1.0-rc1,15627,0
Method,Most,v4.5.2-HBase-1.1,15627,0
Method,Most,v4.5.2-HBase-1.1-rc1,15786,27
Method,Most,v4.6.0-HBase-1.1,15811,2
Method,Most,v4.6.0-HBase-1.1-rc0,15811,2
Method,Most,v4.6.0-HBase-0.98,15813,0
Method,Most,v4.6.0-HBase-0.98-rc0,15813,0
Method,Most,v4.6.0-HBase-1.0,15813,0
Method,Most,v4.6.0-HBase-1.0-rc0,16537,96
Method,Most,v4.7.0-HBase-0.98-rc0,16633,0
Method,Most,v4.7.0-HBase-1.0-rc0,16633,0
Method,Most,v4.7.0-HBase-1.1-rc0,16643,7
Method,Most,v4.7.0-HBase-1.1-rc1,16650,0
Method,Most,v4.7.0-HBase-0.98-rc1,16650,0
Method,Most,v4.7.0-HBase-1.0-rc1,16861,30
Method,Most,v4.7.0-HBase-0.98-rc2,16890,1
Method,Most,v4.7.0-HBase-1.1-rc2,16890,1
Method,Most,v4.7.0-HBase-1.0-rc2,16904,7
Method,Most,v4.7.0-HBase-1.1-rc3,16909,2
Method,Most,v4.7.0-HBase-0.98-rc3,16911,0
Method,Most,v4.7.0-HBase-1.0-rc3,16911,3
Method,Most,v4.7.0-HBase-1.1-rc4,16912,2
Method,Most,v4.7.0-HBase-0.98-rc4,16914,0
Method,Most,v4.7.0-HBase-1.0-rc4,16918,4
Method,Most,v4.7.0-HBase-1.1-rc5,16921,1
Method,Most,v4.7.0-HBase-0.98-rc5,16922,0
Method,Most,v4.7.0-HBase-1.0-rc5,16921,1
Method,Most,v4.7.0-HBase-1.1,16921,1
Method,Most,v4.7.0-HBase-1.1-rc6,16921,1
Method,Most,v4.7.0-HBase-1.0,16922,0
Method,Most,v4.7.0-HBase-1.0-rc6,16922,0
Method,Most,v4.7.0-HBase-0.98,16922,0
Method,Most,v4.7.0-HBase-0.98-rc6,17974,83
Method,Most,v4.8.0-HBase-1.2-rc0,18057,0
Method,Most,v4.8.0-HBase-0.98-rc0,18057,0
Method,Most,v4.8.0-HBase-1.0-rc0,18057,0
Method,Most,v4.8.0-HBase-1.1-rc0,18061,14
Method,Most,v4.8.0-HBase-1.2-rc1,18075,0
Method,Most,v4.8.0-HBase-1.1-rc1,18075,0
Method,Most,v4.8.0-HBase-1.0-rc1,18075,0
Method,Most,v4.8.0-HBase-0.98-rc1,18072,3
Method,Most,v4.8.0-HBase-1.2,18075,0
Method,Most,v4.8.0-HBase-1.2-rc2,18074,1
Method,Most,v4.8.0-HBase-1.1,18075,0
Method,Most,v4.8.0-HBase-1.1-rc2,18075,0
Method,Most,v4.8.0-HBase-1.0,18075,0
Method,Most,v4.8.0-HBase-1.0-rc2,18075,0
Method,Most,v4.8.0-HBase-0.98,18075,0
Method,Most,v4.8.0-HBase-0.98-rc2,18399,39
Method,Most,v4.8.1-HBase-0.98,18438,0
Method,Most,v4.8.1-HBase-0.98-rc0,18438,0
Method,Most,v4.8.1-HBase-1.0,18438,0
Method,Most,v4.8.1-HBase-1.0-rc0,18438,0
Method,Most,v4.8.1-HBase-1.1,18438,0
Method,Most,v4.8.1-HBase-1.1-rc0,18438,0
Method,Most,v4.8.1-HBase-1.2,18438,0
Method,Most,v4.8.1-HBase-1.2-rc0,18648,32
Method,Most,v4.9.0-HBase-1.2-rc0,18680,0
Method,Most,v4.9.0-HBase-1.1-rc0,18680,0
Method,Most,v4.9.0-HBase-0.98-rc0,18683,19
Method,Most,v4.9.0-HBase-0.98-rc1,18702,0
Method,Most,v4.9.0-HBase-1.1-rc1,18702,0
Method,Most,v4.9.0-HBase-1.2-rc1,18705,2
Method,Most,v4.9.0-HBase-0.98-rc2,18707,0
Method,Most,v4.9.0-HBase-1.1-rc2,18708,0
