granularity,buggedType,version_name,valid,bug
Method,Most,PIG-1045,13355,0
Method,Most,pre-multiquery-phase2,13355,0
Method,Most,release-0.1.0,13355,0
Method,Most,release-0.1.1,13355,0
Method,Most,release-0.1.1-rc1,13355,0
Method,Most,release-0.2.0,13355,0
Method,Most,release-0.2.0-rc0,13355,0
Method,Most,release-0.2.0-rc1,13355,0
Method,Most,release-0.3.0,13355,0
Method,Most,release-0.4.0,13355,0
Method,Most,release-0.4.0-rc0,13355,0
Method,Most,release-0.5.0,13355,0
Method,Most,release-0.6.0,13355,0
Method,Most,release-0.6.0-rc0,13355,0
Method,Most,release-0.7.0,13355,0
Method,Most,types-stable-1,13355,0
Method,Most,types-stable-2,13711,50
Method,Most,release-0.8.0,15261,112
Method,Most,release-0.8.1-rc0,15414,16
Method,Most,release-0.8.1,14249,67
Method,Most,release-0.9.0-rc0,14356,20
Method,Most,release-0.9.0-rc1,14483,100
Method,Most,release-0.9.0,14713,37
Method,Most,release-0.9.1-rc0,14750,0
Method,Most,release-0.9.1-rc1,14750,0
Method,Most,release-0.9.1,15027,67
Method,Most,release-0.9.2-rc0,15220,2
Method,Most,release-0.9.2-rc1,15219,3
Method,Most,release-0.9.2,15441,51
Method,Most,release-0.10.0-rc0,15684,44
Method,Most,release-0.10.0.new,15728,0
Method,Most,release-0.10.0,16225,152
Method,Most,release-0.10.1-rc0,16379,6
Method,Most,release-0.10.1-rc1,16386,2
Method,Most,release-0.10.1,16508,39
Method,Most,release-0.11.0-rc0,16548,5
Method,Most,release-0.11.0-rc1,16552,2
Method,Most,release-0.11.0-rc2,16546,11
Method,Most,release-0.11.0,16597,32
Method,Most,release-0.11.1-rc0,16636,1
Method,Most,release-0.11.1,17779,119
Method,Most,release-0.12.0-rc0,17898,0
Method,Most,release-0.12.0-rc1,17871,2
Method,Most,release-0.12.0-rc2,17871,2
Method,Most,release-0.12.0,18306,122
Method,Most,release-0.12.1-rc0,18425,3
Method,Most,release-0.12.1,16480,58
Method,Most,release-0.13.0-rc0,16581,35
Method,Most,release-0.13.0,17054,123
Method,Most,release-0.14.0-rc0,17172,9
Method,Most,release-0.14.0-rc1,17181,1
Method,Most,release-0.14.0,17529,118
Method,Most,release-0.15.0-rc0,17645,4
Method,Most,release-0.15.0-rc1,17649,0
Method,Most,release-0.15.0,17853,131
Method,Most,release-0.16.0-rc0,17983,1
Method,Most,release-0.16.0,18856,105
Method,Most,release-0.17.0-rc0,18960,1
Method,All,PIG-1045,13355,0
Method,All,pre-multiquery-phase2,13355,0
Method,All,release-0.1.0,13355,0
Method,All,release-0.1.1,13355,0
Method,All,release-0.1.1-rc1,13355,0
Method,All,release-0.2.0,13355,0
Method,All,release-0.2.0-rc0,13355,0
Method,All,release-0.2.0-rc1,13355,0
Method,All,release-0.3.0,13355,0
Method,All,release-0.4.0,13355,0
Method,All,release-0.4.0-rc0,13355,0
Method,All,release-0.5.0,13355,0
Method,All,release-0.6.0,13355,0
Method,All,release-0.6.0-rc0,13355,0
Method,All,release-0.7.0,13355,0
Method,All,types-stable-1,13355,0
Method,All,types-stable-2,13292,469
Method,All,release-0.8.0,13818,1555
Method,All,release-0.8.1-rc0,15366,64
Method,All,release-0.8.1,14089,227
Method,All,release-0.9.0-rc0,14294,82
Method,All,release-0.9.0-rc1,14522,61
Method,All,release-0.9.0,14518,232
Method,All,release-0.9.1-rc0,14750,0
Method,All,release-0.9.1-rc1,14750,0
Method,All,release-0.9.1,14522,572
Method,All,release-0.9.2-rc0,15081,141
Method,All,release-0.9.2-rc1,15220,2
Method,All,release-0.9.2,15252,240
Method,All,release-0.10.0-rc0,15431,297
Method,All,release-0.10.0.new,15728,0
Method,All,release-0.10.0,15474,903
Method,All,release-0.10.1-rc0,16363,22
Method,All,release-0.10.1-rc1,16383,5
Method,All,release-0.10.1,16333,214
Method,All,release-0.11.0-rc0,16530,23
Method,All,release-0.11.0-rc1,16551,3
Method,All,release-0.11.0-rc2,16548,9
Method,All,release-0.11.0,16502,127
Method,All,release-0.11.1-rc0,16620,17
Method,All,release-0.11.1,16532,1366
Method,All,release-0.12.0-rc0,17898,0
Method,All,release-0.12.0-rc1,17809,64
Method,All,release-0.12.0-rc2,17870,3
Method,All,release-0.12.0,17424,1004
Method,All,release-0.12.1-rc0,18415,13
Method,All,release-0.12.1,15327,1211
Method,All,release-0.13.0-rc0,16502,114
Method,All,release-0.13.0,16135,1042
Method,All,release-0.14.0-rc0,17176,5
Method,All,release-0.14.0-rc1,17181,1
Method,All,release-0.14.0,17165,482
Method,All,release-0.15.0-rc0,17644,5
Method,All,release-0.15.0-rc1,17649,0
Method,All,release-0.15.0,17384,600
Method,All,release-0.16.0-rc0,17976,8
Method,All,release-0.16.0,17787,1174
Method,All,release-0.17.0-rc0,18958,3
File,Most,PIG-1045,1492,0
File,Most,pre-multiquery-phase2,1492,0
File,Most,release-0.1.0,1492,0
File,Most,release-0.1.1,1492,0
File,Most,release-0.1.1-rc1,1492,0
File,Most,release-0.2.0,1492,0
File,Most,release-0.2.0-rc0,1492,0
File,Most,release-0.2.0-rc1,1492,0
File,Most,release-0.3.0,1492,0
File,Most,release-0.4.0,1492,0
File,Most,release-0.4.0-rc0,1492,0
File,Most,release-0.5.0,1492,0
File,Most,release-0.6.0,1492,0
File,Most,release-0.6.0-rc0,1492,0
File,Most,release-0.7.0,1492,0
File,Most,types-stable-1,1492,0
File,Most,types-stable-2,1469,42
File,Most,release-0.8.0,1605,68
File,Most,release-0.8.1-rc0,1667,10
File,Most,release-0.8.1,1528,36
File,Most,release-0.9.0-rc0,1552,16
File,Most,release-0.9.0-rc1,1573,11
File,Most,release-0.9.0,1575,23
File,Most,release-0.9.1-rc0,1598,0
File,Most,release-0.9.1-rc1,1598,0
File,Most,release-0.9.1,1585,47
File,Most,release-0.9.2-rc0,1642,1
File,Most,release-0.9.2-rc1,1642,1
File,Most,release-0.9.2,1638,34
File,Most,release-0.10.0-rc0,1665,33
File,Most,release-0.10.0.new,1698,0
File,Most,release-0.10.0,1641,80
File,Most,release-0.10.1-rc0,1716,5
File,Most,release-0.10.1-rc1,1719,2
File,Most,release-0.10.1,1691,43
File,Most,release-0.11.0-rc0,1729,4
File,Most,release-0.11.0-rc1,1731,2
File,Most,release-0.11.0-rc2,1729,4
File,Most,release-0.11.0,1718,21
File,Most,release-0.11.1-rc0,1738,1
File,Most,release-0.11.1,1764,75
File,Most,release-0.12.0-rc0,1839,0
File,Most,release-0.12.0-rc1,1836,1
File,Most,release-0.12.0-rc2,1835,2
File,Most,release-0.12.0,1814,79
File,Most,release-0.12.1-rc0,1891,2
File,Most,release-0.12.1,1651,46
File,Most,release-0.13.0-rc0,1677,28
File,Most,release-0.13.0,1710,76
File,Most,release-0.14.0-rc0,1783,3
File,Most,release-0.14.0-rc1,1785,1
File,Most,release-0.14.0,1756,71
File,Most,release-0.15.0-rc0,1825,2
File,Most,release-0.15.0-rc1,1827,0
File,Most,release-0.15.0,1759,92
File,Most,release-0.16.0-rc0,1849,2
File,Most,release-0.16.0,1876,69
File,Most,release-0.17.0-rc0,1944,1
File,All,PIG-1045,1492,0
File,All,pre-multiquery-phase2,1492,0
File,All,release-0.1.0,1492,0
File,All,release-0.1.1,1492,0
File,All,release-0.1.1-rc1,1492,0
File,All,release-0.2.0,1492,0
File,All,release-0.2.0-rc0,1492,0
File,All,release-0.2.0-rc1,1492,0
File,All,release-0.3.0,1492,0
File,All,release-0.4.0,1492,0
File,All,release-0.4.0-rc0,1492,0
File,All,release-0.5.0,1492,0
File,All,release-0.6.0,1492,0
File,All,release-0.6.0-rc0,1492,0
File,All,release-0.7.0,1492,0
File,All,types-stable-1,1492,0
File,All,types-stable-2,1313,198
File,All,release-0.8.0,1334,339
File,All,release-0.8.1-rc0,1658,19
File,All,release-0.8.1,1491,73
File,All,release-0.9.0-rc0,1529,39
File,All,release-0.9.0-rc1,1571,13
File,All,release-0.9.0,1506,92
File,All,release-0.9.1-rc0,1598,0
File,All,release-0.9.1-rc1,1598,0
File,All,release-0.9.1,1525,107
File,All,release-0.9.2-rc0,1620,23
File,All,release-0.9.2-rc1,1642,1
File,All,release-0.9.2,1607,65
File,All,release-0.10.0-rc0,1602,96
File,All,release-0.10.0.new,1698,0
File,All,release-0.10.0,1473,248
File,All,release-0.10.1-rc0,1703,18
File,All,release-0.10.1-rc1,1718,3
File,All,release-0.10.1,1643,91
File,All,release-0.11.0-rc0,1728,5
File,All,release-0.11.0-rc1,1731,2
File,All,release-0.11.0-rc2,1728,5
File,All,release-0.11.0,1707,32
File,All,release-0.11.1-rc0,1738,1
File,All,release-0.11.1,1584,255
File,All,release-0.12.0-rc0,1839,0
File,All,release-0.12.0-rc1,1820,17
File,All,release-0.12.0-rc2,1834,3
File,All,release-0.12.0,1684,209
File,All,release-0.12.1-rc0,1887,6
File,All,release-0.12.1,1475,222
File,All,release-0.13.0-rc0,1650,55
File,All,release-0.13.0,1394,392
File,All,release-0.14.0-rc0,1782,4
File,All,release-0.14.0-rc1,1784,2
File,All,release-0.14.0,1684,143
File,All,release-0.15.0-rc0,1823,4
File,All,release-0.15.0-rc1,1827,0
File,All,release-0.15.0,1651,200
File,All,release-0.16.0-rc0,1847,4
File,All,release-0.16.0,1678,267
File,All,release-0.17.0-rc0,1943,2
