granularity,buggedType,version_name,valid,bug
Method,Most,M1,13684,0
Method,Most,M2,13684,0
Method,Most,M2.1,13684,0
Method,Most,M3,13684,0
Method,Most,pre-M1,13684,0
Method,Most,qpid.0-9.pre-backmerge-java,13684,0
Method,Most,trunk-prethegreatlanding,13748,15
Method,Most,M4,15033,78
Method,Most,to-cmake-25mar09,16052,144
Method,Most,0.6rc1,17441,32
Method,Most,0.6,18476,242
Method,Most,0.5,18718,1
Method,Most,0.8,19122,71
Method,Most,0.10,18206,60
Method,Most,0.12,20034,122
Method,Most,0.14,24185,299
Method,Most,0.16,25371,70
Method,Most,0.18,25936,76
Method,Most,0.20,28277,220
Method,Most,0.22,29255,33
Method,Most,0.24,37546,83
Method,Most,0.26,41771,81
Method,Most,0.28,43173,166
Method,Most,0.30,42746,187
Method,Most,0.32,24368,5
Method,Most,qpid-cpp-0.34,24373,0
Method,Most,QPID-7207-trunk-pre-reorg,24373,0
Method,All,M1,13684,0
Method,All,M2,13684,0
Method,All,M2.1,13684,0
Method,All,M3,13684,0
Method,All,pre-M1,13684,0
Method,All,qpid.0-9.pre-backmerge-java,13684,0
Method,All,trunk-prethegreatlanding,13510,253
Method,All,M4,13970,1141
Method,All,to-cmake-25mar09,14163,2033
Method,All,0.6rc1,16228,1245
Method,All,0.6,17559,1159
Method,All,0.5,18718,1
Method,All,0.8,18811,382
Method,All,0.10,17252,1014
Method,All,0.12,17981,2175
Method,All,0.14,20042,4442
Method,All,0.16,23824,1617
Method,All,0.18,25170,842
Method,All,0.20,25429,3068
Method,All,0.22,28412,876
Method,All,0.24,29986,7643
Method,All,0.26,37187,4665
Method,All,0.28,41067,2272
Method,All,0.30,40098,2835
Method,All,0.32,24291,82
Method,All,qpid-cpp-0.34,24373,0
Method,All,QPID-7207-trunk-pre-reorg,24373,0
File,Most,M1,1985,0
File,Most,M2,1985,0
File,Most,M2.1,1985,0
File,Most,M3,1985,0
File,Most,pre-M1,1985,0
File,Most,qpid.0-9.pre-backmerge-java,1985,0
File,Most,trunk-prethegreatlanding,1991,9
File,Most,M4,2119,43
File,Most,to-cmake-25mar09,2226,59
File,Most,0.6rc1,2388,19
File,Most,0.6,2479,69
File,Most,0.5,2548,1
File,Most,0.8,2541,35
File,Most,0.10,2246,39
File,Most,0.12,2360,47
File,Most,0.14,2885,70
File,Most,0.16,3030,38
File,Most,0.18,3084,51
File,Most,0.20,3349,69
File,Most,0.22,3611,28
File,Most,0.24,4542,67
File,Most,0.26,4781,51
File,Most,0.28,4857,105
File,Most,0.30,4728,107
File,Most,0.32,2462,1
File,Most,qpid-cpp-0.34,2463,0
File,Most,QPID-7207-trunk-pre-reorg,2463,0
File,All,M1,1985,0
File,All,M2,1985,0
File,All,M2.1,1985,0
File,All,M3,1985,0
File,All,pre-M1,1985,0
File,All,qpid.0-9.pre-backmerge-java,1985,0
File,All,trunk-prethegreatlanding,1953,47
File,All,M4,1939,223
File,All,to-cmake-25mar09,1998,287
File,All,0.6rc1,2229,178
File,All,0.6,2245,303
File,All,0.5,2548,1
File,All,0.8,2494,82
File,All,0.10,2098,187
File,All,0.12,2035,372
File,All,0.14,2286,669
File,All,0.16,2843,225
File,All,0.18,2953,182
File,All,0.20,2922,496
File,All,0.22,3320,319
File,All,0.24,3614,995
File,All,0.26,4209,623
File,All,0.28,4360,602
File,All,0.30,4283,552
File,All,0.32,2461,2
File,All,qpid-cpp-0.34,2463,0
File,All,QPID-7207-trunk-pre-reorg,2463,0
