granularity,buggedType,version_name,valid,bug
Method,Most,ranger-0.4.0-rc0,3752,0
Method,Most,ranger-0.4.0-rc1,3766,1
Method,Most,ranger-0.4.0-rc2,3777,8
Method,Most,ranger-0.4.0-rc3,4707,8
Method,Most,ranger-0.4.1-rc1,9939,139
Method,Most,ranger-0.5.0-rc1,10311,17
Method,Most,ranger-0.5.0-rc2,10408,12
Method,Most,ranger-0.5.0-rc3,12327,111
Method,Most,ranger-0.5.1-rc0,12479,5
Method,Most,ranger-0.5.1-rc1,12554,3
Method,Most,ranger-0.5.1-rc2,12635,18
Method,Most,ranger-0.5.2-rc1,13228,97
Method,Most,ranger-0.5.3-rc1,13326,10
Method,Most,ranger-0.5.3-rc2,13455,32
Method,Most,ranger-0.5.3-rc3,13575,83
Method,Most,ranger-0.6.0-rc1,12121,22
Method,Most,ranger-0.6.1-rc1,12142,1
Method,Most,ranger-0.6.1-rc2,12790,30
Method,Most,ranger-0.6.2,12820,0
Method,Most,ranger-0.6.2-rc1,13056,48
Method,Most,ranger-0.6.3-rc1,13104,0
Method,Most,release-0.6.3,13207,26
Method,Most,ranger-0.7.0,13233,0
Method,Most,ranger-0.7.0-rc1,13387,108
Method,Most,ranger-0.7.1-rc1,13495,0
Method,Most,release-ranger-0.7.1,14142,122
Method,Most,release-1.0.0-rc0,14263,10
Method,Most,release-1.0.0-rc1,14273,0
Method,Most,release-ranger-1.0.0,14637,86
Method,Most,1.1.0-rc1,14723,0
Method,Most,ranger-1.1.0-rc2,14723,0
Method,Most,release-ranger-1.1.0,15011,28
Method,Most,ranger-1.2.0-rc1,15039,0
Method,All,ranger-0.4.0-rc0,3752,0
Method,All,ranger-0.4.0-rc1,3729,38
Method,All,ranger-0.4.0-rc2,3685,100
Method,All,ranger-0.4.0-rc3,3846,869
Method,All,ranger-0.4.1-rc1,7109,2969
Method,All,ranger-0.5.0-rc1,10028,300
Method,All,ranger-0.5.0-rc2,10149,271
Method,All,ranger-0.5.0-rc3,10196,2242
Method,All,ranger-0.5.1-rc0,12441,43
Method,All,ranger-0.5.1-rc1,12460,97
Method,All,ranger-0.5.1-rc2,12499,154
Method,All,ranger-0.5.2-rc1,12310,1015
Method,All,ranger-0.5.3-rc1,13248,88
Method,All,ranger-0.5.3-rc2,13312,175
Method,All,ranger-0.5.3-rc3,13374,284
Method,All,ranger-0.6.0-rc1,12002,141
Method,All,ranger-0.6.1-rc1,12142,1
Method,All,ranger-0.6.1-rc2,12515,305
Method,All,ranger-0.6.2,12820,0
Method,All,ranger-0.6.2-rc1,12622,482
Method,All,ranger-0.6.3-rc1,13104,0
Method,All,release-0.6.3,12984,249
Method,All,ranger-0.7.0,13233,0
Method,All,ranger-0.7.0-rc1,13171,324
Method,All,ranger-0.7.1-rc1,13495,0
Method,All,release-ranger-0.7.1,13240,1024
Method,All,release-1.0.0-rc0,14260,13
Method,All,release-1.0.0-rc1,14273,0
Method,All,release-ranger-1.0.0,14113,610
Method,All,1.1.0-rc1,14723,0
Method,All,ranger-1.1.0-rc2,14723,0
Method,All,release-ranger-1.1.0,14866,173
Method,All,ranger-1.2.0-rc1,15039,0
File,Most,ranger-0.4.0-rc0,379,0
File,Most,ranger-0.4.0-rc1,379,1
File,Most,ranger-0.4.0-rc2,375,8
File,Most,ranger-0.4.0-rc3,798,9
File,Most,ranger-0.4.1-rc1,1131,146
File,Most,ranger-0.5.0-rc1,1284,15
File,Most,ranger-0.5.0-rc2,1288,11
File,Most,ranger-0.5.0-rc3,1354,81
File,Most,ranger-0.5.1-rc0,1439,6
File,Most,ranger-0.5.1-rc1,1451,3
File,Most,ranger-0.5.1-rc2,1450,12
File,Most,ranger-0.5.2-rc1,1431,57
File,Most,ranger-0.5.3-rc1,1480,9
File,Most,ranger-0.5.3-rc2,1490,11
File,Most,ranger-0.5.3-rc3,1461,49
File,Most,ranger-0.6.0-rc1,1328,19
File,Most,ranger-0.6.1-rc1,1346,1
File,Most,ranger-0.6.1-rc2,1366,18
