granularity,buggedType,version_name,valid,bug
Method,Most,RNG_1_0_RC1,313,0
Method,Most,RNG_1_0_RC2,588,5
Method,Most,RNG_1_0_RC3,593,0
Method,Most,RNG_1_0_RC4,593,0
Method,Most,RNG_1_0_RC5,593,0
Method,Most,RNG_1_0,593,0
Method,Most,RNG_1_0_RC6,667,9
Method,Most,RNG_1_1_RC1,676,0
Method,Most,RNG_1_1_RC2,676,0
Method,Most,RNG_1_1_RC3,676,0
Method,Most,RNG_1_1_RC4,682,1
Method,Most,RNG_1_1_RC5,683,0
Method,Most,RNG_1_1_RC6,686,2
Method,Most,RNG_1_1,688,0
Method,All,RNG_1_0_RC1,313,0
Method,All,RNG_1_0_RC2,511,82
Method,All,RNG_1_0_RC3,593,0
Method,All,RNG_1_0_RC4,593,0
Method,All,RNG_1_0_RC5,593,0
Method,All,RNG_1_0,593,0
Method,All,RNG_1_0_RC6,616,60
Method,All,RNG_1_1_RC1,676,0
Method,All,RNG_1_1_RC2,676,0
Method,All,RNG_1_1_RC3,676,0
Method,All,RNG_1_1_RC4,672,11
Method,All,RNG_1_1_RC5,683,0
Method,All,RNG_1_1_RC6,636,52
Method,All,RNG_1_1,688,0
File,Most,RNG_1_0_RC1,75,0
File,Most,RNG_1_0_RC2,220,4
File,Most,RNG_1_0_RC3,224,0
File,Most,RNG_1_0_RC4,224,0
File,Most,RNG_1_0_RC5,224,0
File,Most,RNG_1_0,224,0
File,Most,RNG_1_0_RC6,248,8
File,Most,RNG_1_1_RC1,256,0
File,Most,RNG_1_1_RC2,256,0
File,Most,RNG_1_1_RC3,256,0
File,Most,RNG_1_1_RC4,257,1
File,Most,RNG_1_1_RC5,258,0
File,Most,RNG_1_1_RC6,257,1
File,Most,RNG_1_1,258,0
File,All,RNG_1_0_RC1,75,0
File,All,RNG_1_0_RC2,193,31
File,All,RNG_1_0_RC3,224,0
File,All,RNG_1_0_RC4,224,0
File,All,RNG_1_0_RC5,224,0
File,All,RNG_1_0,224,0
File,All,RNG_1_0_RC6,232,24
File,All,RNG_1_1_RC1,256,0
File,All,RNG_1_1_RC2,256,0
File,All,RNG_1_1_RC3,256,0
File,All,RNG_1_1_RC4,255,3
File,All,RNG_1_1_RC5,258,0
File,All,RNG_1_1_RC6,240,18
File,All,RNG_1_1,258,0
