granularity,buggedType,version_name,valid,bug
Method,Most,rocketmq-4.0.0-incubating,10641,5
Method,Most,rocketmq-all-4.1.0-incubating,10783,21
Method,Most,rocketmq-all-4.2.0,11288,5
Method,Most,rocketmq-all-4.3.0,11306,0
Method,Most,rocketmq-all-4.3.1,11309,0
Method,All,rocketmq-4.0.0-incubating,10584,62
Method,All,rocketmq-all-4.1.0-incubating,10617,187
Method,All,rocketmq-all-4.2.0,11282,11
Method,All,rocketmq-all-4.3.0,11306,0
Method,All,rocketmq-all-4.3.1,11309,0
File,Most,rocketmq-4.0.0-incubating,1315,5
File,Most,rocketmq-all-4.1.0-incubating,1321,18
File,Most,rocketmq-all-4.2.0,1381,3
File,Most,rocketmq-all-4.3.0,1385,0
File,Most,rocketmq-all-4.3.1,1385,0
File,All,rocketmq-4.0.0-incubating,1291,29
File,All,rocketmq-all-4.1.0-incubating,1272,67
File,All,rocketmq-all-4.2.0,1373,11
File,All,rocketmq-all-4.3.0,1385,0
File,All,rocketmq-all-4.3.1,1385,0
