granularity,buggedType,version_name,valid,bug
Method,Most,sanselan-0.92-incubator,1556,0
Method,Most,sanselan-0.93-incubator,1556,0
Method,Most,sanselan-0.94-incubator,1556,0
Method,Most,sanselan-0.95-incubator,1556,0
Method,Most,sanselan-0.96-incubator,1556,0
Method,All,sanselan-0.92-incubator,1556,0
Method,All,sanselan-0.93-incubator,1556,0
Method,All,sanselan-0.94-incubator,1556,0
Method,All,sanselan-0.95-incubator,1556,0
Method,All,sanselan-0.96-incubator,1556,0
File,Most,sanselan-0.92-incubator,278,0
File,Most,sanselan-0.93-incubator,278,0
File,Most,sanselan-0.94-incubator,278,0
File,Most,sanselan-0.95-incubator,278,0
File,Most,sanselan-0.96-incubator,278,0
File,All,sanselan-0.92-incubator,278,0
File,All,sanselan-0.93-incubator,278,0
File,All,sanselan-0.94-incubator,278,0
File,All,sanselan-0.95-incubator,278,0
File,All,sanselan-0.96-incubator,278,0
