granularity,buggedType,version_name,valid,bug
Method,Most,shindig-project-1.1-BETA1-incubating,9709,0
Method,Most,shindig-project-1.1-BETA2-incubating,9709,0
Method,Most,shindig-project-1.1-BETA3-incubating,9709,0
Method,Most,shindig-project-1.1-BETA4-incubating,9709,0
Method,Most,shindig-project-1.1-BETA5-incubating,10089,1
Method,Most,shindig-project-1.0-incubating,10328,5
Method,Most,shindig-project-1.0.1,10677,12
Method,Most,shindig-project-2.0.0-RC1,11030,17
Method,Most,shindig-project-2.0.0-RC2,11239,1
Method,Most,shindig-project-2.0.0,11295,11
Method,Most,shindig-project-2.0.1b,11306,0
Method,Most,shindig-project-2.0.1,11500,0
Method,Most,shindig-project-2.0.2,12508,12
Method,Most,shindig-project-3.0.0-beta1,12761,1
Method,Most,shindig-project-3.0.0-beta2,14107,12
Method,Most,shindig-project-3.0.0-beta3,14134,1
Method,Most,shindig-project-3.0.0-beta4,14266,11
Method,Most,shindig-project-2.5.0-beta1,14437,19
Method,Most,shindig-project-2.5.0-beta2,14473,9
Method,Most,shindig-project-2.5.0-beta3,14500,4
Method,Most,shindig-project-2.5.0-beta4,14526,7
Method,Most,shindig-project-2.5.0-beta5,14551,12
Method,Most,shindig-project-2.5.0-beta6,13974,2
Method,Most,shindig-project-2.5.0,14003,8
Method,Most,shindig-project-2.5.0-update1,14010,28
Method,Most,shindig-project-2.5.1,14041,4
Method,All,shindig-project-1.1-BETA1-incubating,9709,0
Method,All,shindig-project-1.1-BETA2-incubating,9709,0
Method,All,shindig-project-1.1-BETA3-incubating,9709,0
Method,All,shindig-project-1.1-BETA4-incubating,9709,0
Method,All,shindig-project-1.1-BETA5-incubating,10045,45
Method,All,shindig-project-1.0-incubating,10307,26
Method,All,shindig-project-1.0.1,10638,51
Method,All,shindig-project-2.0.0-RC1,11021,26
Method,All,shindig-project-2.0.0-RC2,11239,1
Method,All,shindig-project-2.0.0,11282,24
Method,All,shindig-project-2.0.1b,11306,0
Method,All,shindig-project-2.0.1,11500,0
Method,All,shindig-project-2.0.2,12482,38
Method,All,shindig-project-3.0.0-beta1,12761,1
Method,All,shindig-project-3.0.0-beta2,14101,18
Method,All,shindig-project-3.0.0-beta3,14134,1
Method,All,shindig-project-3.0.0-beta4,14205,72
Method,All,shindig-project-2.5.0-beta1,14422,34
Method,All,shindig-project-2.5.0-beta2,14448,34
Method,All,shindig-project-2.5.0-beta3,14495,9
Method,All,shindig-project-2.5.0-beta4,14477,56
Method,All,shindig-project-2.5.0-beta5,14529,34
Method,All,shindig-project-2.5.0-beta6,13963,13
Method,All,shindig-project-2.5.0,13996,15
Method,All,shindig-project-2.5.0-update1,13991,47
Method,All,shindig-project-2.5.1,14040,5
File,Most,shindig-project-1.1-BETA1-incubating,1166,0
File,Most,shindig-project-1.1-BETA2-incubating,1166,0
File,Most,shindig-project-1.1-BETA3-incubating,1166,0
File,Most,shindig-project-1.1-BETA4-incubating,1166,0
File,Most,shindig-project-1.1-BETA5-incubating,1222,2
File,Most,shindig-project-1.0-incubating,1226,4
File,Most,shindig-project-1.0.1,1248,11
File,Most,shindig-project-2.0.0-RC1,1275,4
File,Most,shindig-project-2.0.0-RC2,1297,1
File,Most,shindig-project-2.0.0,1296,8
File,Most,shindig-project-2.0.1b,1304,0
File,Most,shindig-project-2.0.1,1321,0
File,Most,shindig-project-2.0.2,1401,19
File,Most,shindig-project-3.0.0-beta1,1449,1
File,Most,shindig-project-3.0.0-beta2,1566,12
File,Most,shindig-project-3.0.0-beta3,1577,1
File,Most,shindig-project-3.0.0-beta4,1581,8
File,Most,shindig-project-2.5.0-beta1,1589,13
File,Most,shindig-project-2.5.0-beta2,1597,8
File,Most,shindig-project-2.5.0-beta3,1605,3
File,Most,shindig-project-2.5.0-beta4,1600,8
File,Most,shindig-project-2.5.0-beta5,1598,10
File,Most,shindig-project-2.5.0-beta6,1540,2
File,Most,shindig-project-2.5.0,1539,6
File,Most,shindig-project-2.5.0-update1,1540,9
File,Most,shindig-project-2.5.1,1546,3
File,All,shindig-project-1.1-BETA1-incubating,1166,0
File,All,shindig-project-1.1-BETA2-incubating,1166,0
File,All,shindig-project-1.1-BETA3-incubating,1166,0
File,All,shindig-project-1.1-BETA4-incubating,1166,0
File,All,shindig-project-1.1-BETA5-incubating,1222,2
File,All,shindig-project-1.0-incubating,1221,9
File,All,shindig-project-1.0.1,1222,37
File,All,shindig-project-2.0.0-RC1,1269,10
File,All,shindig-project-2.0.0-RC2,1297,1
File,All,shindig-project-2.0.0,1292,12
File,All,shindig-project-2.0.1b,1304,0
File,All,shindig-project-2.0.1,1321,0
File,All,shindig-project-2.0.2,1368,52
File,All,shindig-project-3.0.0-beta1,1449,1
File,All,shindig-project-3.0.0-beta2,1567,11
File,All,shindig-project-3.0.0-beta3,1577,1
File,All,shindig-project-3.0.0-beta4,1550,39
File,All,shindig-project-2.5.0-beta1,1581,21
File,All,shindig-project-2.5.0-beta2,1591,14
File,All,shindig-project-2.5.0-beta3,1600,8
File,All,shindig-project-2.5.0-beta4,1584,24
File,All,shindig-project-2.5.0-beta5,1586,22
File,All,shindig-project-2.5.0-beta6,1534,8
File,All,shindig-project-2.5.0,1536,9
File,All,shindig-project-2.5.0-update1,1534,15
File,All,shindig-project-2.5.1,1545,4
