granularity,buggedType,version_name,valid,bug
Method,Most,0.9.0-rc1,4728,0
Method,Most,0.9.0-rc2,4818,0
Method,Most,0.9.0-rc3,4818,1
Method,Most,0.9.0,4819,0
Method,Most,0.9.0.1,5357,4
Method,Most,v0.9.1-incubating,5546,26
Method,Most,v0.9.1.0-incubating,6102,8
Method,Most,v0.9.2-incubating,6142,2
Method,Most,v0.9.2-incubating-security,6451,19
Method,Most,v0.9.3-rc1,6477,3
Method,Most,PRE_SECURITY_MERGE,6487,0
Method,Most,v0.9.3,7855,23
Method,Most,v0.9.4,9058,23
Method,Most,v0.9.5,9094,1
Method,Most,v0.10.0-beta,9098,4
Method,Most,v0.10.0-beta1,10016,37
Method,Most,v0.10.0,10144,5
Method,Most,v0.9.6,18280,81
Method,Most,v1.0.0,18420,3
Method,Most,v0.10.1,18422,1
Method,Most,v1.0.1,18959,134
Method,Most,v1.0.2,19284,14
Method,Most,v0.9.7,19454,15
Method,Most,v0.10.2,21461,148
Method,Most,v1.0.3,21969,29
Method,Most,v1.1.0,24002,77
Method,Most,v1.0.4,24538,1
Method,Most,v1.1.1,25059,21
Method,Most,v1.0.5,26452,85
Method,Most,v1.2.0,26767,1
Method,Most,v1.1.2,26768,0
Method,Most,v1.0.6,27056,4
Method,Most,v1.2.1,29190,22
Method,Most,v1.0.7,29255,11
Method,Most,v1.2.2,29283,1
Method,Most,v1.1.3,31780,115
Method,All,0.9.0-rc1,4728,0
Method,All,0.9.0-rc2,4818,0
Method,All,0.9.0-rc3,4811,8
Method,All,0.9.0,4819,0
Method,All,0.9.0.1,5357,4
Method,All,v0.9.1-incubating,5538,34
Method,All,v0.9.1.0-incubating,5530,580
Method,All,v0.9.2-incubating,6113,31
Method,All,v0.9.2-incubating-security,6334,136
Method,All,v0.9.3-rc1,6473,7
Method,All,PRE_SECURITY_MERGE,6487,0
Method,All,v0.9.3,7312,566
Method,All,v0.9.4,8600,481
Method,All,v0.9.5,9093,2
Method,All,v0.10.0-beta,9091,11
Method,All,v0.10.0-beta1,9769,284
Method,All,v0.10.0,10082,67
Method,All,v0.9.6,10135,8226
Method,All,v1.0.0,18416,7
Method,All,v0.10.1,18422,1
Method,All,v1.0.1,18340,753
Method,All,v1.0.2,19073,225
Method,All,v0.9.7,19177,292
Method,All,v0.10.2,19844,1765
Method,All,v1.0.3,21532,466
Method,All,v1.1.0,20106,3973
Method,All,v1.0.4,23922,617
Method,All,v1.1.1,24592,488
Method,All,v1.0.5,25019,1518
Method,All,v1.2.0,26510,258
Method,All,v1.1.2,26768,0
Method,All,v1.0.6,26621,439
Method,All,v1.2.1,28812,400
Method,All,v1.0.7,29173,93
Method,All,v1.2.2,29211,73
Method,All,v1.1.3,27636,4259
File,Most,0.9.0-rc1,619,0
File,Most,0.9.0-rc2,631,0
File,Most,0.9.0-rc3,630,1
File,Most,0.9.0,631,0
File,Most,0.9.0.1,1085,2
File,Most,v0.9.1-incubating,1192,8
File,Most,v0.9.1.0-incubating,1240,6
File,Most,v0.9.2-incubating,1247,1
File,Most,v0.9.2-incubating-security,1312,16
File,Most,v0.9.3-rc1,1324,3
File,Most,PRE_SECURITY_MERGE,1344,0
File,Most,v0.9.3,1487,21
File,Most,v0.9.4,1585,20
File,Most,v0.9.5,1611,2
File,Most,v0.10.0-beta,1612,3
File,Most,v0.10.0-beta1,1698,24
File,Most,v0.10.0,1730,5
File,Most,v0.9.6,2349,51
File,Most,v1.0.0,2399,3
File,Most,v0.10.1,2401,1
File,Most,v1.0.1,2437,41
File,Most,v1.0.2,2501,11
File,Most,v0.9.7,2521,13
File,Most,v0.10.2,2813,75
File,Most,v1.0.3,2910,25
File,Most,v1.1.0,3469,66
File,Most,v1.0.4,3598,1
File,Most,v1.1.1,3658,16
File,Most,v1.0.5,3767,54
File,Most,v1.2.0,3845,1
File,Most,v1.1.2,3846,0
File,Most,v1.0.6,3884,2
File,Most,v1.2.1,4426,20
File,Most,v1.0.7,4438,10
File,Most,v1.2.2,4455,1
File,Most,v1.1.3,4396,73
File,All,0.9.0-rc1,619,0
File,All,0.9.0-rc2,631,0
File,All,0.9.0-rc3,630,1
File,All,0.9.0,631,0
File,All,0.9.0.1,1085,2
File,All,v0.9.1-incubating,1183,17
File,All,v0.9.1.0-incubating,1150,96
File,All,v0.9.2-incubating,1244,4
File,All,v0.9.2-incubating-security,1266,62
File,All,v0.9.3-rc1,1323,4
File,All,PRE_SECURITY_MERGE,1344,0
File,All,v0.9.3,1396,112
File,All,v0.9.4,1526,79
File,All,v0.9.5,1608,5
File,All,v0.10.0-beta,1587,28
File,All,v0.10.0-beta1,1645,77
File,All,v0.10.0,1716,19
File,All,v0.9.6,1323,1077
File,All,v1.0.0,2396,6
File,All,v0.10.1,2401,1
File,All,v1.0.1,2363,115
File,All,v1.0.2,2472,40
File,All,v0.9.7,2455,79
File,All,v0.10.2,2460,428
File,All,v1.0.3,2815,120
File,All,v1.1.0,2620,915
File,All,v1.0.4,3501,98
File,All,v1.1.1,3561,113
File,All,v1.0.5,3563,258
File,All,v1.2.0,3803,43
File,All,v1.1.2,3846,0
File,All,v1.0.6,3756,130
File,All,v1.2.1,4329,117
File,All,v1.0.7,4420,28
File,All,v1.2.2,4433,23
File,All,v1.1.3,3924,545
