granularity,buggedType,version_name,valid,bug
Method,Most,surefire-1.2,820,2
Method,Most,surefire-1.3,822,0
Method,Most,surefire-booter-1.3,926,0
Method,Most,surefire-1.4,926,0
Method,Most,surefire-booter-1.4,932,6
Method,Most,surefire-1.5,938,0
Method,Most,surefire-booter-1.5,938,0
Method,Most,surefire-1.5.1,982,7
Method,Most,surefire-1.5.2,989,0
Method,Most,surefire-booter-1.5.2,1389,2
Method,Most,surefire-1.5.3,1391,0
Method,Most,surefire-booter-1.5.3,1507,2
Method,Most,surefire-2.0,1787,5
Method,Most,surefire-2.3,2159,3
Method,Most,surefire-2.3.1,2174,0
Method,Most,surefire-2.4,2239,2
Method,Most,surefire-2.4.1,2234,1
Method,Most,surefire-2.4.2,2329,1
Method,Most,surefire-2.4.3,2484,5
Method,Most,surefire-2.5,3159,0
Method,Most,surefire-2.6,3850,0
Method,Most,surefire-2.7,3870,0
Method,Most,surefire-2.7.1,4150,4
Method,Most,surefire-2.7.2,4314,13
Method,Most,surefire-2.8,4485,0
Method,Most,surefire-2.8.1,4908,2
Method,Most,surefire-2.9,4982,0
Method,Most,surefire-2.10,5240,0
Method,Most,surefire-2.11,5789,3
Method,Most,surefire-2.12,5915,2
Method,Most,surefire-2.12.1,6036,0
Method,Most,surefire-2.12.2,6276,0
Method,Most,surefire-2.12.3,6298,0
Method,Most,surefire-2.12.4,6574,1
Method,Most,surefire-2.13,6821,1
Method,Most,surefire-2.14,6859,0
Method,Most,surefire-2.14.1,6983,1
Method,Most,surefire-2.15,7261,2
Method,Most,surefire-2.16,7263,0
Method,Most,surefire-2.16_vote-1,7542,5
Method,Most,surefire-2.17,7547,0
Method,Most,surefire-2.17_vote-1,7805,7
Method,Most,surefire-2.18_vote-1,7812,0
Method,Most,surefire-2.18,7812,0
Method,Most,surefire-2.18_vote-2,7893,0
Method,Most,surefire-2.18.1,8792,14
Method,Most,surefire-2.19,8806,0
Method,Most,surefire-2.19_vote-2,8999,1
Method,Most,surefire-2.19.1_vote-1,9001,1
Method,Most,surefire-2.19.1_vote-2,9002,0
Method,Most,surefire-2.19.1,9289,10
Method,Most,surefire-2.20_vote-1,9309,0
Method,Most,surefire-2.20_vote-2,9311,0
Method,Most,surefire-2.20,9311,0
Method,Most,surefire-2.20_vote-3,9548,3
Method,Most,surefire-2.20.1,9937,3
Method,Most,surefire-2.21.0,9940,0
Method,Most,surefire-2.21.0_vote-1,10304,0
Method,Most,surefire-2.22.0,10304,0
Method,Most,surefire-2.22.0_vote-1,10406,1
Method,Most,surefire-2.22.1,10407,0
Method,Most,surefire-2.22.1_vote-1,10456,0
Method,Most,surefire-3.0.0-M1_vote-1,10467,0
Method,Most,surefire-3.0.0-M1,10467,0
Method,All,surefire-1.2,804,18
Method,All,surefire-1.3,822,0
Method,All,surefire-booter-1.3,926,0
Method,All,surefire-1.4,926,0
Method,All,surefire-booter-1.4,925,13
Method,All,surefire-1.5,938,0
Method,All,surefire-booter-1.5,938,0
