granularity,buggedType,version_name,valid,bug
Method,Most,0.90A1,8252,0
Method,Most,0.90RC1,8252,0
Method,Most,0.91,8252,0
Method,Most,1.0,8252,0
Method,Most,1.1,8252,0
Method,Most,1.1.1,8252,0
Method,Most,M1,8252,0
Method,Most,M2,12428,43
Method,Most,1.2-beta1,12471,0
Method,Most,1.2,17187,137
Method,Most,2.0.0,18337,82
Method,Most,2.1.0,26728,96
Method,Most,3.0.0,26823,1
Method,All,0.90A1,8252,0
Method,All,0.90RC1,8252,0
Method,All,0.91,8252,0
Method,All,1.0,8252,0
Method,All,1.1,8252,0
Method,All,1.1.1,8252,0
Method,All,M1,8252,0
Method,All,M2,12014,457
Method,All,1.2-beta1,12471,0
Method,All,1.2,15965,1359
Method,All,2.0.0,18242,177
Method,All,2.1.0,26135,689
Method,All,3.0.0,26823,1
File,Most,0.90A1,1916,0
File,Most,0.90RC1,1916,0
File,Most,0.91,1916,0
File,Most,1.0,1916,0
File,Most,1.1,1916,0
File,Most,1.1.1,1916,0
File,Most,M1,1916,0
File,Most,M2,2537,30
File,Most,1.2-beta1,2567,0
File,Most,1.2,3441,95
File,Most,2.0.0,3679,47
File,Most,2.1.0,5141,74
File,Most,3.0.0,5214,1
File,All,0.90A1,1916,0
File,All,0.90RC1,1916,0
File,All,0.91,1916,0
File,All,1.0,1916,0
File,All,1.1,1916,0
File,All,1.1.1,1916,0
File,All,M1,1916,0
File,All,M2,2378,189
File,All,1.2-beta1,2567,0
File,All,1.2,3211,325
File,All,2.0.0,3644,82
File,All,2.1.0,5002,213
File,All,3.0.0,5213,2
