granularity,buggedType,version_name,valid,bug
Method,Most,v0.9.0-rc1,23906,1
Method,Most,v0.9.0-incubating-rc2,23907,0
Method,Most,v0.9.0-incubating-rc3,26487,0
Method,Most,0.10.0-incubating-rc1,26490,0
Method,Most,0.10.0-incubating-rc2,28569,1
Method,Most,spark-1.x-stable,29408,4
Method,Most,v0.11.0-incubating-rc1,29623,1
Method,Most,v0.11.0-incubating-rc2,29662,0
Method,Most,v0.11.0-incubating-rc3,29663,0
Method,Most,v0.11.0-incubating-rc4,29663,0
Method,Most,v0.11.0-incubating-rc5,30101,1
Method,Most,v0.12.0-incubating-rc1,30140,0
Method,Most,v0.12.0-incubating-rc2,30809,0
Method,Most,v0.13.0-incubating-rc1,30809,0
Method,Most,v0.13.0-incubating-rc2,32258,10
Method,Most,v0.14.0-incubating-rc1,32314,0
Method,Most,v0.14.0-incubating-rc2,32549,0
Method,Most,v0.14.0-incubating-rc3,32581,1
Method,Most,v0.14.0-incubating-rc4,35080,28
Method,Most,v0.15.0-rc1,35164,0
Method,Most,v0.15.0-rc2,36674,10
Method,Most,v1.0.0-rc1,36698,0
Method,Most,v1.0.0-rc2,37958,8
Method,Most,v1.1.0-rc1,37989,1
Method,Most,v1.1.0-rc2,40061,15
Method,All,v0.9.0-rc1,23893,14
Method,All,v0.9.0-incubating-rc2,23907,0
Method,All,v0.9.0-incubating-rc3,26487,0
Method,All,0.10.0-incubating-rc1,26490,0
Method,All,0.10.0-incubating-rc2,28548,22
Method,All,spark-1.x-stable,29397,15
Method,All,v0.11.0-incubating-rc1,29597,27
Method,All,v0.11.0-incubating-rc2,29662,0
Method,All,v0.11.0-incubating-rc3,29663,0
Method,All,v0.11.0-incubating-rc4,29663,0
Method,All,v0.11.0-incubating-rc5,30090,12
Method,All,v0.12.0-incubating-rc1,30140,0
Method,All,v0.12.0-incubating-rc2,30809,0
Method,All,v0.13.0-incubating-rc1,30809,0
Method,All,v0.13.0-incubating-rc2,31883,385
Method,All,v0.14.0-incubating-rc1,32314,0
Method,All,v0.14.0-incubating-rc2,32549,0
Method,All,v0.14.0-incubating-rc3,32576,6
Method,All,v0.14.0-incubating-rc4,34652,456
Method,All,v0.15.0-rc1,35164,0
Method,All,v0.15.0-rc2,36608,76
Method,All,v1.0.0-rc1,36698,0
Method,All,v1.0.0-rc2,37930,36
Method,All,v1.1.0-rc1,37979,11
Method,All,v1.1.0-rc2,39848,228
File,Most,v0.9.0-rc1,5355,1
File,Most,v0.9.0-incubating-rc2,5356,0
File,Most,v0.9.0-incubating-rc3,5431,0
File,Most,0.10.0-incubating-rc1,5432,0
File,Most,0.10.0-incubating-rc2,5560,1
File,Most,spark-1.x-stable,5570,5
File,Most,v0.11.0-incubating-rc1,5581,1
File,Most,v0.11.0-incubating-rc2,5584,0
File,Most,v0.11.0-incubating-rc3,5584,0
File,Most,v0.11.0-incubating-rc4,5584,0
File,Most,v0.11.0-incubating-rc5,5575,2
File,Most,v0.12.0-incubating-rc1,5578,0
File,Most,v0.12.0-incubating-rc2,5596,0
File,Most,v0.13.0-incubating-rc1,5596,0
File,Most,v0.13.0-incubating-rc2,5643,10
File,Most,v0.14.0-incubating-rc1,5656,0
File,Most,v0.14.0-incubating-rc2,5666,0
File,Most,v0.14.0-incubating-rc3,5665,1
File,Most,v0.14.0-incubating-rc4,5725,13
File,Most,v0.15.0-rc1,5741,0
File,Most,v0.15.0-rc2,5769,9
File,Most,v1.0.0-rc1,5778,0
File,Most,v1.0.0-rc2,5805,7
File,Most,v1.1.0-rc1,5812,1
File,Most,v1.1.0-rc2,5919,14
File,All,v0.9.0-rc1,5351,5
File,All,v0.9.0-incubating-rc2,5356,0
File,All,v0.9.0-incubating-rc3,5431,0
File,All,0.10.0-incubating-rc1,5432,0
File,All,0.10.0-incubating-rc2,5556,5
File,All,spark-1.x-stable,5566,9
File,All,v0.11.0-incubating-rc1,5577,5
File,All,v0.11.0-incubating-rc2,5584,0
File,All,v0.11.0-incubating-rc3,5584,0
File,All,v0.11.0-incubating-rc4,5584,0
File,All,v0.11.0-incubating-rc5,5570,7
File,All,v0.12.0-incubating-rc1,5578,0
File,All,v0.12.0-incubating-rc2,5596,0
File,All,v0.13.0-incubating-rc1,5596,0
File,All,v0.13.0-incubating-rc2,5576,77
File,All,v0.14.0-incubating-rc1,5656,0
File,All,v0.14.0-incubating-rc2,5666,0
File,All,v0.14.0-incubating-rc3,5665,1
File,All,v0.14.0-incubating-rc4,5657,81
File,All,v0.15.0-rc1,5741,0
File,All,v0.15.0-rc2,5753,25
File,All,v1.0.0-rc1,5778,0
File,All,v1.0.0-rc2,5796,16
File,All,v1.1.0-rc1,5807,6
File,All,v1.1.0-rc2,5875,58
