granularity,buggedType,version_name,valid,bug
Method,Most,release-0.2.0-rc0,10135,0
Method,Most,release-0.2.0-rc1,10181,0
Method,Most,release-0.2.0-rc2,10299,1
Method,Most,release-0.2.0,10300,0
Method,Most,release-0.2.0-rc3,14547,207
Method,Most,release-0.8.0,19083,168
Method,Most,release-0.9.0,22071,82
Method,Most,release-0.10.0,24788,87
Method,Most,release-0.10.1,28544,89
Method,Most,release-0.11.0-rc0,28642,2
Method,Most,release-0.11.0-rc1,28695,13
Method,Most,release-0.11.0,28708,0
Method,Most,release-0.11.0-rc2,29188,66
Method,Most,release-0.11.1-rc0,29569,22
Method,Most,release-0.11.2-rc0,30022,23
Method,All,release-0.2.0-rc0,10135,0
Method,All,release-0.2.0-rc1,10181,0
Method,All,release-0.2.0-rc2,10294,6
Method,All,release-0.2.0,10300,0
Method,All,release-0.2.0-rc3,13560,1194
Method,All,release-0.8.0,18355,896
Method,All,release-0.9.0,21239,914
Method,All,release-0.10.0,22810,2065
Method,All,release-0.10.1,26634,1999
Method,All,release-0.11.0-rc0,28640,4
Method,All,release-0.11.0-rc1,28585,123
Method,All,release-0.11.0,28708,0
Method,All,release-0.11.0-rc2,28502,752
Method,All,release-0.11.1-rc0,29027,564
Method,All,release-0.11.2-rc0,29675,370
File,Most,release-0.2.0-rc0,1187,0
File,Most,release-0.2.0-rc1,1184,0
File,Most,release-0.2.0-rc2,1191,1
File,Most,release-0.2.0,1192,0
File,Most,release-0.2.0-rc3,1528,82
File,Most,release-0.8.0,1945,135
File,Most,release-0.9.0,2702,63
File,Most,release-0.10.0,2960,71
File,Most,release-0.10.1,3353,59
File,Most,release-0.11.0-rc0,3410,2
File,Most,release-0.11.0-rc1,3408,13
File,Most,release-0.11.0,3421,0
File,Most,release-0.11.0-rc2,3418,37
File,Most,release-0.11.1-rc0,3449,17
File,Most,release-0.11.2-rc0,3489,9
File,All,release-0.2.0-rc0,1187,0
File,All,release-0.2.0-rc1,1184,0
File,All,release-0.2.0-rc2,1188,4
File,All,release-0.2.0,1192,0
File,All,release-0.2.0-rc3,1331,279
File,All,release-0.8.0,1823,257
File,All,release-0.9.0,2481,284
File,All,release-0.10.0,2571,460
File,All,release-0.10.1,3003,409
File,All,release-0.11.0-rc0,3409,3
File,All,release-0.11.0-rc1,3343,78
File,All,release-0.11.0,3421,0
File,All,release-0.11.0-rc2,3213,242
File,All,release-0.11.1-rc0,3336,130
File,All,release-0.11.2-rc0,3323,175
