granularity,buggedType,version_name,valid,bug
Method,Most,tiles-parent-2.0.0,2191,2
Method,Most,tiles-2.0.0,2211,2
Method,Most,tiles-2.0.1,2378,21
Method,Most,tiles-2.0.2,2399,0
Method,Most,tiles-2.0.3,2426,11
Method,Most,tiles-2.0.4,2485,11
Method,Most,tiles-2.0.5,2789,34
Method,Most,tiles-2.0.6,3029,19
Method,Most,tiles-2.1.0,3214,18
Method,Most,tiles-2.0.7,3232,0
Method,Most,tiles-2.1.1,3416,18
Method,Most,tiles-2.1.2,3939,34
Method,Most,tiles-2.1.3,4084,20
Method,Most,tiles-2.2.0,4197,18
Method,Most,tiles-2.1.4,4215,0
Method,Most,tiles-2.2.1,9006,35
Method,Most,tiles-2.2.2,8499,11
Method,Most,tiles-3-reactor,8510,0
Method,Most,tiles-parent-3.0.0,8524,1
Method,Most,tiles-parent-3.0.1,8526,2
Method,Most,tiles-parent-3.0.2,8530,1
Method,Most,tiles-parent-3.0.3,8532,3
Method,Most,tiles-parent-3.0.4,8535,3
Method,Most,tiles-parent-3.0.5,8536,3
Method,Most,tiles-parent-3.0.6,8539,0
Method,Most,tiles-parent-3.0.7,8539,0
Method,All,tiles-parent-2.0.0,2182,11
Method,All,tiles-2.0.0,2192,21
Method,All,tiles-2.0.1,2064,335
Method,All,tiles-2.0.2,2399,0
Method,All,tiles-2.0.3,2272,165
Method,All,tiles-2.0.4,2442,54
Method,All,tiles-2.0.5,2487,336
Method,All,tiles-2.0.6,2864,184
Method,All,tiles-2.1.0,3019,213
Method,All,tiles-2.0.7,3232,0
Method,All,tiles-2.1.1,3219,215
Method,All,tiles-2.1.2,3571,402
Method,All,tiles-2.1.3,3949,155
Method,All,tiles-2.2.0,4130,85
Method,All,tiles-2.1.4,4215,0
Method,All,tiles-2.2.1,8086,955
Method,All,tiles-2.2.2,8374,136
Method,All,tiles-3-reactor,8510,0
Method,All,tiles-parent-3.0.0,8519,6
Method,All,tiles-parent-3.0.1,8521,7
Method,All,tiles-parent-3.0.2,8529,2
Method,All,tiles-parent-3.0.3,8532,3
Method,All,tiles-parent-3.0.4,8538,0
Method,All,tiles-parent-3.0.5,8537,2
Method,All,tiles-parent-3.0.6,8539,0
Method,All,tiles-parent-3.0.7,8539,0
File,Most,tiles-parent-2.0.0,361,2
File,Most,tiles-2.0.0,365,2
File,Most,tiles-2.0.1,400,16
File,Most,tiles-2.0.2,416,0
File,Most,tiles-2.0.3,438,10
File,Most,tiles-2.0.4,443,9
File,Most,tiles-2.0.5,489,21
File,Most,tiles-2.0.6,542,11
File,Most,tiles-2.1.0,582,16
File,Most,tiles-2.0.7,598,0
File,Most,tiles-2.1.1,616,13
File,Most,tiles-2.1.2,693,25
File,Most,tiles-2.1.3,748,18
File,Most,tiles-2.2.0,832,15
File,Most,tiles-2.1.4,847,0
File,Most,tiles-2.2.1,1802,27
File,Most,tiles-2.2.2,1746,11
File,Most,tiles-3-reactor,1757,0
File,Most,tiles-parent-3.0.0,1759,1
File,Most,tiles-parent-3.0.1,1759,1
File,Most,tiles-parent-3.0.2,1759,1
File,Most,tiles-parent-3.0.3,1759,1
File,Most,tiles-parent-3.0.4,1759,1
File,Most,tiles-parent-3.0.5,1760,1
File,Most,tiles-parent-3.0.6,1761,0
File,Most,tiles-parent-3.0.7,1762,0
File,All,tiles-parent-2.0.0,351,12
File,All,tiles-2.0.0,360,7
File,All,tiles-2.0.1,305,111
File,All,tiles-2.0.2,416,0
File,All,tiles-2.0.3,323,125
File,All,tiles-2.0.4,429,23
File,All,tiles-2.0.5,411,99
File,All,tiles-2.0.6,490,63
File,All,tiles-2.1.0,526,72
File,All,tiles-2.0.7,598,0
File,All,tiles-2.1.1,547,82
File,All,tiles-2.1.2,622,96
File,All,tiles-2.1.3,665,101
File,All,tiles-2.2.0,776,71
File,All,tiles-2.1.4,847,0
File,All,tiles-2.2.1,1606,223
File,All,tiles-2.2.2,1669,88
File,All,tiles-3-reactor,1757,0
File,All,tiles-parent-3.0.0,1758,2
File,All,tiles-parent-3.0.1,1759,1
File,All,tiles-parent-3.0.2,1757,3
File,All,tiles-parent-3.0.3,1759,1
File,All,tiles-parent-3.0.4,1759,1
File,All,tiles-parent-3.0.5,1759,2
File,All,tiles-parent-3.0.6,1761,0
File,All,tiles-parent-3.0.7,1762,0
