granularity,buggedType,version_name,valid,bug
Method,Most,tomee-1.0.0,41399,0
Method,Most,tomee-1.0.0-beta-1,41399,0
Method,Most,tomee-1.0.0-beta-2,41399,0
Method,Most,tomee-1.5.0,41399,0
Method,Most,tomee-1.5.1,41607,33
Method,Most,tomee-1.5.2,42719,181
Method,Most,tomee-1.6.0,43554,110
Method,Most,tomee-1.6.0.1,43808,18
Method,Most,tomee-1.6.0.2,46374,54
Method,Most,tomee-1.7.0,46629,17
Method,Most,tomee-1.7.1,47425,56
Method,Most,openejb-4.7.2,47976,33
Method,Most,tomee-1.7.2,48563,40
Method,Most,tomee-1.7.3,48603,0
Method,Most,tomee-7.0.0-M1,48719,18
Method,Most,tomee-7.0.0-M2,48742,3
Method,Most,tomee-7.0.0-M3,48745,0
Method,Most,tomee-1.7.4,49430,37
Method,Most,tomee-7.0.0,50052,11
Method,Most,tomee-7.0.1,50362,107
Method,Most,tomee-7.0.2,50522,32
Method,Most,tomee-7.0.3,50876,49
Method,Most,tomee-7.0.4,50925,1
Method,Most,tomee-1.7.5,51589,97
Method,Most,tomee-7.0.5,51735,1
Method,Most,tomee-7.1.0,51842,3
Method,All,tomee-1.0.0,41399,0
Method,All,tomee-1.0.0-beta-1,41399,0
Method,All,tomee-1.0.0-beta-2,41399,0
Method,All,tomee-1.5.0,41399,0
Method,All,tomee-1.5.1,41338,302
Method,All,tomee-1.5.2,42277,623
Method,All,tomee-1.6.0,40131,3533
Method,All,tomee-1.6.0.1,43778,48
Method,All,tomee-1.6.0.2,46298,130
Method,All,tomee-1.7.0,46624,22
Method,All,tomee-1.7.1,47256,225
Method,All,openejb-4.7.2,47893,116
Method,All,tomee-1.7.2,48354,249
Method,All,tomee-1.7.3,48603,0
Method,All,tomee-7.0.0-M1,48686,51
Method,All,tomee-7.0.0-M2,48740,5
Method,All,tomee-7.0.0-M3,48745,0
Method,All,tomee-1.7.4,49363,104
Method,All,tomee-7.0.0,50005,58
Method,All,tomee-7.0.1,50247,222
Method,All,tomee-7.0.2,50431,123
Method,All,tomee-7.0.3,50867,58
Method,All,tomee-7.0.4,50922,4
Method,All,tomee-1.7.5,51455,231
Method,All,tomee-7.0.5,51733,3
Method,All,tomee-7.1.0,51841,4
File,Most,tomee-1.0.0,6361,0
File,Most,tomee-1.0.0-beta-1,6361,0
File,Most,tomee-1.0.0-beta-2,6361,0
File,Most,tomee-1.5.0,6361,0
File,Most,tomee-1.5.1,6351,27
File,Most,tomee-1.5.2,6520,85
File,Most,tomee-1.6.0,6634,42
File,Most,tomee-1.6.0.1,6739,6
File,Most,tomee-1.6.0.2,6943,30
File,Most,tomee-1.7.0,6996,9
File,Most,tomee-1.7.1,7076,41
File,Most,openejb-4.7.2,7173,26
File,Most,tomee-1.7.2,7239,25
File,Most,tomee-1.7.3,7264,0
File,Most,tomee-7.0.0-M1,7274,13
File,Most,tomee-7.0.0-M2,7286,3
File,Most,tomee-7.0.0-M3,7289,0
File,Most,tomee-1.7.4,7332,26
File,Most,tomee-7.0.0,7381,11
File,Most,tomee-7.0.1,7394,41
File,Most,tomee-7.0.2,7423,25
File,Most,tomee-7.0.3,7465,36
File,Most,tomee-7.0.4,7500,1
File,Most,tomee-1.7.5,7635,11
File,Most,tomee-7.0.5,7676,0
File,Most,tomee-7.1.0,7679,3
File,All,tomee-1.0.0,6361,0
File,All,tomee-1.0.0-beta-1,6361,0
File,All,tomee-1.0.0-beta-2,6361,0
File,All,tomee-1.5.0,6361,0
File,All,tomee-1.5.1,6307,71
File,All,tomee-1.5.2,6409,196
File,All,tomee-1.6.0,6029,647
File,All,tomee-1.6.0.1,6730,15
File,All,tomee-1.6.0.2,6909,64
File,All,tomee-1.7.0,6994,11
File,All,tomee-1.7.1,7036,81
File,All,openejb-4.7.2,7147,52
File,All,tomee-1.7.2,7184,80
File,All,tomee-1.7.3,7264,0
File,All,tomee-7.0.0-M1,7266,21
File,All,tomee-7.0.0-M2,7284,5
File,All,tomee-7.0.0-M3,7289,0
File,All,tomee-1.7.4,7313,45
File,All,tomee-7.0.0,7373,19
File,All,tomee-7.0.1,7344,91
File,All,tomee-7.0.2,7367,81
File,All,tomee-7.0.3,7455,46
File,All,tomee-7.0.4,7500,1
File,All,tomee-1.7.5,7580,66
File,All,tomee-7.0.5,7676,0
File,All,tomee-7.1.0,7678,4
