granularity,buggedType,version_name,valid,bug
Method,Most,maven-plugin-parent-1.0.0-incubating,59480,0
Method,Most,trinidad-1.0.0-incubating,60037,38
Method,Most,maven-plugin-parent-1.0.1,60073,2
Method,Most,maven-plugin-parent-1.2.0,58784,20
Method,Most,trinidad-1.0.1,58788,38
Method,Most,maven-plugin-parent-1.2.1,58854,6
Method,Most,trinidad-1.2.1,58860,0
Method,Most,maven-plugin-parent-1.2.1.1,59014,28
Method,Most,maven-plugin-parent-1.0.2,59050,4
Method,Most,trinidad-1.0.2,59036,20
Method,Most,maven-plugin-parent-1.2.2,59132,16
Method,Most,trinidad-1.2.2,57507,32
Method,Most,trinidad-1.0.3,57541,18
Method,Most,trinidad-1.2.3,57559,0
Method,Most,trinidad-1.0.4,57929,9
Method,Most,trinidad-1.0.5-SNAPSHOT_to_trinidad-1.2.5-SNAPSHOT,57977,4
Method,Most,trinidad-1.2.4,58006,6
Method,Most,trinidad-1.0.5,58018,0
Method,Most,trinidad-1.2.5,58039,13
Method,Most,trinidad-1.2.6,58052,0
Method,Most,trinidad-1.0.6,58282,11
Method,Most,trinidad-1.0.7,58293,0
Method,Most,trinidad-1.2.7,58466,16
Method,Most,trinidad-1.2.8,58482,0
Method,Most,trinidad-1.0.8,58563,30
Method,Most,trinidad-1.0.9,58593,0
Method,Most,trinidad-1.2.9,58890,51
Method,Most,trinidad-1.0.10,58941,0
Method,Most,trinidad-1.2.10,59056,36
Method,Most,trinidad-1.2.11,59309,42
Method,Most,trinidad-1.2.12,59351,0
Method,Most,trinidad-1.0.11,60023,35
Method,Most,2.0.0-alpha,60667,8
Method,Most,trinidad-1.0.12,60675,0
Method,Most,trinidad-2.0.0-alpha-2,60678,1
Method,Most,trinidad-1.2.14-rc-1,61305,49
Method,Most,trinidad-1.2.13,61467,42
Method,Most,trinidad-1.0.13,61640,18
Method,Most,trinidad-1.2.14,61660,1
Method,Most,2.0.0-beta-1,61661,11
Method,Most,trinidad-2.0.0-beta-1,61673,24
Method,Most,trinidad-2.0.0-beta-2,61718,25
Method,Most,trinidad-2.0.0,61904,46
Method,Most,trinidad-2.0.1,62754,51
Method,Most,trinidad-2.1.0,63067,46
Method,Most,trinidad-2.1.1,63167,0
Method,Most,trinidad-2.1.2,63167,0
Method,Most,trinidad-2.0.2,63167,0
Method,Most,trinidad-1.2.15,63232,1
Method,Most,trinidad-2.1.3,63233,0
Method,Most,trinidad-2.2.0,63233,1
Method,Most,trinidad-2.2.1,63234,0
Method,All,maven-plugin-parent-1.0.0-incubating,59480,0
Method,All,trinidad-1.0.0-incubating,59901,174
Method,All,maven-plugin-parent-1.0.1,60073,2
Method,All,maven-plugin-parent-1.2.0,58760,44
Method,All,trinidad-1.0.1,58814,12
Method,All,maven-plugin-parent-1.2.1,58848,12
Method,All,trinidad-1.2.1,58860,0
Method,All,maven-plugin-parent-1.2.1.1,58890,152
Method,All,maven-plugin-parent-1.0.2,59048,6
Method,All,trinidad-1.0.2,59006,50
Method,All,maven-plugin-parent-1.2.2,59118,30
Method,All,trinidad-1.2.2,57445,94
Method,All,trinidad-1.0.3,57530,29
Method,All,trinidad-1.2.3,57559,0
Method,All,trinidad-1.0.4,57902,36
Method,All,trinidad-1.0.5-SNAPSHOT_to_trinidad-1.2.5-SNAPSHOT,57973,8
Method,All,trinidad-1.2.4,57987,25
Method,All,trinidad-1.0.5,58018,0
Method,All,trinidad-1.2.5,58015,37
Method,All,trinidad-1.2.6,58052,0
Method,All,trinidad-1.0.6,58274,19
Method,All,trinidad-1.0.7,58293,0
Method,All,trinidad-1.2.7,58390,92
Method,All,trinidad-1.2.8,58482,0
Method,All,trinidad-1.0.8,58506,87
Method,All,trinidad-1.0.9,58593,0
Method,All,trinidad-1.2.9,58637,304
Method,All,trinidad-1.0.10,58941,0
Method,All,trinidad-1.2.10,58937,155
Method,All,trinidad-1.2.11,58996,355
Method,All,trinidad-1.2.12,59351,0
Method,All,trinidad-1.0.11,59929,129
Method,All,2.0.0-alpha,60644,31
Method,All,trinidad-1.0.12,60675,0
Method,All,trinidad-2.0.0-alpha-2,60678,1
Method,All,trinidad-1.2.14-rc-1,61104,250
Method,All,trinidad-1.2.13,61364,145
Method,All,trinidad-1.0.13,61453,205
Method,All,trinidad-1.2.14,61649,12
Method,All,2.0.0-beta-1,61644,28
Method,All,trinidad-2.0.0-beta-1,61665,32
Method,All,trinidad-2.0.0-beta-2,61650,93
Method,All,trinidad-2.0.0,61557,393
Method,All,trinidad-2.0.1,62486,319
Method,All,trinidad-2.1.0,62800,313
Method,All,trinidad-2.1.1,63167,0
Method,All,trinidad-2.1.2,63167,0
Method,All,trinidad-2.0.2,63167,0
Method,All,trinidad-1.2.15,63231,2
Method,All,trinidad-2.1.3,63233,0
Method,All,trinidad-2.2.0,63233,1
Method,All,trinidad-2.2.1,63234,0
File,Most,maven-plugin-parent-1.0.0-incubating,8593,0
File,Most,trinidad-1.0.0-incubating,8579,26
File,Most,maven-plugin-parent-1.0.1,8603,2
File,Most,maven-plugin-parent-1.2.0,8447,14
File,Most,trinidad-1.0.1,8450,12
File,Most,maven-plugin-parent-1.2.1,8458,6
File,Most,trinidad-1.2.1,8464,0
File,Most,maven-plugin-parent-1.2.1.1,8449,24
File,Most,maven-plugin-parent-1.0.2,8471,4
File,Most,trinidad-1.0.2,8443,20
File,Most,maven-plugin-parent-1.2.2,8457,16
File,Most,trinidad-1.2.2,8182,32
File,Most,trinidad-1.0.3,8198,18
File,Most,trinidad-1.2.3,8216,0
File,Most,trinidad-1.0.4,8213,12
File,Most,trinidad-1.0.5-SNAPSHOT_to_trinidad-1.2.5-SNAPSHOT,8227,3
File,Most,trinidad-1.2.4,8232,5
File,Most,trinidad-1.0.5,8237,0
File,Most,trinidad-1.2.5,8231,10
File,Most,trinidad-1.2.6,8241,0
File,Most,trinidad-1.0.6,8247,8
File,Most,trinidad-1.0.7,8255,0
File,Most,trinidad-1.2.7,8250,15
File,Most,trinidad-1.2.8,8265,0
File,Most,trinidad-1.0.8,8244,25
File,Most,trinidad-1.0.9,8269,0
File,Most,trinidad-1.2.9,8256,44
File,Most,trinidad-1.0.10,8300,0
File,Most,trinidad-1.2.10,8284,27
File,Most,trinidad-1.2.11,8293,32
File,Most,trinidad-1.2.12,8325,0
File,Most,trinidad-1.0.11,8315,21
File,Most,2.0.0-alpha,8447,9
File,Most,trinidad-1.0.12,8456,0
